sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (visual_veracity ai_generated=true, confidence=0.9), depicting a surreal and impossible scene of a frog floating above a tank. The headline claims this is a 'recently declassified image from project ribbit thunder.' However, evidence shows that 'Ribbit' is primarily associated with a character from the animated series 'The Amazing Digital Circus' or a cryptocurrency token, with no credible evidence linking 'Project Ribbit Thunder' to any real military declassification or a tank-frog image. The combination of an AI-generated visual with a fabricated or misleading context regarding military declassification constitutes misinformation."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas, is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not a Texas corporation."
ds4717,Not Misinformation,0.85,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. The retrieved evidence supports the core elements of this claim. Specifically, multiple sources (Inquisitr [1], OK Magazine [2], The Sun [5]) report that Tristan Thompson intervened in Khloe's pregnancy routine, telling her he 'won't stand for unhealthy habits' and putting her on a diet. The context of a 'binge' is supported by reports of Khloe enjoying junk food after her weight loss program [1] and her own admissions of struggles with binge eating and cravings for cookies and ice cream [4, 5, 7]. While the word 'forced' is strong, the reports describe Thompson's active and controlling role in her dietary choices during pregnancy, which aligns with the sensationalized "
4718,Not Misinformation,0.85,False,True,"The headline claims Jennifer Lopez might take a 'break' from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez ended their relationship in March 2021 after a four-year romance and two-year engagement (Sources [1], [2], [5], [8]). While the relationship has officially ended (making 'break' a euphemism for the breakup or a reference to their post-breakup dynamic), the core subject matter is factually grounded in their well-documented history. The module signals indicate the image is real (not AI-generated) and partially aligned. The 'answers' section provided in the prompt explicitly states they took a break which led to a breakup, and the retrieved evidence supports the timeline of their split. Therefore, the headline is not considered misinformation in the context of"
ds2101,Not Misinformation,0.95,False,True,"The image depicts a table with two wine glasses and a centerpiece, which aligns perfectly with the claim. The module signals confirm that the image is not AI-generated (visual_veracity.ai_generated=false) and is relevant to the claim. The retrieved evidence supports the existence and commonality of such table settings, defining centerpieces and wine glass usage in table decor. There is no evidence of manipulation or falsehood."
5000,Misinformation,0.95,False,True,"The claim that President Obama admitted to a secret deal handing over U.S. territory to China to settle debt is factually false. Evidence [1] from the White House archives confirms that Obama's 2014 visit to China focused on expanding cooperation on global, regional, and bilateral issues, with no mention of territorial transfers. Furthermore, evidence [1] and [2] regarding U.S. territory clarifies that Hong Kong was handed over by Britain to China in 1997, long before Obama took office, and is not U.S. territory. There is no evidence in the retrieved sources of any U.S. territory being transferred to China, nor any 'secret deal' regarding debt settlement involving territorial cession. The claim conflates diplomatic relations and existing geopolitical facts (like Hong Kong's status) with a "
ds4724,Not Misinformation,0.85,False,True,"The headline claims the couple is sleeping in separate bedrooms. Evidence [2] from the 'Clooney couple sleeping arrangements news' section explicitly states: 'It’s not accurate that George and Amal sleep in separate rooms due to the actor’s snoring and other bad habits. The happy couple has been together for nearly 8 years, so they have most likely resorted to each other’s quirks.' This directly contradicts the specific claim in the headline. While there are rumors of separation (Evidence [4], [5], [2] from recent updates), the specific detail about sleeping arrangements is refuted by the provided evidence. The image is a real photo (visual_veracity ai_generated=false), so the AI rule does not apply. The claim is false based on the specific detail provided."
ds1157,Not Misinformation,0.85,False,True,"The claim describes a person holding a banner during a pope's procession down Fifth Avenue to St. Patrick's Cathedral. Evidence confirms that Pope Francis traveled down Fifth Avenue in a motorcade (Popemobile) to St. Patrick's Cathedral on September 24, 2015, and that Pope Paul VI also traveled down Fifth Avenue to the Cathedral in 1965, where 55,000 people lined the street [2], [8], [1]. While the specific detail of a 'person holding a banner' is not explicitly detailed in the snippets for the NYC visits, it is a highly plausible and common occurrence during such high-profile public processions (as evidenced by banners being held during other papal visits in East Timor and Africa [2], [3]). The image is verified as not AI-generated. The core event (Pope procession on Fifth Avenue to St. P"
5013,Misinformation,0.85,False,True,"The headline claims a 'Controversial Dating Revelation' regarding Brooke Burke's divorce that sparks speculation. However, the retrieved evidence indicates that Brooke Burke's divorce from David Charvet was finalized years ago (around 2019/2021), and she is currently engaged to Scott Rigsby. The recent news (June 2025) concerns the postponement of her wedding to Rigsby, not a new dating revelation amid divorce. Furthermore, the module signals explicitly state that the image is 'aligned: false' and does not depict Brooke Burke or the specific event mentioned. The image shows two generic individuals on a stage, likely from a TV show, which is irrelevant to the specific claim about Burke's personal life. The mismatch between the specific, sensationalized claim and the generic, irrelevant imag"
ds9980,Not Misinformation,0.85,False,True,"The image depicts an Iraqi girl and her family at a Kurdish checkpoint, which aligns with extensive historical news coverage of civilians fleeing conflict zones (particularly ISIS) in northern Iraq (e.g., Mosul, Tal Afar) to seek refuge in the autonomous Kurdish region. Evidence [3], [8], and [10] specifically describe scenes of Iraqi families, including girls, arriving at or waiting near Kurdish checkpoints (such as Aski Kalak or Khazir) in fields or temporary camps. While the headline implies a specific recent event ('settles... in 2023'), the visual content is consistent with well-documented humanitarian crises in the region where such imagery was common. The module signals indicate the image is not AI-generated and is partially aligned with the context. The 'partial' alignment likely s"
ds2354,Not Misinformation,0.85,False,True,"The image depicts a large airplane flying low in a cloudy sky, which aligns with the claim. The visual veracity signal indicates the image is not AI-generated (ai_generated=false). The retrieved evidence supports the plausibility of the scene: multiple sources confirm that planes frequently fly low due to factors such as weather conditions (clouds, wind), landing approaches, or specific aircraft types (e.g., C-17s mentioned in [7]). While the image itself is a generic stock-style photo and not necessarily a specific news event, the claim 'A big plane flying low on a cloudy sky' is a factual description of a common aviation occurrence supported by the evidence regarding flight paths and weather impacts. There is no evidence suggesting the image is fake or the claim is false/misleading in a "
ds4,Not Misinformation,0.95,False,True,"The claim states that after the murders, Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper. This is factually correct. Multiple evidence sources confirm that immediately following the January 2015 attack, Charlie Hebdo staff relocated to the offices of the newspaper Liberation (Libération) to continue publishing. Source [6] explicitly states they were 'operating in the offices of the newspaper Liberation' in January 2015. Source [2] and [3] confirm they 'squatted' or stayed there for more than six months before moving to new rented offices in September 2015. Source [4] also notes that Libération's newsroom took in the surviving staff members the day after the attacks. The image provided appears to be a generic memorial or unrelated photo,"
8830,Not Misinformation,0.85,False,True,"The claim describes an 'old clock hanging up against the side of a barn'. The retrieved evidence confirms that such objects exist and are documented. Specifically, Evidence [3] from Unsplash explicitly describes a photo titled 'A barn with a clock on the side of it' located in Michigan. Additionally, Evidence [2] from WatchUSeek discusses a custom-built clock for a barn in Wisconsin, and Evidence [1] from Pinterest shows ideas for 'clock barn' decor. While the module signals indicated low relevancy due to missing context in the image description, the visual veracity check confirmed the image is not AI-generated (ai_generated=false). Since the image is real and the scenario described (a clock on a barn) is factually supported by multiple real-world examples and stock photos in the evidence,"
ds5053,Misinformation,0.85,False,True,"The claim that drinking green tea daily increases lifespan by exactly 'Ten Years' is a specific, quantifiable assertion that is not supported by the retrieved evidence. While multiple sources ([3], [4], [8], [10]) confirm that green tea is associated with increased longevity, reduced risk of cardiovascular disease, and better health outcomes, none cite a study establishing a specific ten-year extension. Source [3] references a study by Dr. Shinichi Kuriyama but does not mention a ten-year figure. Source [4] mentions an 'increased life span' in the elderly but lacks the specific magnitude. Source [5] explicitly states that 'Few scientific studies confirm a direct effect on long-term health and longevity.' The specific 'ten years' figure appears to be a fabrication or exaggeration not found "
ds2437,Misinformation,0.95,False,True,"The claim states that the image shows an 'animal food tray and cage' that is empty. However, the module signals explicitly identify the image as a 'disc golf basket' and state that there is 'no meaningful connection to the subject described in the headline.' The image does not depict an animal food tray or a cage; it depicts sports equipment. Therefore, the caption is factually incorrect regarding the content of the image, constituting misinformation."
ds1754,Not Misinformation,0.95,False,True,"The headline accurately describes the casting in the 2013 film 'The Fifth Estate'. Multiple credible sources, including Wikipedia, IMDb, and major news outlets like The New York Times and The Guardian, confirm that Benedict Cumberbatch played the role of Julian Assange in this biographical thriller. The image signals indicate the visual is not AI-generated and aligns with the subject. Therefore, the claim is factually correct."
ds4278,Misinformation,0.95,False,True,"The headline claims that Russian mansions seized by the Obama administration were intended as illegal gifts to his daughters, Sasha and Malia. This claim is demonstrably false. Evidence [1] from PolitiFact explicitly labels this narrative as 'fake news'. Evidence [6] from The Home Share, which hosts the specific headline text, is a known misinformation site, and the claim itself is debunked by the fact that the seized properties were Russian diplomatic compounds (embassies/retreats) seized in retaliation for election interference, not personal gifts to the First Family. Evidence [2] and [3] confirm the properties were diplomatic assets used by Russian diplomats, with no evidence suggesting they were gifts to the Obamas' daughters. The visual veracity signal indicates the image is not AI-ge"
ds6954,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.8) with a surreal and irrelevant depiction of a man floating in space, which bears no resemblance to Prof. Martin Hairer or the context of the headline. According to the definitive rule, an AI-generated image results in a 'Misinformation' label regardless of other signals. Furthermore, the headline contains factual inaccuracies regarding his current employment; while he was previously at Warwick, current evidence confirms he is a Professor at EPFL and Imperial College London, not Warwick. The combination of a fabricated image and outdated/incorrect biographical details constitutes misinformation."
ds3303,Misinformation,0.9,False,True,"The claim states that Scandinavia includes Svalbard and Jan Mayen. According to the retrieved evidence, Scandinavia is geographically and culturally defined as comprising Denmark, Norway, and Sweden (and sometimes the Scandinavian Peninsula). Svalbard and Jan Mayen are territories of the Kingdom of Norway but are explicitly excluded from the geographical definition of Scandinavia. Svalbard is part of the Nordic region, not Scandinavia. Therefore, the claim is factually incorrect regarding the definition of the region."
ds7131,Not Misinformation,0.65,False,True,"The claim states that Karen O performed at the ceremony (the 86th Academy Awards) and wore specific fashion items. Evidence [1], [3], and [7] confirm that Karen O performed at the 86th Annual Academy Awards in 2014. While the provided evidence snippets do not explicitly detail the designer of her dress (Camilla Staerk) or the specific jewels (Neil Lane), they do not contradict the claim. The visual veracity signal indicates the image is not AI-generated. The module signals note that specific fashion details are not visible in the image or found in the snippets, but this results in a lack of confirmation rather than a definitive refutation. Given that the core event (performance) is verified and the fashion details are plausible specificities often found in fashion reports (even if not in t"
ds3839,Misinformation,0.95,False,True,"The claim contains two factual errors. First, while Dev Patel did star in the movie 'Chappie' (as confirmed by multiple evidence sources [1], [4], [5], [7]), 'Chappie' is a live-action science fiction film that utilizes visual effects and motion capture, not an animated movie in the traditional sense (Evidence [4] from the module signals and Evidence [2], [4] from retrieved sources clarify it is a live-action film with VFX). Second, and more critically, the image provided is identified as AI-generated (Visual Veracity: ai_generated=true, confidence=0.9). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. The image does not depict a scene from the actual film or the actor, but rather an AI-generated stylized chara"
7469,Not Misinformation,0.95,False,True,"The retrieved evidence confirms that Donald Trump held a rally in Bangor, Maine, on October 15, 2016, at the Cross Insurance Center. Multiple sources, including the Press Herald, Bangor Daily News, and YouTube event listings, verify this specific date and location. The image shows Donald Trump speaking, which is consistent with the claim that he arrived to speak at a rally. While the image itself cannot be definitively geotagged to that specific moment without metadata, the headline's factual claims regarding the event (who, where, when) are supported by the evidence. The visual veracity signal indicates the image is not AI-generated. Therefore, the pair is not misinformation."
ds2506,Not Misinformation,0.85,False,True,"The claim is supported by specific evidence indicating that fencing is installed in Warsaw to protect pedestrians from falling bricks. Evidence item [3] explicitly states, 'There is now fencing around the first two buildings to catch the falling bricks and the courtyards have been closed off to visitors.' This directly corroborates the headline's assertion about the purpose of the fence. Additionally, evidence item [4] in the 'Module Signals' section (referencing a Mirror article) confirms that incidents of falling bricks have occurred in Warsaw, providing the context for why such safety measures are necessary. The image shows a real building with protective infrastructure, consistent with the description."
ds6291,Misinformation,0.95,False,True,"The image is identified as AI-generated (visual_veracity.ai_generated=true, confidence=0.9). The headline claims a 'statue riding a normal size gazelle'. While real statues of humans interacting with gazelles exist (e.g., the 'Bronze Gazelle Statue' in Tripoli or works by Marshall Fredericks), these typically depict a figure *caressing*, *holding*, or *standing with* the animal, not riding it in a manner that suggests a live animal being ridden. The visual evidence shows a human figure positioned on the back of the gazelle in a way that mimics riding, which is physically impossible for a real statue to depict as a live interaction, and the AI generation artifacts confirm the image is synthetic. Therefore, presenting this AI-generated image as a depiction of a real statue is misinformation."
ds994,Not Misinformation,0.95,False,True,"The image depicts performers forming the Olympic rings during a closing ceremony. The retrieved evidence confirms that the Olympic rings were indeed formed and displayed during the closing ceremony of the Paris 2024 Summer Olympics (held August 11, 2024) at the Stade de France. Multiple sources ([3], [4], [5], [6], [8]) describe dancers rotating large circles that were elevated to form the rings, or the final ring being lifted into place. The module signal correctly identifies the image as non-AI and aligned with the claim. Although the module's answer snippets contain hallucinated references to a 2026 Winter Olympics closing ceremony having already occurred (which is factually incorrect as of the current date, but the image itself is clearly from the 2024 Paris event based on visual cues "
7187,Not Misinformation,0.9,False,True,"The claim states that Supreme Leader Ayatollah Ali Khamenei waved during a meeting in Tehran last September. Evidence confirms that Khamenei made a public appearance in Tehran on September 17, 2022, at an Arbaeen ceremony, where he waved to the crowd [4] [8]. Additionally, he held a meeting with war veterans on September 21, 2022, in Tehran [2] [4]. The image signals indicate the photo is not AI-generated and aligns partially with the event context. Since Khamenei did wave in Tehran in September 2022, the headline is factually supported by the retrieved evidence."
ds5161,Misinformation,0.95,False,True,"The claim that Mike Pence has 'secret ties to a Russian spy agency' is factually false and contradicted by all available evidence. The retrieved sources consistently portray Pence as a staunch critic of Russia, highlighting his statements that Russian aggression is a major threat to NATO allies (Sources [3], [5], [6]) and his role in opposing Russian influence. There are no credible reports linking him to Russian espionage; instead, news regarding Pence and 'secret' matters relates to his Secret Service protection during the January 6 Capitol riot (Sources [4], [5], [7], [8]). The espionage allegations found in the evidence (Sources [1], [3], [6] under the 2023 query) concern other individuals and countries (e.g., UK/China, Iran), not Mike Pence. Therefore, the headline is a complete fabri"
8155,Misinformation,0.95,False,True,"The claim is demonstrably false on multiple factual levels. First, Charlie Pierce is a prominent journalist and political commentator (known for his work at Esquire and The Nation), not a member of Mitt Romney's staff; evidence [1], [3], [4] confirms he was a critic and observer of the Romney campaign, not a staffer. Second, the image provided depicts a scene of destruction (likely a disaster or accident site) which contradicts the specific description of a 'phone call in the doorway of a wire factory.' While there was a factory explosion in Ohio in 2012 (I Schumann & Co., mentioned in evidence [1] under 'Wire factory incident Ohio 2012 details'), the image does not depict Charlie Pierce making a phone call, nor is there any record of such an event involving him. The image appears to be un"
ds4064,Not Misinformation,0.9,False,True,"The image is a genuine photograph of Brad Pitt (visual_veracity ai_generated=false), and the headline is a standard clickbait-style question regarding his net worth, which is a factual topic. The retrieved evidence confirms that Brad Pitt's net worth is estimated to be between $300 million and $400 million (with some recent estimates reaching $500 million), derived from his acting career, production work, and investments. The image and headline are aligned and factually grounded in the public record of his financial status."
7330,Misinformation,0.95,False,True,"The image is definitively mislabeled. The module's relevancy signal correctly identifies that the image does not depict Jonathan Jones or the Millennium Bridge, but rather a group of people in an unrelated setting (noted to include a lightsaber, suggesting a cosplay or event context). The retrieved evidence confirms that Jonathan Jones is either an American football player or a British art critic, with no connection to the Millennium Bridge. Furthermore, the evidence provides descriptions and stock photos of the Millennium Bridge (e.g., [2], [9], [10] in the third evidence block) which show a pedestrian bridge over the Thames, visually distinct from the image described. Since the image does not match the headline's subject matter, it constitutes misinformation."
6119,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). The module signals explicitly state that the image contains 'cartoonish characters' and 'dog faces' which are contextually bizarre and do not relate to the headline. The headline 'not no way not no how' is a famous quote from the 1939 film 'The Wizard of Oz', spoken by the Gatekeeper (or the Cowardly Lion in some misremembered contexts, but the phrase is iconic to that film). The image does not depict a scene from the movie, nor does it accurately represent the characters or setting associated with the quote. Instead, it shows a surreal, AI-generated scene with a door and an octopus plush toy (as seen in evidence [4] which describes a Pinterest pin with similar text but different imagery, or potentially just a generic AI g"
8719,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8) by the visual veracity module. The definitive rule states that if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. The retrieved evidence supports the existence of 'pink and green buses' in specific contexts (e.g., Balochistan government project, children's songs like Pinkfong), but does not validate the specific visual claim of a real-world photo of such a bus parked on a grass field. The AI generation nature of the image makes the claim of it being a factual depiction of a specific event or location false."
ds6481,Not Misinformation,0.85,False,True,"The image depicts Vladimir Putin and Borut Pahor, which is factually correct as they met multiple times, including a notable visit by Putin to Slovenia in July 2016 to mark the 100th anniversary of the Russian Chapel (Evidence [3], [1] from Q2). The module signals contain a hallucinated date ('July 30, 2026') in one answer, but the other answers correctly identify the 2016 event and the individuals. The visual veracity signal indicates the image is not AI-generated. Since the core claim that the photo shows these two individuals is true, and the image is real, the label is Not Misinformation. The erroneous future date in the module's internal reasoning does not change the factual accuracy of the image identification itself."
ds8617,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8) by the visual veracity module. According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. The headline claims the image shows a specific real-world scene ('A parking meter in front of a restaurant and parking lot'), but since the image is synthetic, it does not depict a real event or location, constituting misinformation."
5939,Misinformation,0.95,False,True,"The claim asserts that Vic Mensa has roots in Houston, Texas, which directly contradicts established facts. Evidence [1] and [3] confirm that Vic Mensa was born and raised in Chicago, Illinois, with Ghanaian and European ancestry, not Houston. Furthermore, the module's visual veracity signal indicates the image is AI-generated (confidence 0.8), which triggers the definitive rule to classify the pair as Misinformation regardless of other signals. The image itself is fabricated and does not depict a real event or person in the context claimed."
