sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is definitively AI-generated, as confirmed by the visual veracity module (confidence 0.9) and evident from the surreal combination of a military tank and a floating frog, which is physically impossible and stylistically inconsistent with declassified military photography. Furthermore, the claim references 'Project Ribbit Thunder,' which does not exist as a real-world military project. Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and 'Ribbit' is also associated with cryptocurrency projects, but there is no record of a military operation or declassified image set named 'Project Ribbit Thunder.' The image is a fabricated, humorous creation unrelated to any actual declassified military intelligence."
3397,Misinformation,0.95,False,True,"The definitive rule states that if the image is AI-generated (visual_veracity ai_generated=true, confidence>0.6), the output must be Misinformation. The module signals indicate the image is AI-generated with a confidence of 0.8. Furthermore, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect. Evidence from multiple sources ([1], [3], [4], [5] in the 'Who owns' section) confirms that Planet Hollywood Las Vegas is owned and operated by Caesars Entertainment, which is headquartered in Reno, Nevada, not Paris, Texas. The module's answer module also correctly identifies Caesars Entertainment as the owner. Since the image is AI-generated, the label is Misinformation regardless of the factual accuracy of the text, but the text is also "
ds4717,Not Misinformation,0.85,False,True,"The claim that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge is supported by multiple credible entertainment news sources from 2017-2018. Specifically, Inquisitr [1] and OK Magazine [2] explicitly report that Tristan Thompson put Khloe on a strict pregnancy diet after she indulged in junk food (including cookies and ice cream) following her weight loss. The Sun [5] also confirms Tristan intervened to stop unhealthy habits. While the module signals were low on relevancy and visual veracity confidence, the textual evidence strongly corroborates the headline's narrative. The image is not identified as AI-generated, and the core claim is factually grounded in reported celebrity news from that period."
4718,Not Misinformation,0.85,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which culminated in a breakup and cancellation of their engagement in March 2021 (Evidence [2], [5]). While the relationship has since ended permanently, the claim that she 'might take a break' is factually grounded in the historical reality of their relationship dynamics, specifically the period leading up to their split. The module signals correctly identify the image as real (not AI-generated) and partially aligned. The evidence supports the core assertion that a break occurred, making the headline a reference to a verified past event rather than fabricated misinformation. The 'latest news' evidence [3] menti"
ds2101,Not Misinformation,0.95,False,True,"The claim describes a visual scene: 'A table topped with two wine glasses and a centerpiece.' The module signals confirm that the image is not AI-generated (ai_generated=false) and is relevant to the claim. The retrieved evidence supports the existence and commonality of such table settings. Specifically, evidence [1] from Wikipedia and [2] from Tikanna Lighting define a centerpiece as a focal point of table decor. Evidence [3] from Pexels and [4] from Adobe Stock show stock images of tables set with wine glasses and centerpieces, confirming this is a standard, real-world table arrangement. There is no evidence to suggest the image is fake or the description is misleading. The module's assessment of visual veracity aligns with the evidence that such scenes are common in photography and des"
5000,Misinformation,0.95,False,True,"The claim that President Obama admitted to a secret deal with China to hand over U.S. territory to settle debt is factually false. The retrieved evidence confirms that while the Obama administration engaged in diplomatic relations and trade enforcement with China, there was no such deal. Specifically, evidence [1] from Brookings and [3] from the White House detail standard diplomatic cooperation and state visits, not territorial transfers. Furthermore, the claim confuses historical events; Hong Kong was handed over to China by the United Kingdom in 1997, long before Obama took office, as noted in evidence [1] and [2] regarding Trump's later actions on Hong Kong's status. No U.S. territory was transferred to China during the Obama presidency to settle debt. The image of the Obamas is unrela"
ds4724,Not Misinformation,0.65,False,True,"The claim that George and Amal Clooney are sleeping in separate bedrooms is a specific detail regarding their private lives. The retrieved evidence presents conflicting narratives: some sources (e.g., [2] menzfirst.com) explicitly refute the claim, stating it is inaccurate and that they have adapted to each other's habits. However, other sources discuss 'growing divorce speculation' and 'separation' rumors (e.g., [4] AOL, [5] Pakistan Today, [2] realitytea.com), which often fuel such specific domestic rumors. The module signals indicate the image is real (not AI-generated) but only partially aligned with the specific claim of separate bedrooms. Since the image itself does not prove or disprove the sleeping arrangement, and the textual evidence contains both denials and rumors of separation"
ds1157,Not Misinformation,0.85,False,True,"The claim states that a person holds a banner during the pope's procession down Fifth Avenue to St Patrick's Cathedral. Evidence confirms that Pope Francis traveled down Fifth Avenue to St. Patrick's Cathedral on September 24, 2015, and that Pope Paul VI also traveled down Fifth Avenue to the Cathedral in 1965, where 55,000 people lined the street [2, 3, 5]. While the specific image of a person holding a banner is not explicitly detailed in the text snippets, it is highly plausible and consistent with historical accounts of such high-profile papal visits where crowds hold banners and signs. The module signals indicate the image is not AI-generated (visual_veracity ai_generated=false), and the event described (pope procession on Fifth Avenue to St. Patrick's) is factually supported by multi"
5013,Not Misinformation,0.75,False,True,"The image is verified as not AI-generated (visual_veracity.ai_generated=false). The headline uses sensationalist language ('Controversial', 'Shocking', 'Exposed') typical of clickbait, but the core subject matter—Brooke Burke's dating life and divorce—is grounded in reality. Evidence confirms Brooke Burke is divorced from David Charvet (Evidence [3], [4] in Q3) and is currently engaged to Scott Rigsby, with recent news regarding wedding date delays (Evidence [1], [2] in Q1). The module signal correctly identifies that the image is not a specific depiction of the 'dating revelation' but rather a generic stock-style photo of Brooke Burke. Since the image is real and the headline refers to actual events in her life (divorce, new relationship), it is not misinformation, although the framing is"
ds9980,Not Misinformation,0.85,False,True,"The image depicts a scene consistent with the widespread media coverage of Iraqi families fleeing Mosul and settling in camps near Kurdish checkpoints (specifically the Khazer/Aksi Kalak area) during the ISIS conflict (circa 2014-2017). Evidence [3] from Daily Mail explicitly mentions a 'girl stands besides her tent at a temporary displacement camp set up next to a Kurdish checkpoint in Kalak' while Peshmerga check vehicles. Evidence [1] from NBC News and [5] from NPR describe Iraqi families crowding fields and checkpoints in the Khazer area. The visual of a girl in a field near a checkpoint aligns with these documented events. The module signal correctly identified the image as not AI-generated. While the headline specifies 'settles with her family' and 'smiles', which are specific detail"
ds2354,Not Misinformation,0.85,False,True,"The image depicts a large airplane flying low in a cloudy sky. The module signals indicate the image is not AI-generated (visual_veracity.ai_generated=false) and is relevant to the claim. The retrieved evidence supports the plausibility of the scene: sources [1] and [4] in the 'What causes planes to fly low?' section confirm that planes often fly low due to wind conditions, landing approaches (e.g., at LAX), or weather adjustments. Source [1] in the 'Cloudy skies' section confirms that weather impacts flight paths. While the claim is generic and does not refer to a specific unique event, the visual content is consistent with common aviation occurrences described in the evidence (low flying planes due to weather or approach). There is no evidence contradicting the visual or suggesting the i"
ds4,Not Misinformation,0.95,False,True,"The claim states that after the murders, Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper. The retrieved evidence confirms this sequence of events. Specifically, evidence [2] from the Sydney Morning Herald and [4] from France 24 explicitly state that the surviving staff took refuge in the Liberation (Libération) newsroom immediately after the attacks in January 2015. They 'squatted' there for over six months before moving to new rented offices in September 2015 (Evidence [2], [3]). The image provided appears to be a memorial site, which is consistent with the aftermath of the attacks, though it does not depict the office move itself. However, the textual claim regarding the relocation to Liberation is factually supported by multiple cred"
8830,Not Misinformation,0.85,False,True,"The claim describes an image of an old clock hanging against the side of a barn. The module signals indicate the image is not AI-generated (visual_veracity.ai_generated=false) and the relevancy module, while noting a lack of specific 'barn' context in its internal reasoning, does not flag the image as fake. Crucially, the retrieved evidence supports the existence of such imagery. Specifically, Evidence [3] from Unsplash explicitly describes a photo titled 'A barn with a clock on the side of it' located in Michigan, which matches the claim's description perfectly. Evidence [2] from WatchUSeek also discusses a clock built for a barn. Since the image is verified as real (not AI-generated) and the scenario described is documented in real-world photography and anecdotes, the claim is considered"
