sample_id,label,confidence,abstain,parse_ok,rationale
9232,Misinformation,1.0,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of the claim as misinformation. The presence of human-like faces on sheep indicates manipulation that does not occur in reality. Additionally, the claim about border collies herding sheep is not visually supported in the image, further reinforcing the misinformation status."
534,Not Misinformation,0.9,False,True,"The evidence confirms that Chris Christie did indeed speak at CPAC 2014, which took place from March 6-8, 2014, in National Harbor, Maryland. The image is not AI-generated, and the context aligns with the claim."
3025,Misinformation,0.8,False,True,"The image is identified as AI-generated, which leads to the classification of the claim as misinformation regardless of the other signals. The claim states that Mick Jackson directed 'Temple Grandin' in 2008, but the film was actually released in 2010. The AI-generated nature of the image further supports the misinformation label."
ds5236,Not Misinformation,0.8,False,True,"The evidence indicates that Press Secretary Gibbs was misquoted by Fox News regarding President Obama's viewing of an HBO special, which aligns with the claim of misquotation. The sources confirm that Gibbs did not claim the President watched the documentary, but rather suggested it would look better if he did (https://www.newsbusters.org/blogs/nb/kyle-drennen/2009/11/04/updated-obama-watching-self-hbo-misreported-gibbs-misquoted). Additionally, there are no specific allegations of deception against Gibbs in the context of the claim, as the sources focus on other issues related to the White House communications team (https://talkingpointsmemo.com/dc/white-house-knew-porter-abuse-allegations)."
ds5492,Not Misinformation,0.7,False,True,"The claim about 'Top Gun: Maverick' being delayed is supported by evidence indicating that the film was indeed delayed multiple times, primarily due to the coronavirus pandemic. However, there is no substantial evidence regarding a specific contract dispute involving Tom Cruise or fan reactions to the release schedule. The signals indicate partial alignment with the claim, but the lack of evidence on the contract dispute and fan reactions leads to a lower confidence level."
ds3333,Misinformation,1.0,False,True,"Sean Gunn has significant acting experience, including notable roles in 'Gilmore Girls' and the Marvel Cinematic Universe. The evidence clearly supports that he is an established actor, contradicting the claim that he has no experience acting."
ds5295,Misinformation,0.8,False,True,"The claim that Biden is involved in an illegal deal with China to sell U.S. land for debt relief is not supported by credible evidence. The sources indicate that there are no verified claims of Biden selling U.S. land to China, and discussions about Biden's dealings often stem from political rhetoric rather than factual substantiation. Additionally, while there are allegations regarding Hunter Biden's business dealings, they do not implicate Joe Biden in illegal activities related to land sales. Therefore, the claim is misleading."
1021,Misinformation,0.9,False,True,"The evidence confirms that a campaign poster for Teodoro Obiang Nguema was indeed present in Malabo on April 23, 2016. Specifically, the evidence states, 'A picture taken on April 23, 2016 shows an electoral poster of Equatorial Guinea incumbent president and candidate Teodoro Obiang in Malabo' (source: https://thepeninsulaqatar.com/article/24/04/2016/Entrenched-leader-Obiang-who-led-EGuinea-from-terror-to-oil). This directly supports the claim that the poster dominated the view in the capital during that time. Additionally, the Wikipedia entry for the 2016 Equatorial Guinean presidential election corroborates that Obiang was campaigning during this period (source: https://en.wikipedia.org/wiki/2016_Equatorial_Guinean_presidential_election)."
40,Misinformation,0.9,False,True,"The evidence indicates that there have been significant data breaches in South Korea, including a recent investigation into a cyberattack at Lotte Card, which affected a large number of users. This aligns with the claim that South Korean customers had to cancel their credit cards after data was stolen. Additionally, historical context shows that customers have previously canceled credit cards in response to data breaches. The image does not appear to be AI-generated, further supporting the claim's validity."
ds2361,Not Misinformation,0.7,False,True,"The image depicts a blue-and-white jet airplane, but it is not confirmed to be sitting on an airport runway as the setting appears to be an airshow or exhibition. The evidence supports the existence of blue-and-white jets at airports, but does not definitively confirm the claim about the specific context of the image."
