sample_id,label,confidence,abstain,parse_ok,rationale
9232,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, as indicated by the visual veracity signal with a confidence of 0.9. The presence of human-like faces on sheep is a clear indication of manipulation that does not occur in reality. Additionally, the claim about border collies herding sheep is not supported by the image, which lacks any visible evidence of the dogs. Therefore, the combination of AI generation and lack of factual representation leads to the conclusion of misinformation."
534,Not Misinformation,0.9,False,True,"The image depicts Chris Christie, who is indeed the subject of the headline. The evidence confirms that he spoke at the Conservative Political Action Conference (CPAC) held from March 6-8, 2014, in National Harbor, Maryland. The visual veracity indicates that the image is not AI-generated, further supporting the authenticity of the claim."
3025,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which is a definitive indicator of misinformation regardless of the claim's accuracy. The claim states that Mick Jackson directed 'Temple Grandin,' which is true, but the AI generation of the image invalidates the reliability of the information presented. The visual veracity confidence is high (0.8), indicating strong evidence of AI generation. Additionally, the retrieved evidence confirms that Mick Jackson did direct the film, but the AI-generated nature of the image takes precedence in this evaluation."
ds5236,Not Misinformation,0.9,False,True,"The image is confirmed to be a genuine photograph, and the headline discusses a specific incident involving Press Secretary Gibbs misquoted in a briefing. The evidence supports that Gibbs was misquoted by Fox News regarding President Obama's viewing of an HBO special, which aligns with the claim made in the headline. Additionally, the allegations of deception within the White House communications team are substantiated by evidence regarding their handling of various issues, including the Porter allegations. Therefore, the claim is supported by credible evidence."
ds5492,Not Misinformation,0.6,False,True,"The claim about 'Top Gun: Maverick' being delayed due to a contract dispute is not supported by the evidence. While the film was indeed delayed multiple times, the specific reason of a contract dispute involving Tom Cruise is not substantiated by the retrieved evidence. The evidence indicates that the delays were primarily due to the coronavirus pandemic and not contractual issues. Additionally, there are no recent reports confirming a contract dispute. The image is not AI-generated, which supports the claim's authenticity. However, the lack of specific evidence regarding the contract dispute and fan reactions leads to a medium confidence level."
ds3333,Misinformation,0.9,False,True,"The claim that Sean Gunn has no experience acting is false. Sean Gunn is a well-known actor with significant experience, including notable roles in 'Gilmore Girls' and the 'Guardians of the Galaxy' series. The evidence clearly supports his acting credentials, contradicting the claim made in the headline."
ds5295,Misinformation,0.9,False,True,"The claim that Biden is involved in an illegal deal with China to sell U.S. land for debt relief is not supported by credible evidence. The retrieved evidence indicates that there are no verified claims of Biden selling U.S. land to China, and discussions about Biden's dealings often stem from political rhetoric rather than factual substantiation. Additionally, while there are allegations regarding Hunter Biden's business dealings, they do not implicate Joe Biden in illegal activities related to land sales. The image does not provide any evidence of an illegal deal, and the context of U.S.-China relations does not confirm the specifics of the claim. Therefore, the claim is misleading and lacks factual basis."
1021,Not Misinformation,0.9,False,True,"The image in question appears to be a genuine photograph of a political billboard featuring a candidate, and there are no indications that it is AI-generated. The evidence confirms that Teodoro Obiang Nguema Mbasogo campaigned in 2016, and a specific campaign poster for him was indeed present in Malabo on April 23, 2016. The retrieved evidence supports the claim that he was the incumbent president and that he had campaign materials displayed during that time."
40,Not Misinformation,0.9,False,True,"The claim about South Korean customers having to cancel their credit cards after data was stolen is supported by multiple pieces of evidence. The retrieved evidence indicates that there have been significant data breaches in South Korea, including a recent investigation into a cyberattack at Lotte Card, which affected a large number of users (https://therecord.media/south-korea-probes-credit-card-data-breach). Additionally, historical context shows that customers have previously canceled credit cards in response to data breaches, such as the incident in 2012 where millions of records were compromised (https://www.arabianbusiness.com/gallery/south-koreans-cancel-credit-cards-535857). The image does not appear to be AI-generated, further supporting the authenticity of the claim."
ds2361,Not Misinformation,0.6,False,True,"The image depicts a blue-and-white jet airplane, which aligns with the claim. However, the context suggests it may not be on a typical airport runway, as it appears to be at an airshow or exhibition. The visual veracity indicates that the image is not AI-generated, which supports the authenticity of the claim. The evidence items confirm the existence of blue-and-white jet airplanes at airports, but do not definitively state that the specific image is on a runway. Therefore, while the claim is partially supported, the context reduces the overall confidence in its accuracy."
