sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) with high certainty due to the surreal and physically impossible combination of a military tank and a floating frog. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and 'Project Rabbit' is a video game, while 'Project Ribbit Thunder' appears to be a conflation of these pop culture references and cryptocurrency projects (RIBBIT/RBT). There is no real-world military project by this name, and the image is clearly a digital fabrication rather than a declassified historical document."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not Paris, Texas."
ds4717,Not Misinformation,0.85,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. Retrieved evidence from multiple sources (Inquisitr, OK Magazine, The Sun) confirms that during her pregnancy with Tristan Thompson (circa 2017-2018), there were widespread reports and claims that Tristan intervened in her diet, encouraging her to avoid unhealthy habits and junk food (like the cookies and ice cream mentioned) after she had indulged. While the word 'forced' is strong, the media narrative consistently described his influence as strict and controlling, aligning with the core claim of the headline. The image relevance signal is low, but the textual claim is supported by contemporaneous news reports."
4718,Not Misinformation,0.85,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did take a break from their relationship, which led to their breakup and cancellation of engagement in March 2021. While the relationship has since ended, the statement that she 'might take a break' is factually grounded in the history of their relationship dynamics (specifically the 2021 split). The image is a genuine photograph of J.Lo. The headline uses speculative language ('might') which aligns with the historical precedent of their relationship instability. Therefore, it is not misinformation."
ds2101,Not Misinformation,0.95,False,True,"The image depicts a table setting with wine glasses and a centerpiece, which aligns perfectly with the claim. The visual veracity module indicates the image is not AI-generated (ai_generated=false). The retrieved evidence confirms that such table settings are common and that centerpieces and wine glasses are standard elements of table decor. There is no evidence of deception or AI generation."
5000,Misinformation,0.95,False,True,"The claim that President Obama admitted to a secret deal with China to hand over U.S. territory to settle debt is factually false. There is no record of such a deal. The United States has never ceded any of its sovereign territory to China. While Hong Kong was handed over to China in 1997, it was a transfer from British colonial rule, not from the United States, and occurred long before Obama's presidency. The retrieved evidence confirms that Obama's relationship with China involved diplomatic engagement and trade enforcement, but no territorial concessions or debt-for-land settlements. The image of the Obamas is unrelated to the specific false claim, serving as a generic visual for the headline."
ds4724,,,False,False,PARSE_FAILURE
ds1157,Not Misinformation,0.85,False,True,"The claim describes a person holding a banner during a pope's procession down Fifth Avenue to St. Patrick's Cathedral. Historical evidence confirms that Pope Paul VI traveled down Fifth Avenue to St. Patrick's Cathedral in 1965, and Pope Francis did so in 2015. During such high-profile papal visits, it is standard for crowds to hold banners and signs. The image shows a banner with the Pope's image, which is consistent with the described event. The module signals indicate the image is not AI-generated. While the specific identity of the person holding the banner is not verifiable from the image alone, the event described (Pope procession on 5th Ave to St. Patrick's) is historically accurate, and the visual content (banner) is consistent with the claim. Therefore, it is not misinformation."
5013,Misinformation,0.85,False,True,"The headline claims a 'Controversial Dating Revelation' sparked by her divorce. However, the retrieved evidence and module signals indicate that Brooke Burke's divorce from David Charvet was finalized years ago (around 2019/2020) and is not a current event driving new speculation. Furthermore, current reports (2025) focus on her engagement to Scott Rigsby and the postponement of their wedding, not a 'dating revelation' linked to a divorce. The image provided is explicitly flagged as irrelevant to the specific claim (showing two individuals on stage, not Brooke Burke in the context of the headline). The combination of an irrelevant image and a headline that misrepresents the timeline and nature of her current relationship status (framing an old divorce or current engagement as a new 'contro"
ds9980,Not Misinformation,0.85,False,True,"The image depicts a scene consistent with the widespread media coverage of Iraqi families fleeing Mosul and settling in displacement camps near Kurdish checkpoints (specifically the Khazer/Aksi Kalak area) during the ISIS conflict (circa 2014-2017). Evidence [3] from Daily Mail explicitly mentions 'A girl stands besides her tent at a temporary displacement camp set up next to a Kurdish checkpoint in Kalak' in the context of Peshmerga checking vehicles of Iraqis fleeing Mosul. Evidence [1] and [5] from NBC and NPR confirm that families were seen in desert fields near these checkpoints. While the specific date is not 2023 (as suggested by one module signal, which appears to be a hallucination or irrelevant retrieval regarding a wedding fire), the core claim of an Iraqi girl settling with fam"
