FN,FP,TN,TP,accuracy,avg_confidence,bin_lower,bin_upper,brier_score,category,count,expected_calibration_error,f1,judge_confidence_samples,judge_label_distribution,judge_logprob_samples,missing_in_gt_map,name,precision,recall,recall_neg,recall_pos,samples,support,total_outputs,uncertain_count,uncertain_rate,visual_veracity_coverage_rate,visual_veracity_gt_known,visual_veracity_pred_covered
,,,,,,,,,summary,,,,200,"{'Misinformation': 123, 'Not Misinformation': 77}",0,0,counts,,,,,,,200,0,0.0,1.0,200,200
32,15,45,108,0.765,,,,,metric,,,0.8213,,,,,judge_overall,0.878,0.7714,0.75,0.7714,,200,,,,,,
22,0,0,38,0.6333,,,,,metric,,,0.7755,,,,,judge_by_fake_cls_mismatch,1.0,0.6333,0.0,0.6333,,60,,,,,,
0,15,45,0,0.75,,,,,metric,,,0.0,,,,,judge_by_fake_cls_original,0.0,0.0,0.75,0.0,,60,,,,,,
8,0,0,52,0.8667,,,,,metric,,,0.9286,,,,,judge_by_fake_cls_textual_veracity_distortion,1.0,0.8667,0.0,0.8667,,60,,,,,,
2,0,0,18,0.9,,,,,metric,,,0.9474,,,,,judge_by_fake_cls_visual_veracity_distortion,1.0,0.9,0.0,0.9,,20,,,,,,
15,23,139,23,0.81,,,,,metric,,,0.5476,,,,,visual_veracity_filtered,0.5,0.6053,0.858,0.6053,,200,,,,,,
15,23,139,23,0.81,,,,,metric,,,0.5476,,,,,visual_veracity_all,0.5,0.6053,0.858,0.6053,,200,,,,,,
,,,,,,,,0.189275,calibration_summary,,0.131,,,,,,judge_confidence,,,,,200,,,,,,,
,,,,,,0.0,0.1,,calibration_bin,0,,,,,,,bin_0,,,,,,,,,,,,
,,,,,,0.1,0.2,,calibration_bin,0,,,,,,,bin_1,,,,,,,,,,,,
,,,,1.0,0.2,0.2,0.3,,calibration_bin,2,,,,,,,bin_2,,,,,,,,,,,,
,,,,,,0.3,0.4,,calibration_bin,0,,,,,,,bin_3,,,,,,,,,,,,
,,,,,,0.4,0.5,,calibration_bin,0,,,,,,,bin_4,,,,,,,,,,,,
,,,,1.0,0.5,0.5,0.6,,calibration_bin,2,,,,,,,bin_5,,,,,,,,,,,,
,,,,0.875,0.6,0.6,0.7,,calibration_bin,8,,,,,,,bin_6,,,,,,,,,,,,
,,,,0.4286,0.7,0.7,0.8,,calibration_bin,21,,,,,,,bin_7,,,,,,,,,,,,
,,,,0.7391,0.8,0.8,0.9,,calibration_bin,69,,,,,,,bin_8,,,,,,,,,,,,
,,,,0.8367,0.9541,0.9,1.0,,calibration_bin,98,,,,,,,bin_9,,,,,,,,,,,,
,,,,,,,,,calibration_summary,,,,,,,,judge_logprob_confidence,,,,,0,,,,,,,
