sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and impossible scene of a frog floating above a tank. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence shows that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and there are cryptocurrency tokens named 'Ribbit', but there is no evidence of a real-world military project named 'Ribbit Thunder' associated with declassified imagery. The combination of an AI-generated image with a fabricated military context constitutes misinformation."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not Paris, Texas."
ds4717,Not Misinformation,0.85,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. Retrieved evidence confirms that during her pregnancy with Tristan Thompson (which occurred around 2017-2018), Tristan Thompson did intervene in her diet, reportedly telling her he 'won't stand for unhealthy habits' and putting her on a strict diet [1, 2, 5]. While the specific trigger event of a 'cookies and ice cream binge' is not explicitly detailed in the snippets as the sole cause, the core claim that Tristan enforced a strict diet on Khloe during her pregnancy is supported by multiple sources [1, 2, 5]. The module signals indicate the image is not AI-generated and is relevant (though the specific image content isn't described, the text alignment is strong). The cl"
4718,Not Misinformation,0.85,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which culminated in a breakup and cancellation of their engagement in March 2021 (Evidence [2], [5] from retrieved set). While the relationship has since ended permanently, the statement that she 'might take a break' is factually grounded in the history of their relationship dynamics, specifically the period leading up to their split. The module signals also confirm the image is not AI-generated and aligns with the subject. The headline is likely a clickbait-style reference to their past relationship status or a re-contextualization of their history, but it does not constitute misinformation as the core event (t"
ds2101,Not Misinformation,0.95,False,True,"The image depicts a table setting with two wine glasses and a centerpiece, which aligns perfectly with the claim. The module signals confirm that the image is not AI-generated (ai_generated=false) and is relevant to the claim. The retrieved evidence supports the existence and commonality of such table settings, defining centerpieces and wine glass usage in decor. There is no evidence of manipulation or falsehood."
5000,Misinformation,0.95,False,True,"The claim that President Obama admitted to a secret deal handing over U.S. territory to China to settle debt is factually false. Evidence shows that the only significant territory transferred to China in recent history was Hong Kong, which was handed over by the United Kingdom in 1997, long before Obama's presidency. There is no record of any U.S. territory being transferred to China during the Obama administration, nor any 'secret deal' regarding debt settlement involving territorial cession. While the Obama administration engaged in diplomatic and trade relations with China (including a 2014 state visit), these did not involve surrendering U.S. soil. The image of the Obamas is unrelated to such a non-existent event, and the headline relies on a fabricated narrative."
ds4724,,,False,False,PARSE_FAILURE
ds1157,Not Misinformation,0.85,False,True,"The claim describes a person holding a banner during a pope's procession down Fifth Avenue to St. Patrick's Cathedral. Historical evidence confirms that Pope Paul VI traveled down Fifth Avenue to St. Patrick's Cathedral in 1965, and Pope Francis did so in 2015. During such high-profile papal visits, it is standard for crowds to hold banners and signs. The retrieved evidence supports the occurrence of the procession on Fifth Avenue to the Cathedral for multiple popes. While the specific image might be a stock photo or a generic representation (as the module signals suggest partial alignment and the image shows a generic banner), the event described is factually grounded in historical reality. There is no evidence that the image is AI-generated (visual_veracity ai_generated=false). Therefore"
5013,Misinformation,0.85,False,True,"The headline claims a 'Controversial Dating Revelation' sparked by her divorce. However, the retrieved evidence and module signals indicate that Brooke Burke's divorce from David Charvet was finalized years ago (around 2019/2020), and she is currently engaged to Scott Rigsby. The recent news (June 2025) concerns the postponement of her wedding to Rigsby, not a new dating revelation stemming from a divorce. Furthermore, the module signals explicitly state that the image is not aligned with the headline (it does not depict Brooke Burke or the specific event). The image shows two generic individuals on a stage, likely from 'Dancing with the Stars' or a similar show, which is unrelated to the specific 'dating revelation' narrative. The mismatch between the specific, sensationalized claim and t"
ds9980,Not Misinformation,0.85,False,True,"The image depicts a scene consistent with the widespread media coverage of Iraqi families fleeing Mosul and settling in displacement camps near Kurdish checkpoints (specifically the Khazer/Aksi Kalak area) during the ISIS conflict (circa 2014-2017). Evidence [3] from Daily Mail explicitly mentions a 'girl stands besides her tent at a temporary displacement camp set up next to a Kurdish checkpoint in Kalak' and describes Peshmerga checking vehicles of Iraqis fleeing Mosul. Evidence [1] from NBC News and [5] from NPR confirm that Iraqi families crowded Kurdish checkpoints and settled in fields/camps in the Khazer area. While the headline specifies '2023' in the module signals for family settlement, the visual content (a girl in a field near a checkpoint) is a well-documented historical reali"
ds2354,Not Misinformation,0.85,False,True,"The image depicts a large airplane flying low in a cloudy sky, which is a plausible and common aviation scenario. The retrieved evidence confirms that planes frequently fly low due to various factors such as landing approaches (e.g., at LAX), wind conditions, or weather avoidance (clouds). The visual content aligns with the headline description. The module signals indicate the image is not AI-generated (visual_veracity ai_generated=false), and the content is consistent with real-world aviation phenomena described in the evidence (e.g., [1] TikTok discussing low flights, [4] Airport-AMS discussing wind-induced low flights, [3] CASA discussing weather impact). There is no evidence suggesting the image is fake or the claim is false."
