sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and impossible scene of a frog floating above a tank. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and 'Project Rabbit' is a video game, with no connection to military declassification or a 'Project Ribbit Thunder'. Furthermore, recent declassified military images typically involve satellite imagery (e.g., KH-7/KH-9) or specific historical missions (e.g., SAS, UFO projects), none of which match the AI-generated content. The combination of an AI-generated image with a fabricated military context constitutes misinformation."
3397,Misinformation,0.9,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not Paris, Texas."
ds2700,Not Misinformation,0.6,False,True,"The image depicts a scaled quail, which is a real bird species native to the Southwestern US and Mexico. The module signals indicate the image is not AI-generated (visual_veracity.ai_generated=false). The headline claims the bird is standing on one leg next to a raisin and a peanut. Evidence confirms that scaled quails do stand on one leg (Evidence [3] from Utah County Birders Newsletter) and are omnivores that eat seeds and grains (Evidence [1] from Bartleby, Evidence [3] from A-Z Animals). While the specific presence of a raisin and peanut in the image cannot be visually verified from the provided text snippets, the biological plausibility of the scene (a quail standing on one leg, potentially near food items) is supported by the evidence. There is no indication of AI generation or factu"
ds4880,Not Misinformation,0.9,False,True,"The claim that Lindsay Lohan wore a hijab and sparked mixed feelings on social media is supported by multiple credible news sources. Evidence [1] from The Independent and Evidence [2] from Yahoo confirm that Lindsay Lohan attended London Modest Fashion Week wearing a hijab. Furthermore, Evidence [3] from Rediff.com and Evidence [1] from AOL explicitly mention the 'mixed feelings' and confusion on social media/internet regarding this appearance. The image provided aligns with the event described, and the module signals indicate the image is not AI-generated. Therefore, the headline accurately reflects reported events."
ds8852,Not Misinformation,0.6,False,True,"The image shows three teddy bears against a stone wall, which appears to be an outdoor or natural setting rather than a bedroom wall. The claim specifies 'a bedroom wall' and 'a stuffed cat', neither of which are present in the image. The visual veracity module indicates the image is not AI-generated (real photo). While the claim contains specific details (bedroom, cat) that are not supported by the visual evidence (outdoor, no cat), the image itself is a real photograph of teddy bears. The mismatch is likely due to a poor caption or a different context, but since the image is real and not AI-generated, and the core subject (teddy bears) is present, it is not 'Misinformation' in the sense of fabricated content. However, the specific details are wrong. Given the strict rule to output Misinf"
7551,Not Misinformation,0.6,False,True,"The claim states that snow has fallen in parts of the UK, specifically mentioning Kielder Water in Northumberland, and that more is predicted. Evidence [3] from BBC News confirms that 'Snow has fallen across parts of northern England and southern Scotland, with more forecast over the weekend,' which directly supports the general claim and the prediction aspect. While the specific image provided is not definitively geotagged to Kielder Water in the evidence, Kielder Water is a known location in Northumberland that experiences snow (Evidence [1] mentions a van caked in snow there during the 'Beast from the East', and Evidence [4] confirms snowfall there). The module signals indicate the image is not AI-generated and is partially aligned. Given that the core factual assertions (snow in northe"
365,Misinformation,0.9,False,True,"The image is identified as AI-generated with high confidence (0.8). The visual evidence shows gorillas with unnatural, exaggerated features and expressions that do not correspond to real footage of the Kwita Izina ceremony. While the event (Kwita Izina) and the general concept of entertainment at such events are real, the specific image provided is synthetic and does not depict the actual event described in the headline. According to the definitive rule, if the image is AI-generated, the output must be Misinformation."
ds4717,Not Misinformation,0.6,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. The retrieved evidence supports the core narrative that Tristan Thompson did influence or 'put' Khloe on a diet during her pregnancy (Sources [1], [2], [6]). Specifically, Source [1] from Inquisitr uses the exact phrasing 'Khloe Kardashian Forced By Tristan To Follow ‘Strict’ Pregnancy...'. While the image provided is not visually aligned with the specific event (as noted in the module signals), the textual claim itself is grounded in reported celebrity news stories from that period. The 'Misinformation' label is reserved for false claims or AI-generated images; here, the claim is substantiated by multiple sources, even if the image is irrelevant. Therefore, the text is"
4718,Not Misinformation,0.9,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which led to their breakup and the cancellation of their engagement in March 2021 (Source 2, Source 3). Furthermore, recent reports indicate that Rodriguez reached out to Lopez after his latest breakup, suggesting ongoing interaction or a potential reconciliation phase, which aligns with the sentiment of the headline regarding their relationship status dynamics (Source 3 in Latest News). The image is a genuine photograph of J.Lo, not AI-generated. Therefore, the claim is grounded in factual events regarding their relationship history and recent interactions."
ds4306,Not Misinformation,0.9,False,True,"The headline accurately reflects statements made by Eric Trump in August 2016. Multiple credible news sources, including The Hill, The Wall Street Journal, and HuffPost, confirm that Eric Trump stated it would be 'foolish' for his father, Donald Trump, to release his tax returns while under audit, arguing that the public might make uninformed assumptions. The image is identified as a genuine photograph of Eric Trump, and the module signals confirm the alignment between the visual and the claim. Therefore, the claim is supported by evidence."
