sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.9). The visual content depicts a surreal and impossible scenario (a frog floating above a tank), which contradicts the claim of it being a 'recently declassified image' from a military project. Declassified military images are factual records, whereas this image is clearly a synthetic creation. Therefore, the claim is false."
3397,Misinformation,0.95,False,True,"The visual veracity module explicitly identifies the image as AI-generated with a high confidence of 0.8. According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the factual claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas, is false; it is owned by Caesars Entertainment, which is based in Nevada. The combination of a fabricated image and a factually incorrect claim solidifies the verdict."
ds4717,Misinformation,0.95,False,True,"The image is completely irrelevant to the claim, as confirmed by the module signals which state it does not depict Khloe Kardashian or Tristan Thompson. Furthermore, the QA answers indicate that while there are reports of Tristan influencing Khloe's diet, there is no specific news or evidence linking Tristan to a 'cookies and ice cream binge' or forcing a strict diet specifically in response to such an event. The headline fabricates a specific causal narrative (binge -> forced strict diet) that is not supported by the available information, and the use of an unrelated image further indicates deceptive intent."
4718,Not Misinformation,0.9,False,True,"The image is verified as a genuine photograph (not AI-generated) and features Jennifer Lopez, aligning with the subject of the headline. The headline speculates about a potential break in her relationship with Alex Rodriguez. The provided evidence confirms that JLo and A-Rod did indeed take a break and eventually broke up in March 2021. While the headline uses speculative language ('Might Take A BREAK'), it refers to a real historical event and does not constitute definitive misinformation, especially given the partial relevancy and the factual basis of their past relationship status."
ds2101,Not Misinformation,0.95,False,True,The image is verified as real (not AI-generated) and accurately depicts the scene described in the claim: a table with two wine glasses and a centerpiece. The module signals confirm high relevancy and visual authenticity. There are no contradictions or indicators of fabrication.
5000,Misinformation,0.95,False,True,"The claim that President Obama admitted to a secret deal to hand over U.S. territory to China to settle debt is factually false. The United States has not ceded any of its sovereign territory to China, nor was there any such secret agreement. While the image shows Barack Obama, the module signals correctly identify that the image is not relevant to the specific (and fabricated) event described in the headline. The visual veracity indicates the image is real, but the headline presents a completely fabricated narrative. Therefore, the pairing constitutes misinformation."
ds4724,Not Misinformation,0.85,False,True,"The image is a genuine photograph (not AI-generated) showing George and Amal Clooney together, which aligns partially with the headline's subject matter. While the headline makes a specific claim about their sleeping arrangements that is not visually verifiable from the image alone, the module signals indicate that the claim itself is likely false or a misunderstanding (conf 0.9) and that the couple is generally seen together publicly. The image does not depict a scandalous or deceptive scene; it is a standard celebrity photo. The headline is sensationalist but the image is authentic and relevant to the subjects. Since the image is not AI-generated and does not visually contradict the presence of the couple, and the claim is a rumor rather than a visual fabrication, it is classified as Not"
ds1157,Not Misinformation,0.85,False,True,"The image is verified as a genuine photograph (not AI-generated). The claim describes a person holding a banner during a Pope's procession. Historical records confirm that Pope Francis visited New York City in 2015, traveling down Fifth Avenue and visiting St. Patrick's Cathedral. It is highly plausible and consistent with historical precedent (such as Pope Paul VI's 1965 visit) that supporters held banners during such high-profile processions. While the specific visual evidence in the image does not explicitly prove the location is Fifth Avenue or the specific date, the event described is factually grounded in real historical occurrences involving Popes, Fifth Avenue, and St. Patrick's Cathedral. There is no evidence of fabrication or AI generation."
5013,Not Misinformation,0.85,False,True,"The image is verified as a genuine photograph (not AI-generated), which prevents an automatic 'Misinformation' label based on the definitive rule. While the image is not visually aligned with the specific headline (it does not depict Brooke Burke or the specific event mentioned), the headline itself refers to real, publicly reported events regarding Brooke Burke's divorce from David Charvet and her subsequent dating life. The mismatch between the generic stock-style image and the specific claim constitutes a misleading presentation (clickbait), but since the core subject matter (Brooke Burke's divorce/dating news) is factually grounded in reality and the image is not fabricated, it is classified as 'Not Misinformation' in the context of factual verification of the claim's existence, though"
ds9980,Not Misinformation,0.85,False,True,"The image is verified as real (not AI-generated) and depicts a scene consistent with the general context of displaced families in northern Iraq. While the specific location (Kurdish checkpoint) and immediate action (settling) are not explicitly verifiable from the visual alone, the image aligns with documented humanitarian situations involving Iraqi families and Kurdish checkpoints. The partial relevancy indicates a lack of specific contextual proof in the image itself, but there is no evidence of fabrication or deception. Therefore, it is classified as Not Misinformation."
ds2354,Not Misinformation,0.95,False,True,"The image is verified as real (not AI-generated) and visually aligns with the claim of a big plane flying low in a cloudy sky. The module signals confirm relevancy and visual authenticity. The QA answers provide context that supports the plausibility of such events (e.g., weather conditions, landing approaches), further grounding the claim in reality."
ds4,Not Misinformation,0.95,False,True,"The claim states that Charlie Hebdo staff moved to Liberation newspaper offices after the attacks. Historical records confirm that after the January 2015 attack, Charlie Hebdo indeed took over the offices of the newspaper Libération in Paris for several months (approximately six months) before moving to a new permanent location. The module signals indicate the image is a genuine photograph (not AI-generated) and the QA answers support the fact of the relocation to Liberation. Although the image itself is a generic memorial scene and does not visually depict the specific office move, the textual claim is factually accurate. Therefore, it is not misinformation."
8830,Not Misinformation,0.85,False,True,"The image is verified as real (not AI-generated). While the module signals indicate low relevancy (the image does not clearly show a barn), the claim itself ('an old clock hanging up against the side of a barn') describes a plausible real-world scenario (decorative barn clocks exist). There is no evidence of fabrication or AI generation. The low relevancy suggests the image might be a generic clock rather than a specific instance of a clock on a barn, but this constitutes a weak match or potential mislabeling rather than definitive misinformation in the context of AI-generated content rules. Since the image is real and the claim is physically possible, it is classified as Not Misinformation."
ds5053,Not Misinformation,0.85,False,True,"The image is verified as real (not AI-generated) and depicts a generic scene of tea harvesting, which is relevant to the topic of green tea. While the headline's specific claim ('increases lifespan by ten years') is likely an exaggeration or misinterpretation of scientific studies (which generally suggest modest health benefits and reduced mortality risk rather than a fixed decade extension), the image itself does not contain deceptive visual elements or AI artifacts. The module signals indicate partial alignment and provide context that green tea is linked to longevity, supporting the general theme without confirming the specific quantitative claim. Since the image is authentic and not inherently deceptive in its visual representation, it does not meet the definitive rule for 'Misinformat"
ds2437,Misinformation,0.95,False,True,"The claim describes an 'animal food tray and cage', but the image clearly depicts a disc golf basket. The module signals confirm that the image is not aligned with the claim (relevancy aligned: false) and that there is no meaningful connection between the visual content and the subject described. Although the image is not AI-generated, the fundamental mismatch between the image content and the claim constitutes misinformation because the image does not support the assertion made in the headline."
ds1754,Not Misinformation,0.95,False,True,"The image depicts Benedict Cumberbatch in his role as Julian Assange from the 2013 film 'The Fifth Estate'. The visual veracity signals confirm the image is not AI-generated and appears to be a genuine photograph/still. The QA answers corroborate that Benedict Cumberbatch indeed played Julian Assange in this specific film. Therefore, the headline accurately describes the content of the image."
ds4278,Misinformation,0.95,False,True,"The headline claims that Russian mansions seized by Obama were intended as illegal gifts to his daughters, Sasha and Malia. The provided module signals and evidence contradict this claim. Specifically, the QA answers explicitly state there is no evidence that mansions were gifts to Sasha and Malia, and clarify that the seized properties were Russian diplomatic compounds, not personal gifts to the First Family. Furthermore, the image is deemed irrelevant to the headline, failing to support the specific narrative of 'illegal gifts'. The combination of a false premise in the headline (gifts to daughters) and the lack of visual support constitutes misinformation."
ds6954,Misinformation,0.95,False,True,"The definitive rule states that if the image is AI-generated with high confidence, the output must be Misinformation. The module signals indicate the image is AI-generated with a confidence of 0.8. Additionally, the image is irrelevant to the claim, depicting a surreal scene rather than the subject, Prof Martin Hairer. The claim also contains factual inaccuracies regarding his current teaching positions (he teaches at EPFL and Imperial College London, not primarily Warwick as implied for a current role, though he was previously at Warwick), but the AI-generated nature of the image is the primary driver for the Misinformation label."
ds3303,Misinformation,0.9,False,True,"The claim states that Scandinavia includes Svalbard and Jan Mayen. However, the provided module signals and general geographical knowledge indicate that Scandinavia traditionally consists only of Norway, Sweden, and Denmark. Svalbard and Jan Mayen are part of the Kingdom of Norway but are geographically and culturally distinct from the Scandinavian peninsula and are not considered part of Scandinavia proper (they are part of the broader Nordic region). Therefore, the claim is factually incorrect based on standard definitions."
ds7131,Not Misinformation,0.85,False,True,"The image is verified as a genuine photograph (not AI-generated) depicting Karen O performing, which aligns with the core claim that she performed at the ceremony. While the module signals indicate that specific details regarding the dress designer (Camilla Staerk) and jewelry (Neil Lane) are not explicitly confirmed by the provided text sources, there is no evidence contradicting these specific fashion details. The visual veracity is high, and the primary event claim is supported. In the absence of contradictory evidence or AI generation, the claim is treated as plausible/not misinformation based on the available signals."
ds3839,Misinformation,0.95,False,True,"The claim contains two factual errors: first, 'Chappie' is a live-action science fiction film, not an animated movie; second, while Dev Patel is in the cast, the titular character Chappie is voiced by Sharlto Copley, not Dev Patel. Furthermore, the module signals indicate that the image is AI-generated (visual veracity ai_generated=true, confidence=0.9). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals."
7469,Not Misinformation,0.95,False,True,"The image is identified as a genuine photograph (not AI-generated). The module signals confirm that Donald Trump did indeed hold a rally in Bangor, Maine, on October 15, 2016, at the Cross Insurance Center. The visual content aligns with the subject (Trump speaking), and the specific event details in the headline are factually supported by the provided evidence."
ds2506,Not Misinformation,0.85,False,True,"The image is verified as real (not AI-generated). The claim that there is a fence in Warsaw to protect pedestrians from falling bricks is supported by the provided QA signals, which confirm that fencing has been installed around certain buildings in Warsaw for safety reasons due to debris hazards, and that incidents of falling bricks have occurred. While the specific building in the image cannot be definitively identified as the one mentioned in the first QA answer, the general claim is factually grounded in the provided evidence."
ds6291,Misinformation,0.9,False,True,"The visual veracity module explicitly identifies the image as AI-generated with a high confidence of 0.9. According to the definitive rule, if the image is AI-generated, the output must be Misinformation regardless of other signals. The image depicts a physically impossible scenario (a human riding a gazelle) with unnatural anatomy, confirming it is not a photograph of a real statue."
ds994,Not Misinformation,0.95,False,True,"The image is verified as a genuine photograph (not AI-generated) and aligns with the claim. The module signals confirm that performers formed the Olympic rings during a closing ceremony. While the QA answers contain conflicting information regarding the specific year (mentioning both Paris 2024 and 2026), the core claim that performers formed the rings during a closing ceremony is supported by the visual evidence and the majority of the QA data (specifically the high-confidence answers for Paris 2024 and the general confirmation of rings appearing). The image depicts a real event consistent with the description."
7187,Not Misinformation,0.9,False,True,"The image is verified as a genuine photograph (not AI-generated). The module signals and external knowledge confirm that Ayatollah Ali Khamenei did make public appearances in Tehran in September 2022, specifically on September 17 and 21. Reports indicate he waved to crowds during these events. Therefore, the claim that he waved during a meeting/gathering in Tehran last September is factually supported."
ds5161,Misinformation,0.95,False,True,"The headline claims that Mike Pence has 'secret ties to a Russian spy agency,' which is a serious allegation of espionage. The provided module signals and knowledge base confirm that there are no credible reports or evidence supporting this claim. In fact, available information indicates Pence has taken a stance against Russian influence. The image, while a genuine photograph of Pence, does not support the specific sensational claim in the headline. Therefore, the headline constitutes misinformation as it asserts a false connection not supported by evidence."
8155,Misinformation,0.95,False,True,"The image depicts a scene of destruction (likely a disaster or explosion aftermath) which is completely unrelated to the claim of Charlie Pierce making a phone call in a wire factory. The module signals confirm the image is not AI-generated but is visually irrelevant to the specific event described. Furthermore, the QA answers indicate that Charlie Pierce is a journalist, not a member of Mitt Romney's staff, and there is no record of the specific incident described. The mismatch between the visual content (destruction scene) and the textual claim (political campaign activity) constitutes misinformation."
ds4064,Not Misinformation,0.95,False,True,"The image is a genuine photograph of Brad Pitt (visual veracity ai_generated=false), and the headline is a standard clickbait-style question regarding his net worth. The module signals confirm the image is relevant and authentic. The provided answers indicate that Brad Pitt's net worth is estimated between $300 million and $400 million, which is consistent with public records. There is no evidence of AI generation or factual contradiction in the claim itself, as the headline is a question rather than a false statement."
7330,Not Misinformation,0.9,False,True,"The image is not AI-generated (visual_veracity.ai_generated=false), so the definitive rule for automatic Misinformation does not apply. The module signals indicate that the image is not relevant to the claim (relevancy aligned=false) and the QA answers confirm there is no evidence linking Jonathan Jones to the Millennium Bridge in this context. While the image does not support the headline, it is a real photograph of a different scene, not a fabricated or AI-generated image intended to deceive in the manner of deepfakes. Therefore, it is classified as Not Misinformation based on the absence of AI generation and the clear mismatch in content rather than active fabrication of the visual itself."
6119,Misinformation,0.8,False,True,"The visual veracity module indicates that the image is AI-generated with a confidence of 0.8, which exceeds the 0.6 threshold. According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the relevancy module confirms the image is not aligned with the claim, further supporting the classification."
8719,Misinformation,0.8,False,True,"The visual veracity module explicitly identifies the image as AI-generated with a confidence of 0.8. According to the definitive rule, if the image is AI-generated (ai_generated=true, confidence>0.6), the output must be 'Misinformation' regardless of other signals. The image depicts a scene that is synthetically created rather than a real photograph, making the claim about a specific real-world event or object misleading."
ds6481,Not Misinformation,0.95,False,True,"The image is verified as real (not AI-generated) and depicts Vladimir Putin and Borut Pahor. The module signals confirm the identity of the individuals and the context of their meeting. Although there is a discrepancy in the year provided in the answers (2026 vs 2016), the core claim that the photo shows these two leaders is factually correct based on the visual evidence and the 2016 event record. The 2026 date is likely a hallucination in the QA module, but the image itself is authentic and correctly labeled regarding the subjects."
ds8617,Misinformation,0.8,False,True,"The visual veracity module indicates that the image is AI-generated with a confidence of 0.8. According to the definitive rule, if the image is AI-generated (ai_generated=true, confidence>0.6), the output must be 'Misinformation' regardless of other signals."
5939,Misinformation,0.95,False,True,"The claim is false on multiple levels. First, the module signals indicate the image is AI-generated (visual_veracity.ai_generated=true, confidence=0.8), which triggers the definitive rule to classify the pair as Misinformation. Second, the factual claim that Vic Mensa has roots in Houston, Texas is incorrect; he was born and raised in Chicago, Illinois. The image and headline fabricate a connection to Houston that does not exist."
ds3503,Misinformation,0.95,False,True,"The claim that 'The Hunger Games are based on a play' is factually incorrect; the franchise originated as a series of novels by Suzanne Collins. Furthermore, the module signals indicate that the provided image is AI-generated (visual_veracity ai_generated=true, confidence=0.8). According to the definitive rule, if the image is AI-generated with high confidence, the output must be 'Misinformation' regardless of other signals."
