FN,FP,TN,TP,accuracy,avg_confidence,bin_lower,bin_upper,brier_score,category,count,expected_calibration_error,f1,judge_confidence_samples,judge_label_distribution,judge_logprob_samples,missing_in_gt_map,name,precision,recall,recall_neg,recall_pos,samples,support,total_outputs,uncertain_count,uncertain_rate,visual_veracity_coverage_rate,visual_veracity_gt_known,visual_veracity_pred_covered
,,,,,,,,,summary,,,,199,"{'Misinformation': 105, 'Not Misinformation': 94, 'Uncertain': 1}",0,0,counts,,,,,,,200,1,0.005,1.0,200,200
43,8,52,97,0.745,,,,,metric,,,0.7918,,,,,judge_overall,0.9238,0.6929,0.8667,0.6929,,200,,,,,,
26,0,0,34,0.5667,,,,,metric,,,0.7234,,,,,judge_by_fake_cls_mismatch,1.0,0.5667,0.0,0.5667,,60,,,,,,
0,8,52,0,0.8667,,,,,metric,,,0.0,,,,,judge_by_fake_cls_original,0.0,0.0,0.8667,0.0,,60,,,,,,
14,0,0,46,0.7667,,,,,metric,,,0.8679,,,,,judge_by_fake_cls_textual_veracity_distortion,1.0,0.7667,0.0,0.7667,,60,,,,,,
3,0,0,17,0.85,,,,,metric,,,0.9189,,,,,judge_by_fake_cls_visual_veracity_distortion,1.0,0.85,0.0,0.85,,20,,,,,,
0,24,138,38,0.88,,,,,metric,,,0.76,,,,,visual_veracity_filtered,0.6129,1.0,0.8519,1.0,,200,,,,,,
0,24,138,38,0.88,,,,,metric,,,0.76,,,,,visual_veracity_all,0.6129,1.0,0.8519,1.0,,200,,,,,,
,,,,,,,,0.210629,calibration_summary,,0.187286,,,,,,judge_confidence,,,,,199,,,,,,,
,,,,,,0.0,0.1,,calibration_bin,0,,,,,,,bin_0,,,,,,,,,,,,
,,,,,,0.1,0.2,,calibration_bin,0,,,,,,,bin_1,,,,,,,,,,,,
,,,,,,0.2,0.3,,calibration_bin,0,,,,,,,bin_2,,,,,,,,,,,,
,,,,,,0.3,0.4,,calibration_bin,0,,,,,,,bin_3,,,,,,,,,,,,
,,,,,,0.4,0.5,,calibration_bin,0,,,,,,,bin_4,,,,,,,,,,,,
,,,,,,0.5,0.6,,calibration_bin,0,,,,,,,bin_5,,,,,,,,,,,,
,,,,,,0.6,0.7,,calibration_bin,0,,,,,,,bin_6,,,,,,,,,,,,
,,,,0.0,0.75,0.7,0.8,,calibration_bin,1,,,,,,,bin_7,,,,,,,,,,,,
,,,,0.4074,0.8389,0.8,0.9,,calibration_bin,27,,,,,,,bin_8,,,,,,,,,,,,
,,,,0.807,0.9525,0.9,1.0,,calibration_bin,171,,,,,,,bin_9,,,,,,,,,,,,
,,,,,,,,,calibration_summary,,,,,,,,judge_logprob_confidence,,,,,0,,,,,,,
