sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) with high certainty, depicting a surreal and impossible scenario (a tank with a floating frog). The headline claims this is a 'recently declassified image from project ribbit thunder'. Evidence shows that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and there is no credible evidence of a real-world military project named 'Ribbit Thunder' involving declassified imagery. The combination of an AI-generated image and a fabricated or misattributed military context constitutes misinformation."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not Paris, Texas."
ds4717,Not Misinformation,0.85,False,True,"The retrieved evidence confirms that Khloe Kardashian did follow a strict pregnancy diet imposed by Tristan Thompson. Specifically, Inquisitr and OK Magazine articles from the time of her pregnancy (2018) report that Tristan put her on a diet after she indulged in junk food (including cookies and ice cream) following her weight loss. While the headline uses sensational language ('Forced'), the core claim that Tristan enforced a strict diet due to her bingeing is supported by multiple celebrity news sources. The image relevance signal is low, but the textual claim is substantiated by the evidence."
4718,Not Misinformation,0.9,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which led to their breakup and the cancellation of their engagement in March 2021. While the relationship has since ended, the statement that she 'might take a break' is factually grounded in the history of their relationship dynamics, which were characterized by periods of separation and reconciliation before the final split. The image is a genuine photograph of J.Lo. Therefore, the claim is not misinformation as it reflects a real event in their relationship history."
ds2101,Not Misinformation,0.9,False,True,"The image depicts a table with two wine glasses and a centerpiece, which aligns perfectly with the headline. The visual veracity signals indicate the image is not AI-generated (ai_generated=false). The retrieved evidence confirms that such table settings are common and well-documented in lifestyle and decor contexts. There is no evidence to suggest the image is fake or misleading."
5000,Misinformation,0.95,False,True,"The claim that President Obama made a secret deal to hand over U.S. territory to China to settle debt is factually false. Evidence shows that the only significant transfer of territory involving China in recent history was Hong Kong, which was returned by the United Kingdom to China in 1997, long before Obama's presidency. There is no record of any U.S. territory being transferred to China during the Obama administration, nor any 'secret deal' regarding debt settlement involving territorial cession. The retrieved evidence confirms diplomatic engagements and trade tensions but explicitly lacks any mention of such a deal, while historical records confirm Hong Kong's status was resolved decades prior. The image of the Obamas is unrelated to this fabricated event."
ds4724,Not Misinformation,0.85,False,True,"The headline claims that George and Amal Clooney are sleeping in separate bedrooms. The retrieved evidence directly addresses this specific claim. Source [2] under the 'Clooney couple sleeping arrangements news' query explicitly states: 'It’s not accurate that George and Amal sleep in separate rooms due to the actor’s snoring and other bad habits.' It further explains that the couple has been together for years and has adapted to each other's quirks. While there are other rumors about separation or marital strain (Sources [1] and [2] under 'Recent updates'), these are described as speculation or rumors that insiders claim do not match reality. The specific claim about sleeping arrangements is refuted by the evidence, making the headline false/misleading regarding that specific detail. Howe"
ds1157,Not Misinformation,0.85,False,True,"The retrieved evidence confirms that Pope Francis traveled down Fifth Avenue to St. Patrick's Cathedral in New York City on September 24, 2015. Specifically, sources state that his itinerary 'started with a ride down Fifth Avenue and evening prayers at St. Patrick's Cathedral' and that he attended an evening prayer service 'after a short procession down Fifth Avenue.' While the specific detail of a person holding a banner in the provided image cannot be independently verified from the text snippets alone, the core event described in the headline (a procession down Fifth Avenue to St. Patrick's Cathedral) is factually accurate. The image shows a banner with the Pope's image, which is consistent with the context of a papal visit where supporters often hold banners. Since the event occurred a"
5013,Not Misinformation,0.85,False,True,"The headline claims Brooke Burke has a 'controversial dating revelation amid divorce.' Evidence confirms that Brooke Burke is indeed divorced from David Charvet (filed after 7 years of marriage) and is currently engaged to Scott Rigsby. Recent reports (June 2025) detail her 'revelations' regarding her wedding plans with Rigsby falling through or being delayed, which constitutes a 'dating revelation' in the context of her current relationship status. While the image is not directly relevant to the specific news event (showing two people on stage, likely from DWTS, not Burke and Rigsby), the textual claim itself is grounded in fact. The headline uses sensationalist language ('Shocking Insights', 'Exposed'), but the core facts (divorce status, current dating engagement/revelations) are true. "
ds9980,Not Misinformation,0.85,False,True,"The retrieved evidence confirms that the scenario described in the claim is factually grounded in real events. Specifically, evidence [3] from the Daily Mail and evidence [1] and [2] from NBC News and Financial Times describe Iraqi families, including children, fleeing Mosul and settling in fields or camps near Kurdish checkpoints (specifically mentioning the Khazer/Aksi Kalak area) during the conflict with ISIS. The image depicts a girl smiling in a field near a checkpoint, which aligns with the visual descriptions of displaced families in these reports. While the specific emotional state (smiling vs. crying) can vary among individuals in such chaotic situations, the core context of an Iraqi girl settling with her family in a field near a Kurdish checkpoint is a documented reality. The mo"
