sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is AI-generated, which is confirmed by the visual veracity analysis. The surreal combination of a tank and a floating frog indicates that it does not represent a real declassified image from any military project, including Project Ribbit Thunder. Additionally, the claim about Project Ribbit Thunder being related to military declassifications is misleading, as it is associated with a fictional character from a web series and a cryptocurrency project."
3397,Misinformation,0.8,False,True,"The image is identified as AI-generated, which leads to the conclusion of misinformation regardless of the claim's content. Additionally, the claim about ownership is incorrect as Planet Hollywood Las Vegas is owned by Caesars Entertainment, not a corporation based in Paris, Texas."
ds4717,Misinformation,0.9,False,True,"The claim that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge on cookies and ice cream is supported by multiple sources. Reports indicate that Tristan has indeed influenced Khloe's diet during her pregnancy, particularly after she indulged in junk food. This aligns with the evidence that discusses her struggles with binge eating and the dietary changes she has made. The image does not depict Khloe or Tristan, but the claim itself is substantiated by the evidence."
4718,Not Misinformation,0.8,False,True,"The claim about Jennifer Lopez potentially taking a break from Alex Rodriguez is supported by evidence of their past breakup and the amicable nature of their split. The image aligns with the subject of the headline, and while it does not provide direct evidence of a current break, the context of their previous relationship supports the claim. The evidence indicates that they did take a break, leading to their eventual breakup."
ds2101,Not Misinformation,0.9,False,True,"The image accurately depicts a table with two wine glasses and a centerpiece, which aligns with the claim. There are no indications that the image is AI-generated, and the description matches the visual content."
5000,Not Misinformation,0.7,False,True,"The claim about Obama admitting to a secret deal with China to hand over U.S. territory is not substantiated by the evidence. While Obama did engage in significant diplomatic dealings with China, there is no credible evidence of a secret deal involving U.S. territory. The image is a genuine photograph and does not indicate any AI generation. The context of the claim does not align with the evidence provided, which discusses U.S.-China relations and trade enforcement rather than territory handover."
ds4724,Not Misinformation,0.8,False,True,"The claim about George and Amal Clooney sleeping in separate bedrooms is not supported by evidence. Reports indicate that while there are rumors about their relationship, they are still together and have adapted to each other's habits. The image does not confirm the claim but shows them together, which contradicts the notion of separation. Additionally, sources clarify that the idea of them sleeping separately is likely a misunderstanding."
ds1157,Not Misinformation,0.7,False,True,"The image shows a banner with an image of the pope, which aligns with the claim about a person holding a banner during the pope's procession. However, the specific action of holding a banner during the procession down Fifth Avenue to St. Patrick's Cathedral is not confirmed by the evidence. The pope did visit St. Patrick's Cathedral and had a procession, but the details about the banner are not explicitly supported."
5013,Not Misinformation,0.8,False,True,"The image does not depict Brooke Burke or any specific event related to her dating revelation or divorce, but the headline is supported by evidence regarding her current engagement and past divorce. The visual veracity indicates the image is genuine, and the claims about her dating life and divorce are corroborated by multiple sources."
ds9980,Not Misinformation,0.7,False,True,"The image depicts a child who appears to be smiling, which aligns with the claim about an Iraqi girl. However, the specific context of settling in a field near a Kurdish checkpoint is not clearly supported by the evidence. The situation at Kurdish checkpoints involves significant military and political tensions, and many families are indeed fleeing violence and seeking refuge at these checkpoints, as noted in the evidence."
ds2354,Not Misinformation,0.9,False,True,"The image depicts a big plane flying low against a cloudy sky, which aligns with the claim. There are no indications that the image is AI-generated, and the evidence supports the occurrence of low-flying planes due to various factors, including weather conditions. The relevancy and visual veracity signals are strong, indicating that the claim is accurate."
ds4,Not Misinformation,0.8,False,True,"The claim that Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper is supported by evidence indicating that they did indeed move to Liberation after the attacks. The evidence confirms that they squatted at Liberation for over six months before moving to a new location. The image, while relevant to the context of the attacks, does not directly confirm the specific claim but does not contradict it either."
8830,Not Misinformation,0.7,False,True,"The image depicts a clock, and while it is not confirmed to be hanging against a barn, there are examples of clocks on barns, indicating that the claim is plausible. The visual veracity indicates that the image is not AI-generated, which supports the authenticity of the claim."
ds5053,Not Misinformation,0.8,False,True,"The claim that drinking green tea daily may increase lifespan is supported by studies indicating potential health benefits, including a lower risk of death from various causes, particularly cardiovascular disease. The evidence suggests that while there are positive associations, more research is needed to confirm these benefits definitively."
ds2437,Not Misinformation,0.5,False,True,"The image does not depict an animal food tray or cage, but rather a disc golf basket, which is unrelated to the claim. The visual veracity indicates that the image is genuine, and there are no signs of AI generation. However, the claim about the empty animal food tray is not supported by the image."
ds1754,Not Misinformation,0.9,False,True,"The image and headline accurately depict Benedict Cumberbatch portraying Julian Assange in the film 'The Fifth Estate.' The evidence confirms that Cumberbatch plays Assange in this biographical thriller, aligning with the claim made in the headline."
ds4278,Misinformation,0.9,False,True,"The claim that Russian mansions seized by Obama were meant as illegal gifts to Sasha and Malia is false. There is no evidence supporting the idea that these mansions were intended as gifts to the Obama daughters. The seized properties were diplomatic compounds related to political actions against Russia, not personal gifts. Additionally, the image does not depict any relevant context to the claim."
ds6954,Misinformation,0.8,False,True,"The image is AI-generated, depicting a surreal scene that does not relate to the subject of Prof Martin Hairer. The visual veracity confidence is high, indicating manipulation. Additionally, the claim about Prof Hairer's nationality and teaching position is accurate, but the image undermines the credibility of the overall presentation."
ds3303,Not Misinformation,0.8,False,True,"The claim that Scandinavia includes Svalbard and Jan Mayen is partially correct. While Svalbard is part of the Kingdom of Norway, it is not considered part of geographical Norway or the traditional definition of Scandinavia, which typically includes only Norway, Sweden, and Denmark. Jan Mayen is also not included in the traditional definition of Scandinavia. Therefore, the claim is misleading but not entirely false."
ds7131,Not Misinformation,0.7,False,True,"The image shows a singer performing, which aligns with the context of the headline about Karen O. However, specific details about the dress and jewels are not confirmed in the evidence. While the performance is verified, the exact attire and jewelry details remain unverified."
ds3839,Misinformation,0.9,False,True,"The image is AI-generated, which confirms the misinformation. Additionally, while Dev Patel did star in 'Chappie', the claim that it is an animated movie is misleading as 'Chappie' is a live-action film with animated elements, not a traditional animated movie."
7469,Not Misinformation,0.9,False,True,"The image shows Donald Trump speaking, which aligns with the claim about him speaking at a rally. Additionally, evidence confirms that Donald Trump did hold a rally in Bangor, Maine on October 15, 2016, where he addressed various issues. The visual veracity indicates that the image is not AI-generated, supporting the authenticity of the claim."
ds2506,Not Misinformation,0.8,False,True,"The image shows a building with a protective fence underneath, which aligns with the claim about safety measures for pedestrians. There is evidence that fencing has been installed around buildings in Warsaw to catch falling bricks, supporting the claim. However, the specific incident of bricks falling from this building cannot be confirmed from the image alone."
ds6291,Misinformation,0.9,False,True,"The image is identified as AI-generated, which indicates manipulation and unreliability. The visual veracity assessment confirms that the depiction of a human riding a gazelle is not realistic, further supporting the claim of misinformation."
ds994,Not Misinformation,0.9,False,True,"The image depicts performers forming the Olympic rings during a closing ceremony, which aligns with the claim. The evidence supports that the Olympic rings were indeed featured in the closing ceremony of the Paris 2024 Olympics."
7187,Not Misinformation,0.9,False,True,"The claim that Supreme Leader Ayatollah Ali Khamenei waved during a meeting in Tehran last September is supported by evidence indicating he attended public events on September 17 and September 21, 2022. During these events, he was seen interacting with attendees, which aligns with the claim. The image is confirmed to be genuine and not AI-generated."
ds5161,Not Misinformation,0.8,False,True,"The image is not AI-generated and appears to be a genuine photograph. However, the claim about Mike Pence having secret ties to a Russian spy agency is not supported by credible evidence. The sources indicate that Pence has publicly opposed Russian aggression and there are no current reports linking him to espionage activities."
8155,Not Misinformation,0.7,False,True,"The claim about Charlie Pierce making a phone call in a wire factory in Ohio in 2012 is unsupported by the evidence. Charlie Pierce did not work for Mitt Romney, and there is no specific information regarding a phone call in an Ohio wire factory in 2012. The image does not relate to the claim and depicts a disaster scene, which further disconnects it from the context of the claim."
ds4064,Not Misinformation,0.9,False,True,"The image is a genuine photograph of Brad Pitt, and the claim about his net worth aligns with the retrieved evidence, which supports estimates of his net worth being around $300 million to $400 million. The context of the image and headline is relevant and accurate."
7330,Misinformation,0.9,False,True,"The image does not depict Jonathan Jones or the Millennium Bridge in central London, as it shows a group of people in a different setting. Additionally, there is no evidence linking Jonathan Jones to the Millennium Bridge, and the context of the image is unrelated to the claim."
6119,Misinformation,0.8,False,True,"The image is AI-generated, which is confirmed by the visual veracity signal indicating a high confidence level. The surreal elements in the image, such as cartoonish characters and an odd juxtaposition, further support this classification. Additionally, the claim does not align with the content of the image."
8719,Misinformation,0.8,False,True,"The image is identified as AI-generated with a high confidence level (0.8), which indicates that it does not represent a real scene. The claim about a pink and green bus is not fully substantiated by the evidence, and the visual characteristics of the bus suggest manipulation. Therefore, the claim is misleading."
ds6481,Not Misinformation,0.9,False,True,"The image depicts Vladimir Putin and Borut Pahor, which aligns with the claim. The context of their meeting is supported by multiple sources confirming their interaction during a formal event in Slovenia. There are no indications that the image is AI-generated, and the identification of the individuals is consistent with the evidence provided."
ds8617,Misinformation,0.8,False,True,"The image is confirmed to be AI-generated, which categorizes it as misinformation regardless of the relevance to the claim. The visual veracity confidence is high, indicating clear signs of AI generation."
5939,Misinformation,0.8,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of misinformation regardless of the claim's content. Additionally, the claim about Vic Mensa's roots in Houston, Texas is false, as he was born and raised in Chicago, Illinois."
ds3503,Misinformation,0.8,False,True,"The image is AI-generated, which is a definitive indicator of misinformation. Additionally, the claim that 'The Hunger Games are based on a play' is misleading; while there is a stage adaptation, the original source material is a series of novels, not a play. The evidence supports that the novels were written by Suzanne Collins and that the stage adaptation is based on these novels."
ds6940,Misinformation,0.8,False,True,"The image is identified as AI-generated, which confirms it as misinformation regardless of the claim's context. The unusual elements in the image, such as the combination of a child reading a book and a skeleton, along with garbled text, support this classification."
992,Not Misinformation,0.9,False,True,"The image depicts a flooded area that aligns with the claim about high water overrunning homes and businesses near the Shiawassee River and Shiawassee National Wildlife Refuge in Michigan. The evidence supports the occurrence of flooding in this region due to heavy rainfall, which has affected local properties."
ds6549,Misinformation,0.8,False,True,"The image is identified as AI-generated with a confidence of 0.8, which indicates a high likelihood that it is not a real photograph. The presence of surreal elements, such as angel wings, further supports this classification. Therefore, despite the claim about a smiling mother holding her infant being plausible, the AI-generated nature of the image leads to a determination of misinformation."
ds9027,Misinformation,0.8,False,True,"The image is confirmed to be AI-generated, which categorizes it as misinformation regardless of the claim's alignment with the characteristics of Chicago deep dish pizza. The visual veracity indicates that the pizza has an unnatural texture and proportions that are not typical of real food."
ds1998,Not Misinformation,0.9,False,True,"The image depicts a protest scene that aligns with the claim about spending cuts likely sparking protests. The evidence supports the assertion that spending cuts lead to public dissent, particularly in the context of recent protests in France against proposed budget cuts. The visual elements of the protest, including signs stating 'NO CUTS', reinforce the connection to the claim."
3980,Not Misinformation,0.7,False,True,"The claim that 'Touch My Body is a law' is misleading as it conflates a song title with legal terminology. The evidence indicates that laws regarding physical contact are related to assault, battery, or harassment, not a specific law named 'Touch My Body' (https://lawshun.com/article/is-there-a-law-about-touching-people, https://lawshun.com/article/is-forcible-touching-an-assault-or-battery-common-law). Additionally, the song 'Touch My Body' by Mariah Carey is not a law but a musical work released in 2008 (https://www.youtube.com/watch?v=9b8erWuBA44)."
ds2845,Not Misinformation,0.7,False,True,"The image shows a premium gas pump, which aligns with the subject of the headline. However, there is no visible indication that it is located in a secluded part of Arkansas or that it has a spider web on it. While the claim about the spider web is not substantiated by any specific news reports, the image itself does not appear to be AI-generated, and the context of the claim is partially supported by the existence of premium pumps in Arkansas. Therefore, the claim is not definitively false, but lacks full verification."
ds8721,Not Misinformation,0.8,False,True,"The image shows a bowl of white rice and broccoli, which aligns with the general context of the headline about a bowl of rice and a vegetable dish. While the specifics mention beef, the absence of it does not necessarily indicate misinformation, as the image still represents a common meal context. The visual veracity indicates that the image is not AI-generated, further supporting the claim's validity."
ds9200,Misinformation,0.9,False,True,"The image is identified as AI-generated with high confidence, which confirms it as misinformation regardless of the claim's content. The visual veracity analysis indicates that the dog's anatomy appears distorted, suggesting manipulation typical of AI-generated images."
9081,Not Misinformation,0.8,False,True,"The image shows a lunch box containing sandwiches and carrots, which aligns with the claim. However, it does not clearly show a muffin or a salad, leading to partial alignment. The visual veracity indicates that the image is not AI-generated, supporting the authenticity of the claim."
ds2006,Not Misinformation,0.7,False,True,"The image shows people lined up near an airplane, which partially aligns with the claim. However, the visibility of details regarding military uniforms is limited, making it unclear if any individuals are in military attire. The visual veracity indicates that the image is not AI-generated, supporting the authenticity of the scene."
ds6266,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, depicting an unrealistic scenario of a turkey flying over a cityscape, which does not align with the context of the headline. This indicates that the image is not a genuine representation of reality."
5060,Not Misinformation,0.7,False,True,"The claim discusses concerns about smartphone radiation and its potential link to cancer, which is a topic of ongoing debate among experts. While the image does not directly depict harmful radiation exposure or cancer, the retrieved evidence indicates that there are mixed views among experts regarding the risks associated with smartphone radiation. Some studies suggest minimal risk, while others call for further research. The consensus is that there is insufficient evidence to definitively link smartphone use to cancer, but caution is advised due to ongoing investigations."
2169,Not Misinformation,0.8,False,True,"The image shows various items including shoes, a cap, and an iPod, which are mentioned in the headline. The visual veracity indicates that the image is not AI-generated, supporting the claim's authenticity. The items listed in the claim align with common items found in bags, as referenced in the evidence."
ds372,Not Misinformation,0.7,False,True,"The image of the rusting emergency vehicle aligns with the historical context of the Jackson State College protests in 1970. While it cannot be definitively confirmed that this specific vehicle was used during the protests, the relevance to the events is strong. The visual veracity indicates that the image is not AI-generated, supporting the claim's authenticity."
ds2864,Not Misinformation,0.7,False,True,"The claim about dye leaking and giving the egg a polka dot appearance is plausible given the evidence of dye leaks affecting water supplies. However, the image does not definitively show that the speckled egg is a result of dye leaking during peeling, as the peeling process is not depicted. The visual veracity indicates that the image is not AI-generated, supporting the authenticity of the claim."
ds9049,Not Misinformation,0.7,False,True,"The image depicts a living room setting with a table and chairs, which aligns with the claim. However, the absence of a fireplace means it does not fully meet the specifics of the claim. The visual veracity indicates that the image is not AI-generated, supporting its authenticity."
4960,Not Misinformation,0.9,False,True,"The image depicts a couple in a romantic setting, which aligns with the themes of love and beauty mentioned in the headline. The context supports the connection to Jennifer Lopez and Alex Rodriguez, and there are no indications of AI generation. The evidence confirms their relationship and discussions about love and redemption."
5575,Not Misinformation,0.7,False,True,"While the image shows a couple kissing in a romantic setting, there is no confirmed evidence that this specific incident involves Bradley Cooper and Lady Gaga in Italy. The sources indicate that they have shared romantic moments, but do not confirm the specific claim of them kissing in Italy. Additionally, the image is not AI-generated, which supports the authenticity of the visual."
ds1060,Not Misinformation,0.9,False,True,"The image aligns with the claim of a man holding his son during a candlelight vigil in New York, supported by the context of recent vigils held in the city. The visual veracity indicates that the image is not AI-generated, and the evidence confirms that candlelight vigils have occurred in New York for various causes."
ds5403,Not Misinformation,0.8,False,True,"The image depicts a protest scene related to impeachment, which aligns with the headline discussing impeachment and political strategy. The visual veracity indicates that the image is not AI-generated, supporting its authenticity. The evidence retrieved confirms that impeachment is a current topic in politics, and there are discussions about the manipulation of public discourse by political elites."
