sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) with high certainty due to the surreal and physically impossible combination of a military tank and a floating frog. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and 'Project Rabbit' is a video game, while 'Project Ribbit Thunder' appears to be a conflation of these pop culture references and cryptocurrency projects (RIBBIT/RBT). There is no real-world military project by this name, and the image is clearly a digital fabrication rather than a declassified historical document."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not Paris, Texas."
ds2700,Not Misinformation,0.85,False,True,"The image depicts a scaled quail standing on one leg, which is a documented behavior for this species (supported by evidence [3] in the retrieved set). The headline mentions a raisin and a peanut. While the module signals indicate these items are not clearly visible or confirmed in the image, the image itself is verified as real (AI-generated=false). The presence of small objects like a raisin or peanut next to a small bird in a staged or natural setting is plausible and not inherently false or misleading in a way that constitutes misinformation, especially given the lack of evidence that the image is fabricated or that the bird is incapable of such a pose. The partial alignment regarding the specific food items does not rise to the level of 'Misinformation' under the definitive rule, as t"
ds4880,Not Misinformation,0.9,False,True,"The claim that Lindsay Lohan wore a hijab and sparked mixed feelings on social media is supported by multiple credible news sources. Reports confirm she attended London Modest Fashion Week wearing a hijab, which led to widespread discussion, speculation about her faith, and mixed reactions online (praise vs. criticism/concerns about appropriation). The module signals indicate the image is not AI-generated and aligns with the event described. Therefore, the headline accurately reflects real-world events."
ds8852,Not Misinformation,0.85,False,True,"The image is verified as real (AI-generated=false) and depicts three teddy bears. The claim states there are 'three teddy bears and a stuffed cat'. While the image clearly shows three teddy bears, the 'stuffed cat' is not visible in the provided visual evidence or described in the module signals. However, the claim is not definitively false in a way that constitutes misinformation (e.g., it doesn't claim the bears are real animals or that the image is fake). The 'partial' alignment suggests the image might be a crop or the cat is out of frame, or the claim is slightly inaccurate regarding the count. Given the strict rule to output Misinformation only if AI-generated, and the fact that the core subject (teddy bears) is present and real, this is classified as Not Misinformation, likely repre"
7551,Not Misinformation,0.95,False,True,"The retrieved evidence directly supports the claim. Specifically, evidence item [5] from BBC News explicitly states: 'Snow has fallen across parts of the UK, such as Kielder Water, in Northumberland, and more is predicted over the weekend.' This matches the headline's assertion almost verbatim. The image shows a snowy landscape which is consistent with the report of snowfall in the region, and the visual veracity check indicates it is not AI-generated. While the specific image might not be a geotagged photo of that exact moment, the textual claim is factually supported by the news reports found."
365,Misinformation,0.95,False,True,"The visual veracity module explicitly identifies the image as AI-generated with a high confidence of 0.8. According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. While the event described (Kwita Izina naming ceremony in Rwanda) is real and does involve entertainment, the specific image provided is not a photograph of the event but an AI-generated fabrication."
ds4717,Not Misinformation,0.85,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. Retrieved evidence from multiple sources (Inquisitr, OK Magazine, The Sun) confirms that during her pregnancy with Tristan Thompson (circa 2017-2018), there were widespread reports and claims that Tristan intervened in her diet, encouraging her to avoid unhealthy habits and junk food (like the cookies and ice cream mentioned) after she had indulged. While the word 'forced' is strong, the media narrative consistently described his influence as strict and controlling, aligning with the core claim of the headline. The image relevance signal is low, but the textual claim is supported by contemporaneous news reports."
4718,Not Misinformation,0.85,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did take a break from their relationship, which led to their breakup and cancellation of engagement in March 2021. While the relationship has since ended, the statement that she 'might take a break' is factually grounded in the history of their relationship dynamics (specifically the 2021 split). The image is a genuine photograph of J.Lo. The headline uses speculative language ('might') which aligns with the historical precedent of their relationship instability. Therefore, it is not misinformation."
ds4306,Not Misinformation,0.95,False,True,"The headline accurately reflects a statement made by Eric Trump in August 2016. Multiple credible news sources (HuffPost, The Guardian, Politico, The Hill, WSJ) confirm that Eric Trump stated it would be 'foolish' for his father, Donald Trump, to release his tax returns while under audit, arguing that people without tax knowledge would make unwarranted assumptions. The image depicts Eric Trump, and the module signals indicate the image is not AI-generated. Therefore, the claim is supported by evidence."
