sheet_row,sample_id,image_path,claim,fake_cls,gt,J1_label,J1_conf,J1_rationale,J2_label,J2_conf,J2_rationale,evidence_sufficient,notes
1,ds4978,/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_229.png,,textual_veracity_distortion,Fake,Misinformation,0.8,"The headline claims Nicole Kidman won an Emmy for Outstanding Lead Actress, which is true based on Q/A analysis. However, the image is only partially aligned with the context, and while it is genuine, it does not confirm the specific details of the award or the identity of the person. This leads to a likely mismatch.",Not Misinformation,0.9,"The evidence confirms that Nicole Kidman won an Emmy for Outstanding Lead Actress in a Limited Series at the 69th Emmy Awards, which aligns with the claim. The visual veracity signal indicates the image is genuine, supporting the context of the Emmy Awards. The decisive evidence items are: [2] and [3] from the retrieved evidence, which confirm Kidman's Emmy win and provide context about the 69th Emmy Awards.",,
2,1436,/real/wash_test_500/wash_test_436.png,,original,True,,,,,,,,
3,8392,/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_392.png,,mismatch,Fake,Misinformation,1.0,"The image is completely wrong as it shows a product unrelated to the headline's subject, and the headline's claims are verified as true. The alignment is false, and the confidence in relevancy is very low.",Not Misinformation,0.9,"The evidence supports the claim made in the headline that Oregon Attorney General Ellen Rosenblum filed a lawsuit against GNC for selling dietary supplements containing illegal synthetic chemicals, specifically BMPEA and picamilon. This is corroborated by multiple sources, including the articles from ktvl.com and oregonbusinessreport.com, which detail the allegations made by the Attorney General. The visual veracity signal indicates that the image is genuine, although it is not relevant to the claim. The decisive evidence items are: https://ktvl.com/news/local/oregon-sues-gnc-over-some-nutritional-supplements-11-06-2015 and https://oregonbusinessreport.com/2015/10/oregon-ag-sues-gnc-nutritian-chain/.",,
4,ds6690,/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_191.png,,visual_veracity_distortion,Fake,,,,,,,,
5,ds8815,/fake/coco_text_edit_test_500/coco_text_edit_test_315.png,,mismatch,Fake,,,,,,,,
6,578,/real/usa_today_test_500/usa_today_test_78.png,,original,True,,,,,,,,
7,8916,/fake/coco_text_edit_test_500/coco_text_edit_test_416.png,,mismatch,Fake,,,,,,,,
8,8341,/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_341.png,,mismatch,Fake,Misinformation,0.6,The image is partially aligned with the headline but lacks specific confirmation of the Riverside Museum or visitor numbers. The low confidence in the alignment suggests a possible mismatch despite the headline being true.,Not Misinformation,0.9,"The evidence confirms that the Riverside Museum was awarded the European Museum of the Year in 2013, supporting the first part of the claim. Additionally, the evidence indicates that visitor numbers have dropped, likely due to post-pandemic trends affecting museums, which aligns with the second part of the claim. The visual veracity signal indicates the image is not AI-generated, further supporting the authenticity of the claim. The decisive evidence items include [1] and [2] for the award and [3] for the visitor drop.",,
9,2929,/real/fakeddit_test_500/fakeddit_test_429.png,,original,True,,,,,,,,
10,ds354,/real/bbc_test_500/bbc_test_354.png,,original,True,,,,,,,,
11,ds4173,/fake/rumor_match_test_750/rumor_match_test_173.png,,textual_veracity_distortion,Fake,,,,,,,,
12,5357,/fake/chatgpt_match_test_500/chatgpt_match_test_357.png,,textual_veracity_distortion,Fake,Misinformation,0.6,"The image is partially aligned with the headline but lacks specific details about the Education Secretary's plan, and the confidence level is below 0.7, indicating a likely mismatch.",Not Misinformation,0.8,"The visual veracity indicates that the image is genuine and not AI-generated. The evidence supports the claim regarding the Education Secretary's controversial plan and the financial risks associated with it. Specifically, evidence items [1] and [2] confirm the controversial nature of the plan, while evidence item [2] also highlights critics' concerns about the financial risks of the stimulus plan. The signals align with the evidence, leading to the conclusion that the claim is valid.",,
13,7119,/fake/Newsclipings_person_test_500/Newsclipings_person_test_119.png,,mismatch,Fake,,,,,,,,
14,ds1846,/real/guardian_test_500/guardian_test_346.png,,original,True,,,,,,,,
15,ds6329,/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_330.png,,visual_veracity_distortion,Fake,,,,,,,,
16,ds2101,/real/coco_test_500/coco_test_101.png,,original,True,,,,,,,,
17,4642,/fake/rumor_match_test_750/rumor_match_test_642.png,,textual_veracity_distortion,Fake,Misinformation,1.0,"The image does not align with the subjects mentioned in the headline, and the confidence in the alignment is very low (0.1). The headline is accurate based on the Q/A analysis, but the image is completely wrong.",Not Misinformation,0.9,"The visual veracity indicates that the image is genuine and not AI-generated, which supports the claim. Additionally, the evidence retrieved confirms that Cindy Crawford has discussed her daughter Kaia Gerber's modeling future and her relationship with Kendall Jenner, aligning with the headline. The evidence items that were decisive include the TikTok video discussing Kaia's connection to Kendall Jenner (https://www.tiktok.com/@apnewsentertainment/video/7667595983152237837) and the interview where Cindy Crawford talks about her daughter (https://www.people.com/all-about-cindy-crawford-kids-7642501).",,
18,ds2066,/real/coco_test_500/coco_test_66.png,,original,True,,,,,,,,
19,5317,/fake/chatgpt_match_test_500/chatgpt_match_test_317.png,,textual_veracity_distortion,Fake,,,,,,,,
20,ds3723,/fake/fever_AI_test_1000/fever_test_md_724.png,,textual_veracity_distortion,Fake,,,,,,,,
21,ds7055,/fake/Newsclipings_person_test_500/Newsclipings_person_test_55.png,,mismatch,Fake,,,,,,,,
22,ds9228,/fake/coco_image_edit_test_500/coco_image_edit_test_228.png,,mismatch,Fake,,,,,,,,
23,8442,/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_442.png,,mismatch,Fake,Misinformation,1.0,"The image does not depict Ben Stokes or the specific event described in the headline, and the alignment is false with low confidence. The headline is accurate based on Q/A analysis, but the image is completely wrong.",Not Misinformation,0.9,"The evidence supports the claim that Ben Stokes misjudged a delivery from Peter Siddle, resulting in his dismissal for 47 runs. This is confirmed by multiple sources, including a specific answer stating he was bowled out by Siddle after misjudging a delivery, which aligns with the claim. The visual veracity signal indicates the image is not AI-generated, and while the relevancy signal is low, the supporting evidence is strong enough to conclude that the claim is accurate.",,
24,ds9638,/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_138.png,,mismatch,Fake,,,,,,,,
25,ds9433,/fake/coco_image_edit_test_500/coco_image_edit_test_433.png,,mismatch,Fake,,,,,,,,
26,ds3252,/fake/fever_AI_test_1000/fever_test_dalle_253.png,,textual_veracity_distortion,Fake,,,,,,,,
27,2649,/real/fakeddit_test_500/fakeddit_test_149.png,,original,True,,,,,,,,
28,6611,/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_112.png,,visual_veracity_distortion,Fake,,,,,,,,
29,7601,/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_101.png,,mismatch,Fake,Misinformation,0.8,"The image does not depict the specific event mentioned in the headline, as it is not aligned with the context of the restaurant attack in Dhaka. The low confidence in relevancy (0.2) indicates a significant mismatch, despite the headline being true.",Not Misinformation,0.9,"The visual veracity indicates that the image is not AI-generated, and the evidence supports the claim that Bangladeshi security personnel were present near a restaurant attacked by gunmen in Dhaka on July 1, 2016. Specifically, evidence items [3] and [4] from the retrieved evidence confirm the presence of security personnel at the scene of the attack.",,
30,ds9091,/fake/coco_image_edit_test_500/coco_image_edit_test_91.png,,mismatch,Fake,,,,,,,,
31,ds5053,/fake/chatgpt_match_test_500/chatgpt_match_test_53.png,,textual_veracity_distortion,Fake,,,,,,,,
32,5834,/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_135.png,,textual_veracity_distortion,Fake,,,,,,,,
33,ds7963,/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_463.png,,mismatch,Fake,Misinformation,1.0,"The image does not relate to the specific subject of the 1989 FA Cup semifinal at Hillsborough stadium, and the alignment is completely false. The headline is accurate, but the image fails to represent the event.",Not Misinformation,1.0,"The evidence supports the claim that 96 people died at the Hillsborough disaster during the FA Cup semifinal in 1989. Specifically, the answers confirm that 96 Liverpool fans lost their lives due to overcrowding at the stadium, which aligns with the claim. The visual veracity signal indicates the image is genuine, and while the relevancy signal is low, it does not contradict the claim. The decisive evidence items include: [2] and [4] from the retrieved evidence, which confirm the number of fatalities and the context of the event.",,
34,3980,/fake/fever_AI_test_1000/fever_test_md_981.png,,textual_veracity_distortion,Fake,,,,,,,,
35,ds8989,/fake/coco_text_edit_test_500/coco_text_edit_test_489.png,,mismatch,Fake,,,,,,,,
36,4046,/fake/rumor_match_test_750/rumor_match_test_46.png,,textual_veracity_distortion,Fake,,,,,,,,
37,ds3520,/fake/fever_AI_test_1000/fever_test_md_521.png,,textual_veracity_distortion,Fake,,,,,,,,
38,ds7399,/fake/Newsclipings_person_test_500/Newsclipings_person_test_399.png,,mismatch,Fake,,,,,,,,
39,ds1998,/real/guardian_test_500/guardian_test_498.png,,original,True,,,,,,,,
40,ds2471,/real/coco_test_500/coco_test_471.png,,original,True,,,,,,,,
41,8858,/fake/coco_text_edit_test_500/coco_text_edit_test_358.png,,mismatch,Fake,,,,,,,,
42,1750,/real/guardian_test_500/guardian_test_250.png,,original,True,,,,,,,,
43,ds3448,/fake/fever_AI_test_1000/fever_test_md_449.png,,textual_veracity_distortion,Fake,,,,,,,,
44,ds4880,/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_131.png,,textual_veracity_distortion,Fake,,,,,,,,
45,4125,/fake/rumor_match_test_750/rumor_match_test_125.png,,textual_veracity_distortion,Fake,Misinformation,0.9,"The image is not aligned with the headline, showing a man in formal attire without any context related to Kevin Hart or J. Cole's music video. The headline is true, but the image does not support it.",Not Misinformation,0.9,"The visual veracity signal indicates that the image is genuine and not AI-generated. The evidence supports the claim that Kevin Hart appeared in a J. Cole music video where he played a role reflecting his real-life cheating scandal. Specifically, evidence item [2] confirms that he was portrayed as an unfaithful man, aligning with the claim. The relevancy signal is low, but the supporting evidence outweighs this concern.",,
46,ds2354,/real/coco_test_500/coco_test_354.png,,original,True,,,,,,,,
47,ds137,/real/bbc_test_500/bbc_test_137.png,,original,True,,,,,,,,
48,ds4717,/fake/rumor_match_test_750/rumor_match_test_717.png,,textual_veracity_distortion,Fake,,,,,,,,
49,8870,/fake/coco_text_edit_test_500/coco_text_edit_test_370.png,,mismatch,Fake,,,,,,,,
50,4580,/fake/rumor_match_test_750/rumor_match_test_580.png,,textual_veracity_distortion,Fake,,,,,,,,
51,ds8617,/fake/coco_text_edit_test_500/coco_text_edit_test_117.png,,mismatch,Fake,,,,,,,,
52,1792,/real/guardian_test_500/guardian_test_292.png,,original,True,,,,,,,,
53,1795,/real/guardian_test_500/guardian_test_295.png,,original,True,,,,,,,,
54,ds2773,/real/fakeddit_test_500/fakeddit_test_273.png,,original,True,,,,,,,,
55,ds9233,/fake/coco_image_edit_test_500/coco_image_edit_test_233.png,,mismatch,Fake,,,,,,,,
56,4557,/fake/rumor_match_test_750/rumor_match_test_557.png,,textual_veracity_distortion,Fake,Misinformation,0.5,"The image does not clearly depict Ruth Negga, and the connection to the headline is weak. The relevancy confidence is low (0.5), indicating a likely mismatch between the image and the headline.",Not Misinformation,0.9,"The visual veracity indicates that the image is genuine, and the evidence supports the claim that Ruth Negga is gaining popularity in Hollywood, particularly due to her recent projects and performances. Evidence items such as the Wikipedia page (https://en.wikipedia.org/wiki/Ruth_Negga) and the article from IrishCentral (https://www.irishcentral.com/culture/entertainment/there-s-a-new-irish-star-in-hollywood-ruth-negga) confirm her rising star status.",,
57,3081,/fake/fever_AI_test_1000/fever_test_SD_82.png,,textual_veracity_distortion,Fake,,,,,,,,
58,ds8199,/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_199.png,,mismatch,Fake,Misinformation,1.0,"The image does not relate to the headline at all, as indicated by the relevancy signals showing 'aligned' as false and 'confidence' as 0.0. The headline is accurate based on the Q/A analysis, but the image is completely wrong.",Not Misinformation,1.0,"The evidence supports the claim that the death of former Putin aide Mikhail Lesin was ruled accidental by US authorities. Specifically, evidence items [2] and [2] from the retrieved evidence confirm that his death was ruled an accident due to blunt force trauma and excessive alcohol consumption. The visual veracity signal indicates the image is genuine, and while the relevancy signal is low, it does not contradict the claim.",,
59,ds4910,/fake/gossipcop_midjourney_test_250/gossipcop_midjourney_test_md_161.png,,textual_veracity_distortion,Fake,,,,,,,,
60,ds379,/real/bbc_test_500/bbc_test_379.png,,original,True,Not Misinformation,0.8,"The headline is accurate based on Q/A analysis, and the image is genuine and partially aligned with the context of the police raid. The high confidence in the partial alignment supports the connection between the image and the headline.",Misinformation,0.9,"The claim states that three people died during the police raid, but the evidence indicates that two suspects were killed, and a woman detonated an explosive device, resulting in her death. This totals three deaths, but the claim does not specify the nature of the deaths accurately. The evidence from the retrieved sources confirms that two suspects died and a woman was also killed, which aligns with the claim but lacks clarity on the specifics. The visual veracity signal indicates the image is not AI-generated, but the conflicting details in the evidence regarding the nature of the deaths lead to a conclusion of misinformation. Evidence items [1] and [2] confirm the deaths of two suspects and the woman, but the claim's wording is misleading.",,
