sample_id,label,confidence,abstain,parse_ok,attempts,calls
ds100,Not Misinformation,0.85,False,True,1,1
ds1009,Not Misinformation,1.0,False,True,1,1
ds1039,Not Misinformation,0.8,False,True,1,1
ds1055,Misinformation,0.9,False,True,1,1
ds1060,Not Misinformation,0.9,False,True,1,1
ds1062,Not Misinformation,0.9,False,True,1,1
ds1095,Not Misinformation,0.8,False,True,1,1
ds1096,Misinformation,0.9,False,True,1,1
ds1099,Not Misinformation,0.9,False,True,1,1
ds1157,Misinformation,0.9,False,True,1,1
ds1226,Misinformation,0.9,False,True,1,1
ds1268,Not Misinformation,0.9,False,True,1,1
ds1310,Not Misinformation,1.0,False,True,1,1
ds1360,Misinformation,0.9,False,True,1,1
ds137,Not Misinformation,0.9,False,True,1,1
ds1370,Not Misinformation,0.95,False,True,1,1
ds1418,Misinformation,0.8,False,True,1,1
ds1427,Misinformation,0.8,False,True,1,1
ds1547,Misinformation,0.9,False,True,1,1
ds1564,Misinformation,1.0,False,True,1,1
ds1582,Misinformation,0.9,False,True,1,1
ds1645,Not Misinformation,0.9,False,True,1,1
ds1686,Not Misinformation,0.9,False,True,1,1
ds1754,Not Misinformation,0.9,False,True,1,1
ds1760,Misinformation,1.0,False,True,1,1
ds1829,Not Misinformation,0.9,False,True,1,1
ds1833,Not Misinformation,1.0,False,True,1,1
ds1846,Misinformation,0.9,False,True,1,1
ds1877,Not Misinformation,1.0,False,True,1,1
ds1963,Not Misinformation,0.9,False,True,1,1
ds1998,Not Misinformation,0.9,False,True,1,1
ds2006,Not Misinformation,0.8,False,True,1,1
ds2010,Not Misinformation,0.95,False,True,1,1
ds2066,Not Misinformation,0.95,False,True,1,1
ds2082,Misinformation,0.8,False,True,1,1
ds2101,Not Misinformation,0.9,False,True,1,1
ds2126,Misinformation,0.9,False,True,1,1
ds2220,Not Misinformation,0.95,False,True,1,1
ds2309,Not Misinformation,0.9,False,True,1,1
ds231,Not Misinformation,0.9,False,True,1,1
ds2311,Misinformation,0.9,False,True,1,1
ds2331,Not Misinformation,0.9,False,True,1,1
ds2354,Not Misinformation,0.9,False,True,1,1
ds2361,Misinformation,0.8,False,True,1,1
ds2385,Not Misinformation,0.95,False,True,1,1
ds2437,Misinformation,0.9,False,True,1,1
ds2441,Not Misinformation,0.9,False,True,1,1
ds2471,Not Misinformation,0.9,False,True,1,1
