sample_id,label,confidence,intervention,stats
9577,Not Misinformation,0.7,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9027,Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
7439,Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9980,Not Misinformation,0.7,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
8063,Not Misinformation,0.7,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds8721,Not Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9362,Not Misinformation,0.85,C2,"{""removed_chars"": 267, ""removed_tokens_est"": 66}"
ds9253,Not Misinformation,0.85,C2,"{""removed_chars"": 280, ""removed_tokens_est"": 70}"
8719,Misinformation,0.8,C2,"{""removed_chars"": 1208, ""removed_tokens_est"": 302}"
ds9954,Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
9323,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9049,Not Misinformation,0.7,C2,"{""removed_chars"": 269, ""removed_tokens_est"": 67}"
7259,Not Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds8617,Misinformation,0.8,C2,"{""removed_chars"": 181, ""removed_tokens_est"": 45}"
ds9145,Misinformation,0.8,C2,"{""removed_chars"": 178, ""removed_tokens_est"": 44}"
ds9228,Not Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds7291,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
9081,Not Misinformation,0.85,C2,"{""removed_chars"": 228, ""removed_tokens_est"": 57}"
8155,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9200,Misinformation,0.9,C2,"{""removed_chars"": 269, ""removed_tokens_est"": 67}"
ds7131,Not Misinformation,0.85,C2,"{""removed_chars"": 210, ""removed_tokens_est"": 52}"
8830,Misinformation,0.95,C2,"{""removed_chars"": 152, ""removed_tokens_est"": 38}"
ds8684,Misinformation,0.8,C2,"{""removed_chars"": 99, ""removed_tokens_est"": 24}"
ds8199,Misinformation,0.95,C2,"{""removed_chars"": 99, ""removed_tokens_est"": 24}"
7330,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
8341,Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
7759,Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds8815,Misinformation,0.95,C2,"{""removed_chars"": 99, ""removed_tokens_est"": 24}"
7187,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
7469,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2006,Not Misinformation,0.7,C2,"{""removed_chars"": 142, ""removed_tokens_est"": 35}"
978,Not Misinformation,0.8,C2,"{""removed_chars"": 188, ""removed_tokens_est"": 47}"
ds1564,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1998,Not Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2506,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2845,Not Misinformation,0.75,C2,"{""removed_chars"": 294, ""removed_tokens_est"": 73}"
ds2311,Not Misinformation,0.95,C2,"{""removed_chars"": 236, ""removed_tokens_est"": 59}"
ds1062,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1099,Not Misinformation,0.9,C2,"{""removed_chars"": 135, ""removed_tokens_est"": 33}"
2915,Not Misinformation,0.8,C2,"{""removed_chars"": 288, ""removed_tokens_est"": 72}"
ds2354,Not Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2864,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2437,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
2169,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
992,Not Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2926,Misinformation,0.95,C2,"{""removed_chars"": 646, ""removed_tokens_est"": 161}"
2756,Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1157,Not Misinformation,0.75,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2594,Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
1795,Not Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1060,Not Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
1436,Not Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds994,Not Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1754,Not Misinformation,0.95,C2,"{""removed_chars"": 2897, ""removed_tokens_est"": 724}"
2826,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds2101,Not Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds451,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds372,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds1829,Not Misinformation,0.9,C2,"{""removed_chars"": 300, ""removed_tokens_est"": 75}"
4642,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5647,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds3303,Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5053,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
5060,Misinformation,0.95,C2,"{""removed_chars"": 2815, ""removed_tokens_est"": 703}"
5013,Misinformation,0.95,C2,"{""removed_chars"": 160, ""removed_tokens_est"": 40}"
5939,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
5000,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4278,Misinformation,0.95,C2,"{""removed_chars"": 514, ""removed_tokens_est"": 128}"
4557,Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5161,Misinformation,0.95,C2,"{""removed_chars"": 427, ""removed_tokens_est"": 106}"
ds4821,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5714,Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
4284,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5403,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
4718,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
5575,Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds3839,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
4230,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds3503,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
4960,Not Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
5977,Misinformation,0.9,C2,"{""removed_chars"": 99, ""removed_tokens_est"": 24}"
3980,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
3397,Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4724,Not Misinformation,0.85,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4939,Not Misinformation,0.75,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds5610,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
3415,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4064,Not Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds4717,Misinformation,0.95,C2,"{""removed_chars"": 4992, ""removed_tokens_est"": 1248}"
ds6954,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6291,Misinformation,0.9,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6725,Misinformation,0.8,C2,"{""removed_chars"": 179, ""removed_tokens_est"": 44}"
ds6266,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6031,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
6026,Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6940,Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds6481,Not Misinformation,0.95,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
6119,Misinformation,0.95,C2,"{""removed_chars"": 1088, ""removed_tokens_est"": 272}"
ds6549,Misinformation,0.8,C2,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
