sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is identified as AI-generated with high confidence (0.9) due to the surreal and physically impossible combination of a tank and a floating frog. According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim of a 'recently declassified image' is contradicted by the visual evidence of a fictional/AI creation and the lack of any real-world context linking the image to a specific military project."
3397,Misinformation,0.9,False,True,"The visual veracity module indicates that the image is AI-generated with a confidence of 0.8, which exceeds the 0.6 threshold. According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; it is owned by Caesars Entertainment, which is based in Nevada."
ds4717,Not Misinformation,0.6,False,True,"The image is verified as a genuine photograph (not AI-generated), which prevents an automatic 'Misinformation' verdict based on the definitive rule. The module signals indicate low relevancy (the image does not depict the specific individuals or event), but the QA answers confirm that the core narrative elements (Khloe Kardashian's pregnancy, Tristan Thompson's influence on her diet, and her struggles with cravings like cookies and ice cream) are grounded in reported events and public statements. While the specific phrasing 'Forced' may be sensationalized, the underlying claim reflects real reported dynamics and events, distinguishing it from fabricated misinformation."
4718,Not Misinformation,0.9,False,True,"The image is a genuine photograph (AI-generated: false) featuring Jennifer Lopez, which aligns with the subject of the headline. The headline claims she might take a break from Alex Rodriguez. Historical evidence confirms that Jennifer Lopez and Alex Rodriguez did take a break from their relationship, which led to their breakup in March 2021. Therefore, the claim is factually grounded in past events and is not misinformation."
ds2101,Not Misinformation,0.9,False,True,"The image is verified as real (not AI-generated) and accurately depicts the scene described in the claim: a table with two wine glasses and a centerpiece. The visual content aligns perfectly with the headline, and there are no indicators of manipulation or fabrication."
5000,Misinformation,0.9,False,True,"The claim that President Obama admitted to a secret deal to hand over U.S. territory to China to settle debt is factually false. The United States has not ceded any of its sovereign territory to China, nor was there any such secret agreement. While the image shows Barack Obama, the module signals correctly identify that the image is not aligned with the specific (false) event described in the headline. The answers provided in the signals confirm that while diplomatic relations existed, there was no debt settlement involving the handover of U.S. territory. The claim relies on a fabricated narrative unrelated to the visual content or historical facts."
ds4724,Not Misinformation,0.9,False,True,"The image is a genuine photograph (not AI-generated) and shows the subjects mentioned in the headline. While the headline makes a specific claim about sleeping arrangements that is not visually verifiable from the image alone, the image itself is not fabricated or misleading in a way that constitutes misinformation under the definitive rule. The module signals indicate the image is real and the headline is only partially aligned with the visual content (showing them together, but not the specific sleeping context). The answers suggest the specific claim about separate bedrooms is likely a misunderstanding or rumor, but the image does not actively disprove it nor is it an AI fabrication. Therefore, it is classified as Not Misinformation based on the visual veracity and lack of definitive pr"
ds1157,Not Misinformation,0.6,False,True,"The image is verified as real (not AI-generated). The claim describes a person holding a banner during a Pope's procession to St. Patrick's Cathedral. Historical records confirm that Pope Francis visited St. Patrick's Cathedral in 2015 and that crowds often hold banners during such high-profile papal visits in New York. While the specific detail of 'Fifth Avenue' for the procession to the Cathedral is slightly ambiguous (as the Cathedral is on Fifth Avenue, but processions often come from other directions or involve specific routes), the core event (Pope visiting St. Patrick's with public support/banners) is factually grounded. The module signals show partial alignment and confirm the Pope's visit to the location. There is no evidence of fabrication or AI generation."
5013,Not Misinformation,0.9,False,True,"The image is verified as a genuine photograph (not AI-generated) and depicts two individuals on a stage, which is consistent with Brooke Burke's public persona as a television host and dancer. While the module signals indicate low relevancy (the image does not specifically depict the 'dating revelation' or 'divorce' event mentioned in the headline), this is characteristic of clickbait or generic stock imagery used in tabloid-style articles rather than definitive proof of misinformation. The headline makes sensational claims about her personal life, but the image itself is authentic and not fabricated. In the absence of AI generation or direct visual contradiction (e.g., showing a different person entirely in a context that proves the headline false), and given that the headline refers to r"
ds9980,Not Misinformation,0.6,False,True,"The image is verified as real (not AI-generated) and depicts a child smiling, which aligns with the claim's subject. The module signals indicate partial alignment, noting that while the emotional content matches, the specific context (family settling in a field near a Kurdish checkpoint) is not explicitly visible in the image. However, the provided QA answers confirm that such scenarios (displaced families at Kurdish checkpoints in northern Iraq) are factually grounded in real events and humanitarian contexts. Since the image is authentic and the scenario is plausible and supported by general knowledge of the region's displacement crises, it is not classified as misinformation, though the specific caption details cannot be visually verified from the image alone."
