sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and impossible scene of a frog floating above a tank. The definitive rule states that if the image is AI-generated, the output must be Misinformation. Furthermore, the claim references 'Project Ribbit Thunder' as a recently declassified military image. Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and there are crypto tokens named 'Ribbit', but no credible evidence links 'Project Ribbit Thunder' to any real-world declassified military operation or imagery. The combination of an AI-generated image and a fabricated or misattributed military context confirms the misinformation."
3397,Misinformation,0.9,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect. Evidence confirms that Planet Hollywood Las Vegas is owned and operated by Caesars Entertainment, which is headquartered in Reno, Nevada, not Paris, Texas. The module's answer signals also contradict the claim, stating ownership by Caesars Entertainment."
ds4717,Not Misinformation,0.9,False,True,"The claim that Khloe Kardashian was forced by Tristan Thompson to follow a 'strict' pregnancy diet after a binge is supported by multiple credible entertainment news sources from the time of her pregnancy (2018). Specifically, Inquisitr [1] and OK Magazine [2] explicitly report that Tristan Thompson put Khloe on a strict pregnancy diet following her indulgence in junk food (cookies and ice cream) after her previous weight loss. The Sun [5] also corroborates that Tristan intervened in her pregnancy routine to stop unhealthy habits. While the module signals had low confidence due to potential date mismatches (the events occurred in 2018, not 2023/2026 as some retrieved snippets suggest), the core factual claim regarding the existence of this specific narrative and its reporting is accurate. "
4718,Not Misinformation,0.9,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which culminated in a breakup and cancellation of their engagement in March 2021 (Evidence [2], [5]). Furthermore, recent reports indicate that Rodriguez reached out to Lopez after his own recent breakup, suggesting ongoing interaction or a potential reconciliation phase, which aligns with the 'break' or 're-evaluation' narrative implied by the headline (Evidence [3] in module signals, Evidence [3] in retrieved evidence). The image is verified as not AI-generated (Module Signal: visual_veracity ai_generated=false). The module's answer signals support the factual basis of the relationship status. Therefore, the c"
ds2101,Not Misinformation,0.9,False,True,"The claim describes a table topped with two wine glasses and a centerpiece. The module signals indicate the image is not AI-generated (ai_generated=false) and is relevant to the claim. The retrieved evidence confirms that centerpieces are standard table decorations (Wikipedia, MyDomaine) and that wine glasses are commonly used in table settings and even as part of centerpieces (Pinterest, AliExpress). The visual description in the claim aligns with common table setting practices described in the evidence. There is no contradiction between the image content (as described by the module) and the claim, nor is there evidence suggesting the image is fabricated or misleading."
5000,Misinformation,0.9,False,True,"The claim that Obama admitted to a secret deal with China to hand over U.S. territory to settle debt is factually false. First, the United States has never handed over any of its sovereign territory to China; Hong Kong was a British colony transferred to China in 1997, prior to Obama's presidency, and is not U.S. territory [Evidence 1, 2]. Second, there is no record of any 'secret deal' involving territorial exchange for debt settlement during the Obama administration. While the U.S. and China engaged in diplomatic and trade relations, including a 2014 state visit [Evidence 3], and there were tensions regarding U.S. debt held by China [Evidence 1, 5], these do not constitute a territorial handover. The module signals correctly identify the lack of alignment between the image and the claim,"
ds4724,Not Misinformation,0.6,False,True,"The claim that George and Amal Clooney are sleeping in separate bedrooms is a specific detail regarding their private lives. The retrieved evidence indicates that while there are widespread rumors and speculation about their relationship stability (including reports of separation or divorce), there is no definitive confirmation that they are sleeping in separate rooms. In fact, one specific source [Evidence 2, menzfirst.com] explicitly refutes the claim that they sleep separately due to snoring, stating it is 'not accurate' and that they have adapted to each other's quirks. Other sources [Evidence 2, realitytea.com; Evidence 3, ndtv.com] describe the couple as 'happily married' and 'couple goals,' contradicting the implication of marital trouble inherent in the headline. The image provided"
ds1157,Not Misinformation,0.9,False,True,"The claim states that a person holds a banner during the pope's procession down Fifth Avenue to St Patrick's Cathedral. Evidence confirms that Pope Francis traveled down Fifth Avenue to St. Patrick's Cathedral on September 24, 2015, and that Pope Paul VI also traveled down Fifth Avenue to the Cathedral in 1965, where 55,000 people lined the street. While the specific image is not verified as a historical photo of that exact moment, the event described (pope procession on 5th Ave to St. Patrick's) is factually accurate. The module's visual veracity check indicates the image is not AI-generated. The presence of a banner holder is a plausible and common element of such public processions (evidenced by banners held in other papal visits in the search results, and the general description of cro"
5013,Not Misinformation,0.6,False,True,"The headline claims Brooke Burke made a 'controversial dating revelation' amid divorce speculation. Evidence confirms that Brooke Burke is divorced from David Charvet (Evidence [3], [4] in Q3) and is currently engaged to Scott Rigsby, with recent news (June 2025) discussing the postponement of their wedding date (Evidence [1], [2], [3] in Q1). The module's visual veracity check indicates the image is not AI-generated (ai_generated=false), which is the primary trigger for a 'Misinformation' label under the definitive rule. While the module's relevancy signal is low (false), stating the image does not depict the specific event, the image appears to be a generic stock or archival photo of Brooke Burke (likely from DWTS, as suggested by the module explanation). In the context of celebrity news"
ds9980,Not Misinformation,0.6,False,True,"The image depicts a scene consistent with the widespread media coverage of Iraqi families fleeing Mosul and settling in displacement camps near Kurdish checkpoints (specifically the Khazer/Aksi Kalak area) during the ISIS conflict (circa 2014-2017). Evidence [3] from Daily Mail explicitly mentions a 'girl stands besides her tent at a temporary displacement camp set up next to a Kurdish checkpoint in Kalak,' and Evidence [1] from NBC News describes 'Fleeing Iraqi Families Crowd Kurdish Checkpoints' in the Khazer area. The visual elements (girl, field, checkpoint context) align with these historical reports. While the headline specifies '2023' for family settlement efforts in the module signals, the specific event of families settling in fields near checkpoints is a well-documented phenomeno"
