sample_id,label,confidence,stats
9577,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9027,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
7439,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9980,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
8063,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds8721,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9362,Misinformation,0.8,"{""removed_chars"": 267, ""removed_tokens_est"": 66}"
ds9253,Not Misinformation,0.8,"{""removed_chars"": 280, ""removed_tokens_est"": 70}"
8719,Misinformation,0.9,"{""removed_chars"": 1208, ""removed_tokens_est"": 302}"
ds9954,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
9323,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9049,Misinformation,0.8,"{""removed_chars"": 269, ""removed_tokens_est"": 67}"
7259,Not Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds8617,Misinformation,1.0,"{""removed_chars"": 181, ""removed_tokens_est"": 45}"
ds9145,Misinformation,1.0,"{""removed_chars"": 178, ""removed_tokens_est"": 44}"
ds9228,Not Misinformation,0.7,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds7291,Not Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
9081,Not Misinformation,0.7,"{""removed_chars"": 228, ""removed_tokens_est"": 57}"
8155,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
ds9200,Misinformation,0.9,"{""removed_chars"": 269, ""removed_tokens_est"": 67}"
ds7131,Misinformation,0.8,"{""removed_chars"": 210, ""removed_tokens_est"": 52}"
8830,Misinformation,0.8,"{""removed_chars"": 152, ""removed_tokens_est"": 38}"
ds8684,Misinformation,0.9,"{""removed_chars"": 99, ""removed_tokens_est"": 24}"
ds8199,Misinformation,0.9,"{""removed_chars"": 99, ""removed_tokens_est"": 24}"
7330,Misinformation,0.9,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
8341,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
7759,Misinformation,0.8,"{""removed_chars"": 0, ""removed_tokens_est"": 0}"
