sample_id,image_path,fake_cls,gt_ai,local_ai,gpt_ai
6563,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_64.png,visual_veracity_distortion,1,1,1
2649,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_149.png,original,0,0,0
3025,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_SD_26.png,textual_veracity_distortion,1,1,1
7647,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_147.png,mismatch,0,0,1
4230,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_230.png,textual_veracity_distortion,0,0,0
9058,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_58.png,mismatch,0,1,1
1152,data/MMFakeBench_test/real/wash_test_500/wash_test_152.png,original,0,0,0
5977,data/MMFakeBench_test/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_278.png,textual_veracity_distortion,1,1,0
2826,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_326.png,original,0,0,0
9974,data/MMFakeBench_test/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_474.png,mismatch,0,0,0
5292,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_292.png,textual_veracity_distortion,0,0,0
9191,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_191.png,mismatch,0,1,1
104,data/MMFakeBench_test/real/bbc_test_500/bbc_test_104.png,original,0,0,0
6440,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_441.png,visual_veracity_distortion,0,0,1
365,data/MMFakeBench_test/real/bbc_test_500/bbc_test_365.png,original,0,0,1
4046,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_46.png,textual_veracity_distortion,0,0,0
7119,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_119.png,mismatch,0,0,0
5000,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_0.png,textual_veracity_distortion,0,0,0
578,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_78.png,original,0,0,0
9323,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_323.png,mismatch,0,0,0
6327,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_328.png,visual_veracity_distortion,0,0,1
4063,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_63.png,textual_veracity_distortion,0,0,0
1782,data/MMFakeBench_test/real/guardian_test_500/guardian_test_282.png,original,0,0,0
7439,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_439.png,mismatch,0,0,0
4284,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_284.png,textual_veracity_distortion,0,0,0
8443,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_443.png,mismatch,0,0,0
966,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_466.png,original,0,0,0
3855,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_856.png,textual_veracity_distortion,1,1,1
