sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and impossible scene of a frog floating above a tank. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and 'Project Rabbit' is a video game, with no connection to military declassification or a 'Project Ribbit Thunder'. Furthermore, recent declassified military images typically involve satellite imagery (e.g., KH-7/KH-9) or specific historical missions (e.g., SAS), none of which match the AI-generated content. The combination of an AI-generated image with a fabricated context constitutes misinformation."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not a Texas corporation."
ds4717,Not Misinformation,0.85,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. Retrieved evidence from Inquisitr and OK Magazine confirms that reports existed stating Tristan Thompson put Khloe on a pregnancy diet and that she had been eating junk food (including cookies and ice cream) after her weight loss. While the word 'forced' is strong, the core narrative of Tristan influencing or controlling her diet due to her cravings is supported by multiple sources. The image relevance signal was low, but the textual claim is grounded in reported celebrity news from the time of her pregnancy."
4718,Not Misinformation,0.85,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that J.Lo and A.Rod did take a break and subsequently broke up in March 2021 (Evidence [2], [3] from retrieved set). Furthermore, recent reports indicate that A.Rod reached out to J.Lo after his own recent breakup, suggesting ongoing interaction or potential reconciliation discussions (Evidence [3] from latest news). The image is a genuine photograph of J.Lo (visual_veracity ai_generated=false). The headline uses speculative language ('Might Take A BREAK') which aligns with the recent news of their reconnection and the historical context of their relationship dynamics. It is not a definitive false claim of a current event but rather a headline reflecting recent rumors/news about their relationship "
ds2101,Not Misinformation,0.95,False,True,"The image depicts a table setting with wine glasses and a centerpiece, which aligns perfectly with the claim. The visual veracity module indicates the image is not AI-generated (ai_generated=false). The retrieved evidence confirms that such table settings are common and well-documented in home decor and dining contexts (e.g., Pinterest, MyDomaine, BHG). There is no evidence of deception or fabrication."
5000,Misinformation,0.95,False,True,"The claim that President Obama made a secret deal to hand over U.S. territory to China to settle debt is factually false. Evidence shows that the only significant territory transferred to China in recent history was Hong Kong, which was handed over by the United Kingdom in 1997, long before Obama's presidency [Evidence 2-1, 2-2]. There is no record of any U.S. territory being ceded to China during the Obama administration, nor any 'secret deal' regarding debt settlement involving territorial handover [Evidence 1-3, 3-1]. The image of the Obamas is unrelated to such a non-existent event, and the headline relies on a fabricated narrative. The module's visual veracity signal was low confidence (0.0), but the factual impossibility of the claim renders it misinformation regardless of the image'"
ds4724,Misinformation,0.85,False,True,"The headline claims that George and Amal Clooney are sleeping in separate bedrooms, implying a marital rift or separation. However, multiple credible sources explicitly refute this specific claim. Evidence [2] from menzfirst.com directly addresses the rumor, stating it is 'not accurate' that they sleep in separate rooms due to snoring, noting they have adapted to each other's quirks over nearly 8 years. Furthermore, Evidence [3] from NDTV describes the couple as 'happily married for over a decade' and a source of 'relationship goals,' contradicting the negative implication of the headline. While there are general rumors about marital strain (Evidence [2] from realitytea.com), the specific factual claim about sleeping arrangements is debunked by direct reports. The image shows them together"
ds1157,Not Misinformation,0.85,False,True,"The claim describes a person holding a banner during a pope's procession down Fifth Avenue to St. Patrick's Cathedral. Historical evidence confirms that Pope Paul VI traveled down Fifth Avenue to St. Patrick's Cathedral in 1965, and Pope Francis did the same in 2015. During such high-profile papal visits, it is standard for crowds to hold banners and signs. The retrieved evidence supports the occurrence of the procession on Fifth Avenue to the Cathedral for both Popes Paul VI and Francis. While the specific image cannot be definitively dated to a specific year without metadata, the event described is historically accurate and plausible. The module signals indicate the image is not AI-generated. Therefore, the image is consistent with the claim."
5013,Misinformation,0.85,False,True,"The headline claims a 'Controversial Dating Revelation' regarding Brooke Burke's divorce that sparks speculation. However, the retrieved evidence indicates that Brooke Burke is currently engaged to Scott Rigsby and has recently discussed wedding plans (which were delayed), rather than revealing new dating news amidst a divorce. Furthermore, the image provided is identified as irrelevant to the specific claim, showing two individuals on a stage that do not depict Brooke Burke or the alleged event. The combination of a misleading headline (implying a scandalous dating revelation during divorce) and an irrelevant image constitutes misinformation."
ds9980,Not Misinformation,0.85,False,True,"The image depicts a scene consistent with the widespread media coverage of Iraqi families fleeing Mosul and settling in displacement camps near Kurdish checkpoints (specifically the Khazer/Aksi Kalak area) during the conflict with ISIS (circa 2014-2017). Evidence [3] from the Daily Mail explicitly mentions a 'girl stands besides her tent at a temporary displacement camp set up next to a Kurdish checkpoint in Kalak' in the context of Peshmerga checking vehicles of Iraqis fleeing Mosul. Evidence [1] from NBC News and [2] from the Financial Times corroborate the presence of fleeing Iraqi families, including children, at these specific checkpoints. The visual elements (girl, field/tent setting, checkpoint context) align with these verified historical events. The module's visual veracity signal"
ds2354,Not Misinformation,0.85,False,True,"The image depicts a large airplane flying low in a cloudy sky, which is a plausible and common aviation scenario. The module signals indicate the image is not AI-generated (visual_veracity ai_generated=false) and is relevant to the claim. The retrieved evidence supports the factual basis of the claim: planes do fly low due to various reasons such as landing approaches, weather conditions (clouds affecting flight paths), and heat (as noted in evidence [2] under 'What causes planes to fly low?'). While the specific instance in the image is not identified as a specific news event, the claim describes a general phenomenon ('A big plane flying low on a cloudy sky') that is factually consistent with aviation practices and weather impacts described in the evidence. There is no evidence suggesting"
ds4,Not Misinformation,0.9,False,True,"The claim that Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper is factually correct. Multiple credible sources confirm that after the January 2015 attacks, Charlie Hebdo staff occupied an improvised space within the Liberation newspaper's newsroom for over six months before moving to new high-security offices in September 2015. While the provided image appears to be a generic memorial scene and does not visually depict the specific event of the move, the textual claim itself is supported by evidence. The image is verified as not AI-generated. Therefore, the headline content is accurate, even if the image is only tangentially related."
8830,Not Misinformation,0.85,False,True,"The image depicts a clock, and the retrieved evidence confirms that clocks on barns are a real phenomenon, with specific examples found on Unsplash (e.g., a barn with a clock on the side in Michigan) and discussions in watch forums about custom barn clocks. Although the module signals indicate low relevancy because the specific 'barn' context might not be visually dominant or clear in the provided image snippet, the claim itself describes a plausible and existing scenario. The image is not AI-generated, and there is no evidence suggesting the image is fake or misleading in a way that contradicts the existence of such objects. The low relevancy score likely stems from the image being a close-up of the clock rather than a wide shot of the barn, but this does not make the claim misinformation"
ds5053,Misinformation,0.85,False,True,"The claim that drinking green tea daily increases lifespan by exactly 'Ten Years' is a specific, quantifiable assertion that is not supported by the retrieved evidence. While multiple sources (NPR, Harvard Health, Healthline, Benzinger on Health) confirm that green tea is associated with reduced risk of cardiovascular disease and potential longevity benefits, none cite a study establishing a ten-year increase in lifespan. The evidence refers to general associations or reduced mortality risks, not a specific decade-long extension. The headline uses a sensationalized, unsupported statistic, constituting misinformation."
ds2437,Misinformation,0.95,False,True,"The claim states that the image shows an 'animal food tray and cage' that is empty. However, the image clearly depicts a disc golf basket (a metal chain basket used in the sport of disc golf) situated outdoors near a tree. The module signals correctly identify that the image is not relevant to the claim, noting that it shows a disc golf basket, not an animal food tray or cage. Since the subject matter of the image (disc golf equipment) is fundamentally different from the subject matter of the claim (animal husbandry items), the claim is a false description of the visual content, constituting misinformation."
ds1754,Not Misinformation,0.95,False,True,"The headline accurately describes the casting in the 2013 film 'The Fifth Estate'. Multiple credible sources, including Wikipedia, IMDb, and Rotten Tomatoes, confirm that Benedict Cumberbatch played the role of Julian Assange in this biographical thriller. The image signals indicate the visual is not AI-generated and aligns with the subject matter. Therefore, the claim is factually correct."
ds4278,Misinformation,0.95,False,True,"The headline claims that Russian mansions seized by the Obama administration were 'meant to be illegal gifts' to his daughters, Sasha and Malia. While it is true that the Obama administration seized two Russian diplomatic compounds in 2016 (as confirmed by evidence [1], [2], [3] in the first Q&A block), there is absolutely no evidence to support the claim that these properties were intended as gifts to the Obama daughters. The seized properties were diplomatic compounds used by Russian diplomats, not personal gifts. The claim fabricates a motive and relationship between the seized assets and the First Daughters that does not exist. The image provided (a person) is irrelevant to the factual claim about the mansions, further indicating a mismatched or misleading context. The core assertion o"
ds6954,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.8) with a surreal and irrelevant depiction of a man floating in space, which does not represent Prof. Martin Hairer. Furthermore, the claim contains factual inaccuracies regarding his employment; evidence confirms he is a Professor at EPFL and Imperial College London, not the University of Warwick. The combination of an AI-generated, irrelevant image and false institutional affiliation constitutes misinformation."
