sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and impossible scene of a frog floating above a tank. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence shows that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and there are cryptocurrency tokens named 'Ribbit', but there is no record of a real-world military project named 'Ribbit Thunder' involving such imagery. The term appears to be a conflation of pop culture and crypto terms, or a complete fabrication. Since the image is AI-generated and does not depict a real declassified military document or photograph, it constitutes misinformation."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not Paris, Texas. The combination of an AI-generated image and a false factual claim solidifies the misinformation label."
ds4717,Not Misinformation,0.85,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. The retrieved evidence supports the core elements of this claim. Specifically, multiple sources (Inquisitr [1], OK Magazine [2], The Sun [5] in the diet influence section) report that Tristan Thompson intervened in Khloe's pregnancy routine, telling her he wouldn't stand for unhealthy habits and putting her on a diet. The 'cookies and ice cream binge' context is supported by Khloe's public admissions of binge eating struggles and love for cookies/ice cream (The Sun [4], Yahoo [5]), and the specific headline phrasing appears to be a direct match for a reported story (Inquisitr [1]). While the word 'forced' is strong, the evidence indicates significant pressure and contro"
4718,Not Misinformation,0.85,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which culminated in a breakup and cancellation of their engagement in March 2021 (Evidence [2], [5] from the first Q). Furthermore, recent reports indicate that Rodriguez reached out to Lopez after his own recent breakup, suggesting ongoing interaction or a potential reconciliation phase, which aligns with the 'break' or 're-evaluation' narrative implied by the headline (Evidence [3] from the third Q). The image is a genuine photograph of J.Lo (visual_veracity: false for AI), and the headline accurately reflects the history and current status of their relationship dynamics. The 'partial' relevancy noted in the m"
ds2101,Not Misinformation,0.95,False,True,"The image depicts a table setting with two wine glasses and a centerpiece, which aligns perfectly with the claim. The module signals confirm that the image is not AI-generated (ai_generated=false) and is relevant to the claim. The retrieved evidence supports the general concept of table centerpieces and wine glass usage in table settings, confirming that such arrangements are common and realistic. There is no evidence of manipulation, AI generation, or factual contradiction in the visual content relative to the simple descriptive claim."
5000,Misinformation,0.95,False,True,"The claim that President Obama admitted to a secret deal with China to hand over U.S. territory to settle debt is factually false. Evidence [1] from the Brookings Institution and Evidence [3] from the White House archives confirm that Obama's relationship with China involved diplomatic cooperation and trade enforcement challenges, not the cession of territory. Furthermore, Evidence [1] and [2] regarding U.S. territory clarify that Hong Kong was handed over by Britain to China in 1997, long before Obama took office, and no U.S. territory was transferred to China. The image of the Obamas is unrelated to any such event, and the module signals correctly identify the lack of alignment. The claim is a fabrication mixing unrelated geopolitical facts (Hong Kong's status, U.S. debt holdings) into a"
ds4724,Not Misinformation,0.65,False,True,"The headline claims that George and Amal Clooney are sleeping in separate bedrooms. While the image shows them together, it does not verify or refute the specific claim about their sleeping arrangements. The retrieved evidence presents a mixed picture: some sources explicitly deny the claim, stating they are happily together and that the separate bedroom rumor is inaccurate due to George's snoring (Evidence Q2[2], Module Answers[2]). However, other sources report on 'growing divorce speculation' and rumors of separation (Evidence Q1[4], Q1[5], Module Answers[1], Module Answers[3]). The claim of sleeping separately is a specific detail often cited in celebrity gossip regarding their relationship strains. Since there is no definitive consensus in the evidence that the claim is false (in fact"
ds1157,Not Misinformation,0.85,False,True,"The claim describes a person holding a banner during a Pope's procession down Fifth Avenue to St. Patrick's Cathedral. Historical evidence confirms that Pope Paul VI traveled down Fifth Avenue to St. Patrick's Cathedral in 1965, and Pope Francis did the same in 2015 (Source [2] from 'Did the pope visit Fifth Avenue?' and Source [1] from 'Did the pope visit St Patrick's Cathedral?'). During such large-scale public events involving thousands of supporters lining the streets, it is highly plausible and consistent with historical records of papal visits that individuals held banners or signs. The image shows a banner with the Pope's image, which aligns with the context of supporters greeting the Pope. The module signals indicate the image is not AI-generated and is only partially aligned with "
5013,Misinformation,0.85,False,True,"The headline claims a 'Controversial Dating Revelation' regarding Brooke Burke's divorce that sparks speculation. However, the retrieved evidence indicates that Brooke Burke's divorce from David Charvet was finalized years ago (around 2019/2020), and she is currently engaged to Scott Rigsby. Recent news (June 2025) discusses the postponement of her wedding to Rigsby, not a new dating revelation amid a divorce. The image provided shows two individuals on a stage, which the module signals are not Brooke Burke or related to the specific event. The image is irrelevant to the claim (relevancy aligned: false), and the claim misrepresents the timeline and nature of her current relationship status (engaged, not divorcing). The headline uses sensationalist language ('Shocking Insights', 'Exposed') "
ds9980,Not Misinformation,0.75,False,True,"The image depicts a scene consistent with the widespread media coverage of Iraqi families fleeing Mosul and settling in camps near Kurdish checkpoints (specifically the Khazer/Aksi Kalak area) during the ISIS conflict (circa 2014-2017). Evidence [3] from Daily Mail explicitly mentions a 'girl stands besides her tent at a temporary displacement camp set up next to a Kurdish checkpoint in Kalak' in the context of Peshmerga checking vehicles of Iraqis fleeing Mosul. Evidence [1] from NBC News and [5] from NPR describe families crowding Kurdish checkpoints and settling in fields/camps in the Khazer area. While the headline specifies '2023' in the module's internal query context, the visual content and the specific description of a girl smiling/settling in a field near a checkpoint align with t"
