FN,FP,TN,TP,accuracy,avg_confidence,bin_lower,bin_upper,brier_score,category,count,expected_calibration_error,f1,judge_confidence_samples,judge_label_distribution,judge_logprob_samples,missing_in_gt_map,name,precision,recall,recall_neg,recall_pos,samples,support,total_outputs,uncertain_count,uncertain_rate,visual_veracity_coverage_rate,visual_veracity_gt_known,visual_veracity_pred_covered
,,,,,,,,,summary,,,,3,{'Misinformation': 3},3,0,counts,,,,,,,3,0,0.0,1.0,3,3
0,0,0,3,1.0,,,,,metric,,,1.0,,,,,judge_filtered,1.0,1.0,0.0,1.0,,3,,,,,,
0,0,0,3,1.0,,,,,metric,,,1.0,,,,,judge_all,1.0,1.0,0.0,1.0,,3,,,,,,
0,0,1,2,1.0,,,,,metric,,,1.0,,,,,visual_veracity_filtered,1.0,1.0,1.0,1.0,,3,,,,,,
0,0,1,2,1.0,,,,,metric,,,1.0,,,,,visual_veracity_all,1.0,1.0,1.0,1.0,,3,,,,,,
,,,,,,,,0.0075,calibration_summary,,0.083333,,,,,,judge_confidence,,,,,3,,,,,,,
,,,,,,0.0,0.1,,calibration_bin,0,,,,,,,bin_0,,,,,,,,,,,,
,,,,,,0.1,0.2,,calibration_bin,0,,,,,,,bin_1,,,,,,,,,,,,
,,,,,,0.2,0.3,,calibration_bin,0,,,,,,,bin_2,,,,,,,,,,,,
,,,,,,0.3,0.4,,calibration_bin,0,,,,,,,bin_3,,,,,,,,,,,,
,,,,,,0.4,0.5,,calibration_bin,0,,,,,,,bin_4,,,,,,,,,,,,
,,,,,,0.5,0.6,,calibration_bin,0,,,,,,,bin_5,,,,,,,,,,,,
,,,,,,0.6,0.7,,calibration_bin,0,,,,,,,bin_6,,,,,,,,,,,,
,,,,,,0.7,0.8,,calibration_bin,0,,,,,,,bin_7,,,,,,,,,,,,
,,,,,,0.8,0.9,,calibration_bin,0,,,,,,,bin_8,,,,,,,,,,,,
,,,,1.0,0.9167,0.9,1.0,,calibration_bin,3,,,,,,,bin_9,,,,,,,,,,,,
,,,,,,,,0.037082,calibration_summary,,0.188341,,,,,,judge_logprob_confidence,,,,,3,,,,,,,
,,,,,,0.0,0.1,,calibration_bin,0,,,,,,,logprob_bin_0,,,,,,,,,,,,
,,,,,,0.1,0.2,,calibration_bin,0,,,,,,,logprob_bin_1,,,,,,,,,,,,
,,,,,,0.2,0.3,,calibration_bin,0,,,,,,,logprob_bin_2,,,,,,,,,,,,
,,,,,,0.3,0.4,,calibration_bin,0,,,,,,,logprob_bin_3,,,,,,,,,,,,
,,,,,,0.4,0.5,,calibration_bin,0,,,,,,,logprob_bin_4,,,,,,,,,,,,
,,,,,,0.5,0.6,,calibration_bin,0,,,,,,,logprob_bin_5,,,,,,,,,,,,
,,,,,,0.6,0.7,,calibration_bin,0,,,,,,,logprob_bin_6,,,,,,,,,,,,
,,,,1.0,0.7591,0.7,0.8,,calibration_bin,1,,,,,,,logprob_bin_7,,,,,,,,,,,,
,,,,1.0,0.8379,0.8,0.9,,calibration_bin,2,,,,,,,logprob_bin_8,,,,,,,,,,,,
,,,,,,0.9,1.0,,calibration_bin,0,,,,,,,logprob_bin_9,,,,,,,,,,,,
