sample_id,label,confidence,abstain,parse_ok,rationale
9232,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, featuring sheep with human-like faces, which is not a natural occurrence. This indicates manipulation or generation that violates natural biology, leading to the conclusion that the claim is misinformation."
534,Not Misinformation,0.9,False,True,"The image depicts Chris Christie, who is indeed the subject of the headline. He spoke at the Conservative Political Action Conference (CPAC) held from March 6-8, 2014, in National Harbor, Maryland. The evidence confirms his participation in the event, aligning with the claim made in the headline."
3025,Misinformation,0.8,False,True,"The image is confirmed to be AI-generated, which leads to the classification of misinformation regardless of the accuracy of the claim about Mick Jackson directing the film. The visual manipulation and distortion in the image support this conclusion."
ds5236,Not Misinformation,0.7,False,True,"The image is confirmed to be genuine and not AI-generated. The claim regarding Press Secretary Gibbs misquoting is supported by evidence indicating that he was misquoted by Fox News, which aligns with the headline. However, the specific details about the allegations and the context of the briefing are not fully substantiated in the evidence provided."
ds5492,Not Misinformation,0.7,False,True,"The claim about 'Top Gun: Maverick' being delayed due to a contract dispute is not supported by recent evidence. While the film has experienced delays, these were primarily due to the coronavirus pandemic and logistical reasons, not a contract dispute involving Tom Cruise. Additionally, there are no specific reports of fan anger regarding the release schedule, although the film was highly anticipated. The image is not AI-generated, further supporting the claim's validity."
ds3333,Misinformation,1.0,False,True,"Sean Gunn has significant acting experience, including notable roles in 'Gilmore Girls' and the Marvel Cinematic Universe. The claim that he has no experience acting is false."
ds5295,Misinformation,0.8,False,True,"The claim that Biden is involved in an illegal deal with China to sell U.S. land for debt relief is not supported by credible evidence. The sources indicate that there are no verified claims of Biden selling U.S. land to China, and discussions about Biden's dealings with China often stem from political rhetoric rather than factual substantiation. Additionally, while there are allegations regarding Hunter Biden's business dealings, they do not implicate Joe Biden in illegal activities related to land sales. The image does not provide evidence of an illegal deal."
1021,Not Misinformation,0.8,False,True,"The image is a genuine photograph of a political billboard featuring a candidate, and it aligns with the context of Teodoro Obiang Nguema's campaign in 2016. Evidence confirms that he campaigned in 2016 and that campaign posters were present in Malabo during that time. However, the specific visibility of the name on the poster is not clear, which affects the overall confidence."
40,Not Misinformation,0.8,False,True,"The claim about South Korean customers having to cancel their credit cards after data was stolen is supported by evidence of past incidents where data breaches led to significant cancellations. The image depicts a relevant context of customer service, which aligns with the claim. Additionally, recent data breaches in South Korea, including those involving Lotte Card and Coupang, further substantiate the claim's relevance."
ds2361,Not Misinformation,0.7,False,True,"The image depicts a blue-and-white jet airplane, but it is not confirmed to be sitting on an airport runway as the setting appears to be an airshow or exhibition. The visual veracity indicates that the image is not AI-generated, and there are relevant sources discussing blue-and-white jet airplanes at airports, which supports the claim partially."
