sample_id,label,confidence,abstain,parse_ok,rationale
9232,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.9) due to the presence of sheep with human-like faces, a clear violation of natural biology. According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. The claim describes a specific scene (sheep herded by border collies) which is visually contradicted by the surreal, non-realistic nature of the image content."
534,Not Misinformation,0.95,False,True,"The claim states that New Jersey Gov. Chris Christie spoke at the American Conservative Union (ACU) Conference (CPAC) on March 6, 2014, in National Harbor, MD. Retrieved evidence confirms that CPAC 2014 was held from March 6-8, 2014, at the Gaylord National Resort & Convention Center in National Harbor, Maryland [Evidence 2, 3, 4 from Q1; Evidence 3, 5 from Q2]. Multiple sources explicitly confirm that Chris Christie was a speaker at this specific event [Evidence 1, 2, 3, 4 from Q1]. The image signals indicate the photo is genuine (not AI-generated) and relevant. Therefore, the headline accurately reflects the historical event."
3025,Misinformation,0.95,False,True,"The claim states that the film 'Temple Grandin' was directed by Mick Jackson in 2008. While the director is correct (Mick Jackson), the release year is incorrect; the film was released in 2010, not 2008. Furthermore, the visual veracity module indicates the image is AI-generated (confidence 0.8). According to the definitive rule, if the image is AI-generated, the output must be Misinformation regardless of other signals. The combination of the factual error in the date and the AI-generated nature of the image confirms the label."
ds5236,Not Misinformation,0.75,False,True,"The headline refers to a specific, documented incident involving White House Press Secretary Robert Gibbs in November 2009. Evidence [1] from NewsBusters confirms that Fox News misreported Gibbs' comments regarding President Obama watching an HBO special, stating that Gibbs was 'misquoted' by the network. While the headline uses sensationalist language ('Transcript Scandal', 'Allegations of Deception'), the core factual claim that Gibbs was misquoted in a briefing context is supported by the evidence. The image shows a generic press briefing scene, which is consistent with the context, and is not AI-generated. The 'scandal' framing is a matter of editorial tone rather than a fabrication of the event itself, as the misreporting by Fox News was a real news story at the time."
ds5492,Misinformation,0.85,False,True,"The headline claims that 'Top Gun: Maverick' was delayed due to a 'contract dispute'. However, the retrieved evidence consistently attributes the film's multiple delays to 'logistical reasons' and, most significantly, the 'coronavirus pandemic' (Sources [3], [4], [5] from the first evidence block). There is no evidence in the retrieved snippets or the module signals indicating a contract dispute involving Tom Cruise caused a delay. While Tom Cruise has specific contractual clauses regarding billing (Source [2] from the second evidence block), this is not cited as a reason for delay. The claim fabricates a cause (contract dispute) for the delays that actually occurred, making it misinformation."
ds3333,Misinformation,0.95,False,True,"The claim that Sean Gunn has no experience acting is factually false. Extensive evidence confirms that Sean Gunn is a professional actor with a significant career spanning decades. He is widely known for his role as Kirk Gleason in the TV series 'Gilmore Girls' (2000–2007) and as Kraglin Obfonteri in the Marvel Cinematic Universe's 'Guardians of the Galaxy' films. Additional roles include appearances in 'Pearl Harbor' and various other TV and film projects. The module signals correctly identified the claim as false (via the answers), and the retrieved evidence overwhelmingly supports his acting history."
ds5295,Misinformation,0.95,False,True,"The claim that President Biden sold U.S. land to China for debt relief is factually false and unsupported by credible evidence. Snopes explicitly debunked a similar claim regarding the sale of oil reserves to China, noting it was a viral falsehood [5]. Furthermore, while there are ongoing political allegations regarding Hunter Biden's business dealings, including a land deal in Romania, these are distinct from the claim of a U.S. government land sale to China for debt relief [1, 4]. The retrieved evidence contains no verification of such a deal; instead, it highlights that such claims are often part of political rhetoric or misinformation campaigns [1, 2, 3]. The image, while showing Biden and a Chinese official, does not substantiate the specific illegal transaction described in the headl"
1021,Not Misinformation,0.95,False,True,"The claim states that a campaign poster of incumbent President Teodoro Obiang Nguema dominated the view in Malabo on April 23, 2016. Retrieved evidence [1] and [3] explicitly confirm this event, citing an AFP photo taken on April 23, 2016, showing an electoral poster of incumbent President Teodoro Obiang in Malabo. The visual veracity module indicates the image is not AI-generated. Although the module signals partial alignment due to the name not being clearly visible in the specific image provided, the external evidence confirms that such posters were indeed present and dominant in Malabo on that specific date during the 2016 election campaign. Therefore, the claim is supported by factual records."
40,Not Misinformation,0.85,False,True,"The claim that South Korean customers had to cancel their credit cards after data was stolen is supported by historical evidence. Specifically, in late 2012 and early 2014, a massive data breach affected three major South Korean credit card companies (including Lotte Card), resulting in the theft of credit card details for approximately 20 million people. Evidence [2] from Arabian Business explicitly documents customers canceling credit cards at Lotte Card's office in Seoul in January 2014 in response to this theft. While the image provided is a generic stock photo of people in a service setting and does not depict the specific 2014 event, the core factual claim in the headline is true and well-documented. The module's visual veracity signal correctly identifies the image as not AI-generat"
ds2361,Not Misinformation,0.85,False,True,"The image depicts a real blue-and-white jet airplane, consistent with commercial airliners such as those operated by KLM (which uses a distinctive blue and white livery) or other carriers. Evidence [1] confirms the existence of stock photography and real-world instances of blue-and-white jet airliners on airport runways (e.g., at Schiphol Airport). The module signal's uncertainty regarding the specific setting (runway vs. airshow) does not constitute misinformation, as the image is a plausible representation of the claim. The image is verified as real (not AI-generated) by the visual veracity module. Therefore, the headline is a valid description of the visual content."
ds5171,Not Misinformation,0.9,False,True,"The headline claims that Bernie Sanders' alleged socialist ties have drawn parallels to historical figures and raised concerns. Evidence confirms that Bernie Sanders is a self-described democratic socialist who has explicitly cited historical figures like Eugene Debs as his hero and influence (Evidence [3] from POLITICO, Evidence [3] from Radical Tea). Furthermore, his advocacy for democratic socialism has indeed sparked controversy and debate, reshaping American political discourse (Evidence [1] from Wikipedia, Evidence [1] from Political.org). The image is identified as a genuine photograph of Sanders. Therefore, the headline accurately reflects the political reality and public discourse surrounding Sanders' ideology and its historical context."
ds6749,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) depicting a surreal scene of aliens playing golf on a moon. The claim states that 'someone in green is playing a golf game for the Wii.' While the image contains green figures and golf elements, the visual veracity module explicitly flags the image as AI-generated and contextually bizarre (aliens on the moon), which contradicts the realistic context implied by a specific video game title like 'Wii Golf'. Furthermore, the retrieved evidence confirms that Wii Golf features human-like 'Miis' or standard avatars, not aliens. The combination of an AI-generated image and a claim that misattributes the content to a specific real-world product (Wii) constitutes misinformation."
ds231,Not Misinformation,0.65,False,True,"The claim states that a protest forced vehicles to be diverted from outside a campus. The retrieved evidence confirms that protests occurring outside university campuses (such as at Columbia University, JNU, and during Gaza war protests) are common. Furthermore, multiple evidence snippets explicitly state that protests have caused vehicle diversions in various contexts (e.g., near CT International Airport, at Delhi's Akshardham, and on Chowringhee). While the specific image cannot be definitively linked to a single event without metadata, the scenario described in the headline is factually consistent with real-world events documented in the evidence. The image is not AI-generated. Therefore, the claim is plausible and supported by general evidence of such events occurring."
