sample_id,label,confidence,intervention,stats
9577,Not Misinformation,0.7,none,{}
ds9027,Misinformation,0.8,none,{}
7439,Misinformation,0.9,none,{}
ds9980,Not Misinformation,0.7,none,{}
8063,Not Misinformation,0.7,none,{}
ds8721,Not Misinformation,0.8,none,{}
ds9362,Not Misinformation,0.85,none,{}
ds9253,Not Misinformation,0.85,none,{}
8719,Misinformation,0.8,none,{}
ds9954,Misinformation,0.85,none,{}
9323,Misinformation,0.95,none,{}
ds9049,Not Misinformation,0.7,none,{}
7259,Not Misinformation,0.9,none,{}
ds8617,Misinformation,0.8,none,{}
ds9145,Misinformation,0.8,none,{}
ds9228,Not Misinformation,0.8,none,{}
ds7291,Not Misinformation,0.85,none,{}
9081,Not Misinformation,0.85,none,{}
8155,Misinformation,0.95,none,{}
ds9200,Misinformation,0.9,none,{}
ds7131,Not Misinformation,0.85,none,{}
8830,Misinformation,0.95,none,{}
ds8684,Misinformation,0.8,none,{}
ds8199,Misinformation,0.95,none,{}
7330,Misinformation,0.95,none,{}
8341,Misinformation,0.85,none,{}
7759,Misinformation,0.85,none,{}
ds8815,Misinformation,0.95,none,{}
7187,Not Misinformation,0.85,none,{}
7469,Not Misinformation,0.85,none,{}
ds4,Not Misinformation,0.85,none,{}
ds2006,Not Misinformation,0.7,none,{}
978,Not Misinformation,0.8,none,{}
ds1564,Misinformation,0.95,none,{}
ds1998,Not Misinformation,0.9,none,{}
ds2506,Not Misinformation,0.85,none,{}
ds2845,Not Misinformation,0.75,none,{}
ds2311,Not Misinformation,0.95,none,{}
ds1062,Not Misinformation,0.85,none,{}
ds1099,Not Misinformation,0.9,none,{}
2915,Not Misinformation,0.8,none,{}
ds2354,Not Misinformation,0.9,none,{}
ds2864,Not Misinformation,0.85,none,{}
ds2437,Misinformation,0.95,none,{}
2169,Not Misinformation,0.85,none,{}
992,Not Misinformation,0.95,none,{}
ds2926,Misinformation,0.95,none,{}
2756,Misinformation,0.9,none,{}
ds1157,Not Misinformation,0.75,none,{}
ds2594,Misinformation,0.8,none,{}
1795,Not Misinformation,0.95,none,{}
ds1060,Not Misinformation,0.9,none,{}
1436,Not Misinformation,0.8,none,{}
ds994,Not Misinformation,0.95,none,{}
ds1754,Not Misinformation,0.95,none,{}
2826,Not Misinformation,0.85,none,{}
ds2101,Not Misinformation,0.95,none,{}
ds451,Misinformation,0.95,none,{}
