sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorically qualifies it as misinformation. Additionally, the claim about 'Project Ribbit Thunder' lacks credible context or evidence linking it to the image, further supporting the misinformation label."
3397,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which leads to the classification of the claim as misinformation regardless of the content of the claim. Additionally, the claim about ownership is incorrect as Planet Hollywood Las Vegas is owned by Caesars Entertainment, not a corporation based in Paris, Texas."
ds4717,Misinformation,0.9,False,True,"The claim that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge on cookies and ice cream is supported by multiple sources. Reports indicate that Tristan has indeed influenced Khloe's diet during her pregnancy, particularly after she indulged in junk food. This aligns with the headline's assertion."
4718,Not Misinformation,0.9,False,True,"The claim about Jennifer Lopez potentially taking a break from Alex Rodriguez is supported by evidence that confirms they did break up and called off their engagement in March 2021. The image aligns with the subject of the headline, and the visual veracity indicates it is not AI-generated. The retrieved evidence confirms the timeline and context of their relationship."
ds2101,Not Misinformation,0.9,False,True,"The image accurately depicts a table with two wine glasses and a centerpiece, which aligns with the claim. The visual veracity indicates that the image is not AI-generated, further supporting its authenticity."
5000,Misinformation,0.9,False,True,"The claim that Obama admitted to a secret deal with China to hand over U.S. territory is unfounded and misleading. There is no evidence supporting such a deal, and the context of U.S.-China relations during Obama's presidency involved diplomatic engagements rather than territorial concessions. The evidence indicates that while Obama engaged in significant diplomatic dealings with China, there was no formal debt settlement or territory handover. Additionally, the claim misrepresents the nature of U.S.-China relations, which included cooperation and contention, but not the transfer of U.S. territory."
ds4724,Not Misinformation,0.9,False,True,"The claim that George and Amal Clooney are sleeping in separate bedrooms is not supported by evidence. Reports indicate that they are happily together and have adapted to each other's habits, contradicting the notion of them sleeping separately. Additionally, they have been seen together publicly, which further supports their ongoing relationship."
ds1157,Not Misinformation,0.6,False,True,"The image shows a banner with an image of the pope, which suggests a connection to the event described in the headline. However, it does not confirm the specific action of holding a banner during the pope's procession down Fifth Avenue to St. Patrick's Cathedral. The evidence indicates that while the pope has visited Fifth Avenue and St. Patrick's Cathedral, the specific claim about holding a banner during the procession lacks direct confirmation."
5013,Not Misinformation,0.9,False,True,"The image does not depict Brooke Burke or any specific event related to her dating revelation or divorce, but the headline is supported by evidence regarding her current engagement and past relationship details. The visual veracity indicates the image is genuine and not AI-generated."
ds9980,Not Misinformation,0.6,False,True,"The image depicts a child who appears to be smiling, which aligns with the claim about an Iraqi girl. However, the context of settling with her family near a Kurdish checkpoint is not clearly supported by the evidence. While the situation at Kurdish checkpoints is relevant, the specific details of the claim are not fully substantiated."
ds2354,Not Misinformation,0.9,False,True,"The image depicts a big plane flying low on a cloudy sky, which aligns with the claim. There are no indications that the image is AI-generated, and the evidence supports the occurrence of planes flying low due to various factors, including weather conditions."
ds4,Not Misinformation,0.9,False,True,The claim that Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper is supported by evidence indicating that they did indeed move to Liberation after the attacks. The sources confirm that they squatted at Liberation for over six months before moving to a new location. The image does not contradict this information and appears to be a genuine photograph related to the aftermath of the attacks.
8830,Not Misinformation,0.6,False,True,"The image does not depict an AI-generated clock and shows a traditional clock, which aligns with the claim about a clock. However, the context of it being against a barn is not confirmed, leading to uncertainty about the claim's accuracy."
ds5053,Not Misinformation,0.9,False,True,"The claim that drinking green tea daily may increase lifespan is supported by studies indicating potential health benefits, including reduced risk of cardiovascular disease. The evidence suggests a correlation between green tea consumption and longevity, although definitive conclusions require more research."
ds2437,Not Misinformation,0.6,False,True,"The image does not depict an animal food tray or cage, but rather a disc golf basket, which is unrelated to the claim. While the claim about an empty animal food tray is plausible, the evidence does not directly support the claim as it pertains to the image shown."
ds1754,Not Misinformation,0.9,False,True,"The image and headline accurately depict Benedict Cumberbatch portraying Julian Assange in the film 'The Fifth Estate.' The evidence confirms that Cumberbatch plays Assange in this biographical thriller, aligning with the claim made in the headline."
ds4278,Misinformation,0.9,False,True,"The claim that Russian mansions seized by Obama were meant as illegal gifts to Sasha and Malia is false. There is no evidence supporting the idea that these mansions were gifts to the Obama daughters. The seized properties were diplomatic compounds related to political actions against Russia, not personal gifts. Additionally, the sources confirm that the mansions were seized as a response to Russia's interference in U.S. elections, not for any personal reasons related to the Obama family."
ds6954,Misinformation,0.9,False,True,"The image is AI-generated, depicting a surreal scene that does not relate to the claim about Prof Martin Hairer. The visual veracity indicates a high confidence that the image is not real. Additionally, the claim about Prof Martin Hairer being an Austrian mathematician is true, but the image's AI generation leads to misinformation regarding the context."
ds3303,Not Misinformation,0.9,False,True,"The claim that Scandinavia includes the remote Norwegian islands of Svalbard and Jan Mayen is not accurate. Svalbard is part of the Kingdom of Norway but is not considered part of geographical Norway or the Scandinavian region. It is classified as part of the Nordic region. Jan Mayen is also not included in the traditional definition of Scandinavia, which typically comprises only Norway, Sweden, and Denmark."
ds7131,Not Misinformation,0.6,False,True,"While the image shows a singer performing, which aligns with the context of the headline, there is no specific evidence confirming the details about the dress and jewels worn by Karen O. The sources confirm her performance but do not provide details about her attire. Therefore, the claim cannot be fully verified."
ds3839,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which leads to the classification of the claim as misinformation. Additionally, while Dev Patel did star in 'Chappie', the claim that it is an animated movie is misleading as it is primarily a live-action film with animated elements."
7469,Not Misinformation,0.9,False,True,"The image shows Donald Trump speaking, which aligns with the claim about him speaking at a rally. Additionally, evidence confirms that Donald Trump did hold a rally in Bangor, Maine on October 15, 2016, where he addressed various issues. This is supported by multiple sources, including a YouTube video of the rally and news articles detailing the event."
ds2506,Not Misinformation,0.9,False,True,"The image depicts a building with a protective fence underneath, which aligns with the claim about safety measures for pedestrians against falling bricks. Evidence supports that there are indeed fences around buildings in Warsaw to catch falling bricks, confirming the context of the claim."
ds6291,Misinformation,0.9,False,True,"The image is identified as AI-generated, which indicates manipulation and unreliability. The visual veracity confidence is high, confirming that the image does not represent a real statue riding a gazelle."
ds994,Not Misinformation,0.9,False,True,"The image accurately depicts performers forming the Olympic rings during a closing ceremony, which aligns with the claim. The evidence supports that the Olympic rings were indeed featured in the closing ceremony of the Paris 2024 Olympics."
7187,Not Misinformation,0.9,False,True,"The claim that Supreme Leader Ayatollah Ali Khamenei waved during a meeting in Tehran last September is supported by evidence confirming his public appearances on September 17 and September 21, 2022. The image is not AI-generated, and the context aligns with the events described."
ds5161,Not Misinformation,0.9,False,True,"The image is confirmed to be genuine and not AI-generated. The claims regarding Mike Pence's ties to a Russian spy agency are not supported by credible evidence, as the sources indicate he has taken a stance against Russian aggression and there are no reports linking him to espionage activities."
8155,Not Misinformation,0.9,False,True,"The claim about Charlie Pierce making a phone call in a wire factory in Ohio in 2012 is unsupported by the evidence. Charlie Pierce did not work for Mitt Romney, and there is no specific information regarding a phone call in an Ohio wire factory in 2012. The evidence indicates that Pierce is a journalist who has critiqued Romney but was not part of his staff. Additionally, the snippets do not provide any relevant details about the claimed incident."
ds4064,Not Misinformation,0.9,False,True,"The image is a genuine photograph of Brad Pitt, and the claim about his net worth aligns with the evidence retrieved, which indicates estimates of his net worth around $300 million to $400 million. The context of the image and headline is consistent with the subject matter."
7330,Misinformation,0.9,False,True,"The image does not depict Jonathan Jones or the Millennium Bridge in central London, and there is no evidence linking Jonathan Jones to the bridge. The claim is false based on the provided evidence."
6119,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorizes it as misinformation regardless of the context or relevance to the claim. The visual elements are bizarre and surreal, further supporting the AI generation conclusion."
8719,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of misinformation regardless of the claim's content. The visual veracity indicates a high confidence level in the AI generation of the image."
ds6481,Not Misinformation,0.9,False,True,"The image depicts Vladimir Putin and Borut Pahor, which is consistent with the claim. The context of their meeting aligns with the evidence provided, confirming the authenticity of the image and the accuracy of the claim."
ds8617,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorically qualifies it as misinformation regardless of the relevance of the content. The visual veracity confidence is above the threshold, indicating a strong likelihood of AI generation."
5939,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of misinformation. Additionally, the claim about Vic Mensa's roots in Houston, Texas is false, as he was born and raised in Chicago, Illinois, with no ties to Houston. This is supported by multiple sources confirming his background."
ds3503,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which leads to the classification of the claim as misinformation. Additionally, the claim that 'The Hunger Games' are based on a play is misleading; while there is a stage adaptation, the original source material is a series of novels, not a play."
ds6940,Misinformation,0.9,False,True,"The image is identified as AI-generated, which confirms it as misinformation regardless of the claim about the comic book. The unusual elements in the image, such as the presence of a skeleton and garbled text, further support this classification."
992,Not Misinformation,0.9,False,True,"The image depicts a flooded area that aligns with the claim about high water overrunning homes and businesses near the Shiawassee River and Shiawassee National Wildlife Refuge in Michigan. The evidence supports the occurrence of flooding in this region due to heavy rainfall, which is consistent with the claim."
ds6549,Misinformation,0.9,False,True,"The image is identified as AI-generated with a confidence of 0.8, which indicates it does not represent a real mother and child scenario. The presence of surreal elements, such as angel wings, further supports this classification. Therefore, despite the claim aligning with the visual content, the AI-generated nature of the image renders it misleading."
ds9027,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorically makes the claim misinformation regardless of the alignment with the headline. The visual veracity indicates that the pizza's appearance is unnatural, further supporting the conclusion that it is not a real pizza. Additionally, the claim about the ingredients, while generally accurate for Chicago deep dish pizza, is irrelevant due to the AI-generated nature of the image."
ds1998,Not Misinformation,0.9,False,True,"The image depicts a protest scene that aligns with the claim about spending cuts likely sparking protests. The evidence supports the assertion that spending cuts lead to public dissent, particularly in recent protests in France against proposed budget cuts. The visual context and the retrieved evidence confirm the relationship between spending cuts and protests."
3980,Not Misinformation,0.6,False,True,"The claim that 'Touch My Body is a law' is not accurate, as there is no specific law by that name. The evidence indicates that laws regarding physical contact are generally related to assault, battery, or harassment, which protect individuals from non-consensual touching. The image does not depict AI-generated content and is relevant to the legal context, but it does not support the claim directly."
ds2845,Not Misinformation,0.6,False,True,"While the image shows a premium gas pump, there is no evidence confirming the specific claim about a spider web on it or that it is located in a secluded part of Arkansas. The available information discusses gas prices and mentions secluded gas stations but does not provide direct evidence for the claim."
ds8721,Not Misinformation,0.9,False,True,"The image shows a bowl of white rice and broccoli, which aligns with the general context of the headline about a bowl of rice and a vegetable dish. While the headline mentions beef, the absence of beef does not render the claim false, as the image still depicts a valid dish. Additionally, the visual veracity indicates that the image is not AI-generated."
ds9200,Misinformation,0.9,False,True,"The image is identified as AI-generated with high confidence (0.9), which indicates manipulation and distortion, particularly around the dog's anatomy. This directly leads to the conclusion that the claim is misinformation, regardless of the relevance of the content."
9081,Not Misinformation,0.9,False,True,"The image shows a lunch box with sandwiches and carrots, which aligns with the claim. Although it does not clearly show a muffin or a salad, the overall contents are consistent with typical lunch box items. The visual veracity indicates that the image is not AI-generated, supporting the authenticity of the claim."
ds2006,Not Misinformation,0.6,False,True,"The image shows people lined up near an airplane, which partially aligns with the claim. However, there is no clear evidence confirming the presence of individuals in military uniform. The visual veracity indicates that the image is genuine and not AI-generated, but the lack of specific evidence regarding military uniforms leads to a medium confidence level."
ds6266,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, depicting an unrealistic scenario of a turkey flying over a cityscape, which does not align with the context of the headline. This indicates that the image is not a genuine representation of reality."
5060,Not Misinformation,0.9,False,True,"The claim that experts warn against using smartphones due to harmful radiation exposure linked to cancer is not definitively supported by the evidence. While there are concerns about smartphone radiation, the consensus among experts is that there is insufficient evidence to conclusively link smartphone use to cancer. The image does not depict AI generation, and the connection to the claim is weak but not entirely unfounded. The evidence suggests that while there are ongoing studies, the risks are considered low by many health organizations."
