sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is definitively identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and physically impossible scenario of a frog floating above a tank. According to the definitive rule, any image determined to be AI-generated with high confidence must be classified as Misinformation, regardless of other signals. Furthermore, the relevancy module indicates the image is not aligned with the claim, and the QA answers suggest 'Project Ribbit Thunder' is likely a fictional concept from 'The Amazing Digital Circus' or a cryptocurrency project, rather than a real military operation with declassified imagery."
3397,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; it is owned by Caesars Entertainment, which is based in Nevada. The visual evidence (AI generation) combined with the factual inaccuracy of the claim supports the verdict."
ds4717,Misinformation,0.85,False,True,"The claim is false because the image provided is not relevant to the headline. The module signals explicitly state that the image does not depict Khloe Kardashian or Tristan Thompson and does not relate to the subject matter. Using an irrelevant image to support a specific celebrity news claim constitutes visual misinformation (clickbait/misleading context). Furthermore, while Khloe Kardashian has discussed diet struggles, the specific narrative of being 'forced' by Tristan Thompson to follow a strict diet after a binge is not supported by the provided evidence, which notes Tristan's influence was about encouraging healthy habits rather than coercion, and there is no specific news linking Tristan to a 'cookies and ice cream binge' event in the manner described. The combination of an irrele"
4718,Not Misinformation,0.85,False,True,"The image is a genuine photograph of Jennifer Lopez (visual_veracity ai_generated=false), which avoids the definitive rule for Misinformation. The headline claims JLo might take a break from A-Rod. The provided QA evidence confirms that JLo and A-Rod did indeed take a break and eventually broke up in March 2021. While the headline uses speculative language ('Might Take A BREAK'), it aligns with the historical reality of their relationship status as described in the evidence. The image, while lacking specific context of the breakup, features the correct subject and is not AI-generated. Therefore, it is not classified as misinformation."
ds2101,Not Misinformation,0.95,False,True,"The image accurately depicts a table with two wine glasses and a centerpiece, which aligns perfectly with the claim. The visual veracity module confirms the image is not AI-generated (ai_generated=false), and the relevancy module confirms high alignment (confidence 0.9). The QA answers further support the context of table settings and centerpieces. There is no evidence of manipulation or falsehood."
5000,Misinformation,0.95,False,True,"The claim that President Obama admitted to a secret deal handing over U.S. territory to China to settle debt is factually false. The United States has not ceded any of its sovereign territory to China, nor was there any such secret agreement. The module signals correctly identify that the image is not relevant to the specific claim (relevancy aligned: false) and that the answers indicate no such debt settlement involving territory transfer exists. The headline relies on a fabricated narrative combining real diplomatic tensions with a completely fictional event. The image of the Obamas is used merely as a visual hook for a false story."
ds4724,Not Misinformation,0.85,False,True,"The claim that George and Amal Clooney are sleeping in separate bedrooms is a long-standing rumor that has been addressed by the couple and insiders. While the image shows them together, it does not prove or disprove sleeping arrangements. However, the headline presents a sensationalized version of a rumor rather than a definitive factual assertion of a current event that is demonstrably false in a way that constitutes harmful misinformation. The module signals indicate that reports suggest they are happily together and the separate bedroom claim is likely a misunderstanding or outdated gossip. Since the image is real (not AI-generated) and the claim is a subjective interpretation of relationship dynamics often debunked by the subjects themselves, it falls under 'Not Misinformation' in the"
ds1157,Not Misinformation,0.75,False,True,"The image is verified as a genuine photograph (not AI-generated) depicting a banner with the Pope's image. The claim describes a person holding a banner during a Pope's procession to St. Patrick's Cathedral. Historical records confirm that Pope Francis visited St. Patrick's Cathedral in New York City in 2015, and it is highly plausible that supporters held banners during such high-profile visits. While the specific detail of 'Fifth Avenue' might be a slight conflation with the route to the Cathedral or other events (like the 1965 Paul VI visit), the core event (Pope procession to St. Patrick's with banners) is factually grounded. The image serves as a plausible illustration of public support during these events. There is no evidence of AI generation or malicious fabrication."
5013,Not Misinformation,0.85,False,True,"The image is verified as a genuine photograph (not AI-generated), which prevents an automatic 'Misinformation' label based on the definitive rule. While the image itself is not visually aligned with the specific headline (showing two people on stage rather than Brooke Burke in a specific context), the headline refers to real, documented events in Brooke Burke's life: her divorce from David Charvet and her subsequent engagement to Scott Rigsby. The module signals confirm these facts (answers with 0.9 confidence). The mismatch between the generic image and the specific headline suggests poor editorial practice or clickbait usage, but since the core claims in the headline are factually grounded in reality and the image is authentic, it is classified as 'Not Misinformation' in the context of f"
ds9980,Not Misinformation,0.65,False,True,"The image is verified as authentic (not AI-generated) and depicts a scene consistent with the general context of displaced persons in northern Iraq. The module signals indicate partial alignment, noting that while the specific location (Kurdish checkpoint) and family context are not explicitly verifiable from the image alone, the subject (Iraqi girl) and general setting (field/outdoor) are plausible. The provided QA answers support the existence of such events and locations (e.g., Khazer checkpoint, displacement in Nineveh). Since the image is real and the claim describes a plausible humanitarian scenario without definitive contradictory evidence, it is classified as Not Misinformation, though the specific caption details remain unverified."
