sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorically qualifies it as misinformation. Additionally, the claim about 'Project Ribbit Thunder' does not align with the content of the image, which features a surreal combination of a tank and a frog, lacking any credible connection to military projects or declassified images."
3397,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which leads to the classification of the claim as misinformation. Additionally, the ownership of Planet Hollywood Las Vegas is clearly stated to be under Caesars Entertainment, not a corporation based in Paris, Texas."
ds2700,Not Misinformation,0.9,False,True,"The image depicts a scaled quail standing on one leg, which is consistent with the behavior of these birds as confirmed by multiple sources. Additionally, there are no indications that the image is AI-generated. The claim aligns well with the observed behavior of scaled quails."
ds4880,Not Misinformation,0.9,False,True,"Lindsay Lohan was indeed spotted wearing a hijab at the London Modest Fashion Week, which aligns with the claim. The image is confirmed to be genuine and not AI-generated. Additionally, there are multiple sources confirming her appearance and the mixed reactions it has sparked on social media."
ds8852,Not Misinformation,0.6,False,True,"The image shows three teddy bears, which aligns with part of the claim. However, there is no confirmation of a stuffed cat or that the setting is a bedroom wall. The context is related but not fully aligned with the headline."
7551,Not Misinformation,0.9,False,True,"The claim about snow falling in Kielder Water, Northumberland, is supported by evidence indicating that snow has indeed fallen across parts of northern England, including Kielder Water. The weather forecast also predicts more snowfall over the weekend. The image aligns with the claim as it depicts a snowy landscape, although it does not specifically confirm the location. Additionally, the visual veracity indicates that the image is not AI-generated."
365,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of the claim as misinformation. Despite the claim being plausible and supported by evidence regarding the event, the visual veracity indicates that the image does not represent real individuals at the event."
ds4717,Misinformation,0.9,False,True,"The claim that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge on cookies and ice cream is supported by multiple sources. Reports indicate that Tristan has indeed influenced Khloe's diet during her pregnancy, particularly after she indulged in junk food. This aligns with the headline's assertion."
4718,Not Misinformation,0.9,False,True,"The claim about Jennifer Lopez potentially taking a break from Alex Rodriguez is supported by evidence that they did indeed break up and call off their engagement in March 2021. The image aligns with the subject of the headline, and the retrieved evidence confirms the timeline and context of their relationship. Additionally, there are no indications that the image is AI-generated."
ds4306,Not Misinformation,0.9,False,True,"The claim that Eric Trump stated it would be 'foolish' for his father to release tax returns is supported by multiple credible sources. Eric Trump made this statement during interviews in August 2016, emphasizing that releasing the tax returns while under audit would lead to uninformed assumptions. The image of Eric Trump aligns with the context of the claim, and there are no indications of AI generation."
ds1370,Not Misinformation,0.9,False,True,The image and headline accurately depict Kris and Bruce Jenner attending the Academy of Country Music Awards in Las Vegas. The evidence confirms their attendance at the event in 2009.
ds2101,Not Misinformation,0.9,False,True,"The image accurately depicts a table with two wine glasses and a centerpiece, which aligns with the claim. The visual veracity indicates that the image is not AI-generated, further supporting its authenticity."
5000,Misinformation,0.9,False,True,"The claim that Obama admitted to a secret deal with China to hand over U.S. territory is unfounded and misleading. There is no evidence supporting such a deal, and the context of U.S.-China relations during Obama's presidency does not include any territory handover. The evidence indicates that while Obama engaged in diplomatic relations with China, there was no formal debt settlement or territory transfer involved."
ds4724,Misinformation,0.9,False,True,"The claim that George and Amal Clooney are sleeping in separate bedrooms is not supported by credible evidence. Reports indicate that this notion is inaccurate and that they are happily together, having adapted to each other's habits over the years. Additionally, the couple has been seen together publicly, which contradicts the claim of separation."
ds6329,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which is a definitive indicator of misinformation. Additionally, the content of the claim does not align with the actual subjects of 'What's Eating Gilbert Grape' or 'Sharkasaurus', further supporting the misinformation label."
ds1157,Not Misinformation,0.6,False,True,"The image shows a banner with an image of the pope, which suggests a connection to the event described in the headline. However, it does not confirm the specific action of holding a banner during the pope's procession down Fifth Avenue to St. Patrick's Cathedral. The evidence indicates that while the pope has visited Fifth Avenue and St. Patrick's Cathedral, the specific claim about a person holding a banner during the procession is not substantiated."
5013,Not Misinformation,0.9,False,True,"The image does not depict Brooke Burke or any specific event related to her dating revelation or divorce, but the headline is supported by evidence regarding her current engagement and past relationship details. The visual veracity indicates the image is genuine and not AI-generated."
3983,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which leads to the classification of misinformation regardless of the accuracy of the claim about the film's director. The claim states that 'A Good Day to Die Hard' was directed by John Moore in 2008, which is incorrect as the film was released in 2013. The AI-generated nature of the image further supports the misinformation label."
ds9980,Not Misinformation,0.6,False,True,"The image depicts a child who appears to be smiling, which aligns with the claim about an Iraqi girl. However, the specific context of settling with her family near a Kurdish checkpoint is not clearly supported by the evidence. While the situation at Kurdish checkpoints is relevant, the evidence does not confirm the exact scenario described in the claim."
ds2354,Not Misinformation,0.9,False,True,"The image depicts a big plane flying low on a cloudy sky, which aligns with the claim. There are no indications that the image is AI-generated, and the evidence supports the occurrence of planes flying low due to various factors, including weather conditions."
ds9501,Misinformation,0.9,False,True,"The claim that Ford's reelection campaign was brilliant is misleading, as historical evidence shows that his campaign was ultimately unsuccessful. He lost to Jimmy Carter in the 1976 election, which indicates that the campaign did not achieve its intended goal. Additionally, the evidence confirms that Ford faced significant challenges during his campaign, including public cynicism due to the Watergate scandal."
ds4,Not Misinformation,0.9,False,True,The claim that Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper is supported by evidence indicating that they did indeed move to Liberation after the attacks. The sources confirm that they squatted at Liberation for over six months before moving to a new location. The image does not contradict this claim and appears to be a genuine photograph related to the aftermath of the attacks.
ds3871,Misinformation,0.9,False,True,"The claim that Meghan Markle was born in July is false; she was actually born on August 4, 1981. Additionally, the image is AI-generated, which further supports the classification of misinformation."
8830,Not Misinformation,0.6,False,True,"The image does not depict a clock hanging against the side of a barn, which is a key aspect of the claim. While there are instances of clocks on barns, the specific context of the image does not align with the claim. The visual veracity indicates that the image is not AI-generated, but the relevancy is low due to the lack of connection to the headline."
ds5053,Not Misinformation,0.9,False,True,"The claim that drinking green tea daily may increase lifespan is supported by studies indicating potential health benefits, including reduced risk of cardiovascular disease. The evidence suggests a correlation between green tea consumption and longevity, although definitive conclusions require more research."
ds2437,Not Misinformation,0.6,False,True,"The image does not depict an animal food tray or cage, but rather a disc golf basket, which is unrelated to the claim. While the claim about an empty animal food tray is plausible, the evidence does not directly support the claim as it pertains to the image shown."
ds6090,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of misinformation. Additionally, the claim about Outside Lands being fun is misleading as the festival did not occur in 2023, with the next event scheduled for 2026."
ds742,Not Misinformation,0.9,False,True,"The image depicts a real protest scene with demonstrators expressing their views against Trump, which aligns with the claim. While the specific event of demonstrators blocking Trump is not confirmed, the context of the protest is accurate. The visual veracity indicates that the image is not AI-generated, supporting the authenticity of the claim."
ds1754,Not Misinformation,0.9,False,True,"The image accurately depicts Benedict Cumberbatch portraying Julian Assange in the film 'The Fifth Estate.' The evidence confirms that Cumberbatch plays Assange in this biographical thriller, aligning with the claim made in the headline."
4580,Not Misinformation,0.6,False,True,"The image does not confirm the specific subjects mentioned in the headline, and while it shows three women, it does not provide evidence that Kourtney Kardashian explicitly picks Kylie Jenner's lip kit over Kim Kardashian's contour sticks. The context of the headline is not fully represented in the image. However, there are connections between Kourtney and Kylie in the beauty industry, which adds some relevance to the claim."
ds50,Not Misinformation,0.9,False,True,"The claim that Rachael Drouet has still not tracked down the owners of the decorations is supported by multiple sources. Specifically, the evidence indicates that Rachael Drouet has been trying to find the owners of the Christmas decorations stolen by her cat, Theo, and has not succeeded in locating most of them. This aligns with the claim made in the headline."
8392,Not Misinformation,0.9,False,True,"The claim regarding Oregon Attorney General Ellen Rosenblum alleging that GNC knowingly sold supplements containing synthetic chemicals is supported by multiple credible sources. The evidence confirms that a lawsuit was filed against GNC for selling dietary supplements containing illegal ingredients, specifically BMPEA and picamilon, which are not approved for sale in the U.S. The image does not relate to the claim but does not negate the validity of the headline."
ds7878,Not Misinformation,0.9,False,True,"The claim about a Bangladeshi family wading through flood water to refuge in Harinagar Satkhira is supported by evidence of recent flooding in the area, which has caused significant displacement. The image aligns with the context of flooding, and while it does not confirm the specific identity of the family, the situation described is plausible given the circumstances in Satkhira."
ds4278,Misinformation,0.9,False,True,"The claim that Russian mansions seized by Obama were meant as illegal gifts to Sasha and Malia is false. There is no evidence supporting the idea that these mansions were intended as gifts to the Obama daughters. The seized properties were diplomatic compounds related to political actions against Russia, not personal gifts. Additionally, the sources confirm that the mansions were seized as a response to Russia's interference in U.S. elections, not for any personal reasons related to the Obama family."
ds6954,Misinformation,0.9,False,True,"The image is AI-generated, depicting a surreal scene that does not relate to the claim about Prof Martin Hairer. The visual veracity indicates a high confidence that the image is not real. Additionally, the claim about Prof Martin Hairer being an Austrian mathematician is true, but the image's AI generation leads to misinformation regarding the context."
ds3520,Misinformation,0.9,False,True,Ice-T did not sign with Sire Records at the age of 18 in 1987; he was actually 29 years old at that time. The claim is factually incorrect based on multiple sources confirming his birth date and the year he signed.
7044,Not Misinformation,0.9,False,True,"The image does not appear to be AI-generated, and there is substantial evidence confirming that Hillary Clinton has spoken at rallies in Columbus, Ohio. The context of her being at a rally aligns with historical events, including notable speeches in 2016 and 2008."
ds9094,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, as indicated by the nonsensical text present in the image. This suggests manipulation or generation rather than a genuine photograph of two old street parking meters surrounded by weeds."
ds3303,Not Misinformation,0.9,False,True,"The claim that Scandinavia includes the remote Norwegian islands of Svalbard and Jan Mayen is not accurate. Svalbard is part of the Kingdom of Norway but is not considered part of geographical Norway or the Scandinavian region. It is classified as part of the Nordic region. Jan Mayen is also not included in the traditional definition of Scandinavia, which typically comprises only Norway, Sweden, and Denmark."
ds7131,Not Misinformation,0.6,False,True,"While the image shows a singer performing, which aligns with the context of the headline, there is no specific evidence confirming the details about the dress and jewels worn by Karen O. The sources confirm her performance but do not provide details about her attire. Therefore, the claim cannot be fully verified."
ds7823,Not Misinformation,0.9,False,True,"The image does not depict the Berlaymont building, but the claim about the Berlaymont building housing the European Commission is accurate. The retrieved evidence confirms the location and purpose of the Berlaymont building as the headquarters of the European Commission in Brussels."
1047,Not Misinformation,0.9,False,True,"The image and claim align well with the evidence that confirms Matt Bevin spoke at the Kentucky Chamber of Commerce dinner on January 7, 2016. The event is documented in multiple sources, including a direct reference to Bevin addressing the dinner on that date."
ds8744,Not Misinformation,0.6,False,True,"The image depicts a shirtless man on a skateboard in mid-air, which aligns with the claim. However, the context regarding the presence of people below him is unclear. The visual veracity indicates that the image is not AI-generated, but the overall confidence in the claim is medium due to the lack of clarity about the people mentioned."
ds9896,Not Misinformation,0.9,False,True,"The image is confirmed to be a genuine photograph, and there is no evidence supporting the claim that Alan Johnson has a 'bad case' of any health issue. Recent reports indicate he is in a positive personal situation and has no significant health issues reported. Additionally, the claim does not align with the evidence that suggests he is focusing on personal matters rather than health problems."
ds3482,Not Misinformation,0.9,False,True,"The claim that 'Gotham City Sirens failed to be published' is incorrect. Evidence indicates that the series has been published and continues to have new issues released, with ongoing developments as of 2024. The image aligns with the subject matter, showing comic book covers related to 'Gotham City Sirens'."
3081,Misinformation,0.9,False,True,"The claim that 'Story of My Life' was recorded exclusively by a girl band is false. The song is primarily known for being recorded by One Direction, a boy band, and there is no evidence supporting that a girl band recorded it. Additionally, the evidence confirms that One Direction is the group associated with this song."
