sample_id,label,confidence,abstain,parse_ok,attempts,calls
1436,Not Misinformation,1.0,False,True,1,1
1795,Not Misinformation,0.9,False,True,1,1
2169,Not Misinformation,0.9,False,True,1,1
2756,Misinformation,1.0,False,True,1,1
2826,Not Misinformation,0.8,False,True,1,1
2915,Not Misinformation,0.8,False,True,1,1
3397,Misinformation,1.0,False,True,1,1
3415,Misinformation,1.0,False,True,1,1
3980,Misinformation,0.9,False,True,1,1
4230,Not Misinformation,0.8,False,True,1,1
4284,Misinformation,0.9,False,True,1,1
4557,Not Misinformation,0.9,False,True,1,1
4642,Not Misinformation,0.8,False,True,1,1
4718,Misinformation,0.9,False,True,1,1
4960,Not Misinformation,0.9,False,True,1,1
5000,Misinformation,1.0,False,True,1,1
5013,Not Misinformation,0.8,False,True,1,1
5060,Misinformation,0.9,False,True,1,1
5575,Misinformation,0.9,False,True,1,1
5939,Misinformation,1.0,False,True,1,1
5977,Misinformation,0.9,False,True,1,1
6026,Misinformation,1.0,False,True,1,1
6119,Misinformation,0.9,False,True,1,1
7187,Not Misinformation,0.9,False,True,1,1
7259,Not Misinformation,0.9,False,True,1,1
7330,Misinformation,0.9,False,True,1,1
7439,Misinformation,0.9,False,True,1,1
7469,Not Misinformation,1.0,False,True,1,1
7759,Not Misinformation,0.7,False,True,1,1
8063,Misinformation,0.9,False,True,1,1
8155,Misinformation,0.9,False,True,1,1
8341,Not Misinformation,0.9,False,True,1,1
8719,Misinformation,0.9,False,True,1,1
8830,Misinformation,0.9,False,True,1,1
9081,Not Misinformation,0.8,False,True,1,1
9323,Misinformation,0.9,False,True,1,1
9577,Misinformation,0.9,False,True,1,1
978,Not Misinformation,0.9,False,True,1,1
992,Not Misinformation,0.9,False,True,1,1
ds1060,Not Misinformation,0.9,False,True,1,1
ds1062,Not Misinformation,0.9,False,True,1,1
ds1099,Not Misinformation,0.9,False,True,1,1
ds1157,Misinformation,0.9,False,True,1,1
ds1564,Misinformation,1.0,False,True,1,1
ds1754,Not Misinformation,1.0,False,True,1,1
ds1829,Not Misinformation,0.9,False,True,1,1
ds1998,Not Misinformation,0.9,False,True,1,1
ds2006,Not Misinformation,0.8,False,True,1,1
ds2101,Not Misinformation,0.95,False,True,1,1
ds2311,Not Misinformation,0.85,False,True,1,1
ds2354,Not Misinformation,0.9,False,True,1,1
ds2437,Misinformation,0.9,False,True,1,1
ds2506,Not Misinformation,0.8,False,True,1,1
ds2594,Misinformation,0.9,False,True,1,1
ds2845,Misinformation,0.9,False,True,1,1
ds2864,Not Misinformation,0.8,False,True,1,1
ds2926,Misinformation,1.0,False,True,1,1
ds3303,Misinformation,0.9,False,True,1,1
ds3503,Misinformation,0.9,False,True,1,1
ds372,Not Misinformation,0.8,False,True,1,1
ds3839,Misinformation,1.0,False,True,1,1
ds4,Not Misinformation,0.9,False,True,1,1
ds4064,Not Misinformation,0.8,False,True,1,1
ds4278,Misinformation,1.0,False,True,1,1
ds451,Misinformation,1.0,False,True,1,1
ds4717,Misinformation,0.9,False,True,1,1
ds4724,Misinformation,0.9,False,True,1,1
ds4821,Misinformation,0.8,False,True,1,1
ds4939,Misinformation,0.8,False,True,1,1
ds5053,Not Misinformation,0.8,False,True,1,1
ds5161,Misinformation,0.9,False,True,1,1
ds5403,Not Misinformation,0.9,False,True,1,1
ds5610,Misinformation,0.9,False,True,1,1
ds5647,Misinformation,0.95,False,True,1,1
ds5714,Misinformation,0.9,False,True,1,1
ds6031,Misinformation,1.0,False,True,1,1
ds6266,Misinformation,0.9,False,True,1,1
ds6291,Misinformation,1.0,False,True,1,1
ds6481,Not Misinformation,0.9,False,True,1,1
ds6549,Misinformation,1.0,False,True,1,1
ds6725,Misinformation,1.0,False,True,1,1
ds6940,Misinformation,0.9,False,True,1,1
ds6954,Misinformation,0.9,False,True,1,1
ds7131,Not Misinformation,0.8,False,True,1,1
ds7291,Not Misinformation,0.9,False,True,1,1
ds8199,Misinformation,1.0,False,True,1,1
ds8617,Misinformation,0.9,False,True,1,1
ds8684,Misinformation,0.9,False,True,1,1
ds8721,Not Misinformation,0.9,False,True,1,1
ds8815,Misinformation,1.0,False,True,1,1
ds9027,Misinformation,1.0,False,True,1,1
ds9049,Misinformation,0.9,False,True,1,1
ds9145,Misinformation,0.9,False,True,1,1
ds9200,Misinformation,0.9,False,True,1,1
ds9228,Not Misinformation,0.85,False,True,1,1
ds9253,Not Misinformation,0.9,False,True,1,1
ds9362,Not Misinformation,0.8,False,True,1,1
ds994,Not Misinformation,0.9,False,True,1,1
ds9954,Misinformation,0.9,False,True,1,1
ds9980,Not Misinformation,0.8,False,True,1,1
