sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity signal, depicting a surreal and impossible scene of a frog floating above a tank. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence shows that 'Ribbit' is primarily associated with a character from the animated series 'The Amazing Digital Circus' or various cryptocurrency projects, with no credible evidence linking it to a real-world military declassification project involving tanks and frogs. The visual content is clearly synthetic and unrelated to any genuine military intelligence release."
3397,Misinformation,0.9,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas, is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not Paris, Texas."
ds4717,Not Misinformation,0.6,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. The retrieved evidence supports the core elements of this claim: multiple sources (Inquisitr, OK Magazine, The Sun) report that Tristan Thompson intervened in Khloe's diet during her pregnancy with their child, enforcing strict rules after she indulged in junk food (specifically mentioned as cookies and ice cream in the context of her cravings and past binge eating struggles). While the word 'forced' is strong, the evidence describes it as him 'putting her on a diet' or 'intervening' and 'not standing for unhealthy habits,' which aligns with the narrative of external pressure. The image relevance signal is low (false), but the visual veracity is not AI-generated, and th"
4718,Not Misinformation,0.9,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez ended their relationship in March 2021 after a four-year romance and two-year engagement (Sources [1], [2], [8]). The relationship is definitively over, not merely on a 'break'. While the phrasing 'take a break' is colloquially used for breakups, the core assertion that there is a significant change or pause in their relationship status is factually grounded in their actual breakup. The image is a genuine photograph of JLo (visual_veracity ai_generated=false). The module signals correctly identify the partial alignment because the image doesn't show the breakup context, but the claim itself is not misinformation; it refers to a real, major event in their relat"
ds2101,Not Misinformation,0.9,False,True,"The image depicts a table with two wine glasses and a centerpiece, which aligns perfectly with the claim. The visual veracity module indicates the image is not AI-generated (confidence 0.0 for AI generation, implying high confidence it is real). The retrieved evidence supports the existence and commonality of such table settings, defining centerpieces as focal points like floral arrangements or candle displays [1, 2, 4] and noting that wine glasses are standard tableware often paired with such decor [3, 8]. There is no evidence of manipulation or falsehood in the pairing of the image and headline."
5000,Misinformation,0.9,False,True,"The claim that President Obama admitted to a secret deal handing over U.S. territory to China to settle debt is false. Evidence shows that the only U.S. territory handed over to China was Hong Kong, which was transferred from British colonial rule in 1997, long before Obama took office (Evidence [1], [2] under 'U.S. territory handed over to China'). There is no record of any U.S. territory being transferred to China during the Obama administration, nor any 'secret deal' regarding debt settlement involving territorial cession. While the Obama administration engaged in diplomatic relations and trade enforcement with China (Evidence [1], [3], [4]), and there were discussions about China's holdings of U.S. debt, these did not involve the handover of sovereign U.S. territory. The image of the O"
ds4724,Not Misinformation,0.6,False,True,"The headline claims the couple is sleeping in separate bedrooms. While the image shows them together, it does not verify sleeping arrangements. Evidence [2] under 'Clooney couple sleeping arrangements news' explicitly states that the claim of them sleeping in separate rooms due to snoring is 'not accurate' and that they have adapted to each other's quirks. Other evidence [2] under 'Recent George and Amal Clooney relationship updates' notes that while divorce rumors exist, insiders maintain they do not match reality. However, there are also conflicting reports of separation [3] and speculation [4]. Given the explicit debunking of the specific 'separate bedroom' claim in evidence [2], the headline is likely false or exaggerated. However, since the image is real and the relationship status is"
ds1157,Not Misinformation,0.9,False,True,"The claim describes a person holding a banner during a pope's procession down Fifth Avenue to St. Patrick's Cathedral. Evidence confirms that Pope Francis traveled down Fifth Avenue in a popemobile to St. Patrick's Cathedral on September 24, 2015, and that Pope Paul VI also traveled down Fifth Avenue to the Cathedral in 1965, where crowds lined the street. While the specific image is not verified as a historical photo of that exact moment, the event described (a pope's procession down Fifth Avenue to St. Patrick's Cathedral) is factually accurate and well-documented. The presence of a banner holder is a plausible and common element of such public processions (as seen in other papal visits cited in evidence, e.g., East Timor, Pompei), and there is no evidence to suggest the image is AI-gene"
5013,Misinformation,0.9,False,True,"The headline claims the image depicts a 'Controversial Dating Revelation' regarding Brooke Burke's divorce. However, the module signals explicitly state that the image is 'not aligned' with the claim (relevancy aligned: false, confidence 0.2) and does not depict Brooke Burke or the specific event. The image shows two generic individuals on a stage, likely from a TV show, which is a common tactic in clickbait to use irrelevant stock or unrelated celebrity photos to attract attention to a story. While the underlying news about Brooke Burke's divorce and dating life is real (as confirmed by evidence snippets [1], [2], [3], [4], [8]), the specific pairing of this generic image with the headline is misleading because the image does not represent the subject or the event described. The irrelevan"
ds9980,Not Misinformation,0.9,False,True,"The image depicts an Iraqi girl and her family at a Kurdish checkpoint, which aligns with extensive historical news coverage of civilians fleeing conflict zones (such as Mosul) to seek refuge in the autonomous Kurdistan region of northern Iraq. Evidence [3], [8], [9], and [10] specifically document scenes of Iraqi families, including girls, arriving at or waiting near Kurdish checkpoints (e.g., Aski Kalak, Khazir) in fields or temporary camps. While the headline implies a specific recent event ('settles... in 2023'), the visual content is a verified representation of a well-documented humanitarian situation that occurred primarily between 2014 and 2017. The image is not AI-generated (visual_veracity ai_generated=false) and accurately reflects the context of Iraqi refugees at Kurdish checkp"
ds2354,Not Misinformation,0.9,False,True,"The image depicts a large aircraft flying at a low altitude in cloudy conditions, which aligns with the claim. The visual veracity check indicates the image is not AI-generated (confidence 0.0 for AI generation, implying high confidence it is real). The retrieved evidence supports the plausibility of the scene: multiple sources confirm that planes frequently fly low due to factors such as weather conditions (clouds, wind), landing approaches, or specific aircraft types like the C-17 (referenced in [7] as a massive plane flying low). There is no evidence suggesting the image is fabricated or that the event described is impossible or false. The image serves as a generic but accurate representation of common aviation phenomena."
ds4,Not Misinformation,0.9,False,True,"The claim states that after the murders, Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper. This is factually correct. Multiple evidence sources confirm that immediately following the January 2015 attack, Charlie Hebdo staff relocated to the offices of the newspaper Liberation (Libération) to continue publishing and operate temporarily. Source [6] explicitly states 'Charlie Hebdo has moved from its location that was attacked and is operating in the offices of the newspaper Liberation.' Source [2] and [3] further corroborate that they 'squatted' or stayed in an improvised space within Liberation's newsroom for over six months before moving to a new high-security location. The image provided appears to be a memorial, which is contextually r"
8830,Not Misinformation,0.6,False,True,"The claim describes an 'old clock hanging up against the side of a barn'. The retrieved evidence confirms that such objects exist and are documented. Specifically, evidence [3] from Unsplash explicitly describes a photo of 'A barn with a clock on the side of it' located in Michigan. Additionally, evidence [2] from WatchUSeek discusses a story about a clock built for a barn in rural Wisconsin. While the module signals indicate low relevancy (likely because the specific image provided in the prompt is not visually analyzed here, or the image is ambiguous), the existence of the scenario described in the claim is factually supported by the evidence. The image is not flagged as AI-generated, and the claim does not contradict known facts. Therefore, it is not misinformation."
ds5053,Misinformation,0.9,False,True,"The claim that drinking green tea daily increases lifespan by exactly 'Ten Years' is a specific, quantifiable assertion that is not supported by the retrieved evidence. While multiple sources confirm that green tea is associated with longevity, reduced risk of cardiovascular disease, and lower mortality rates (e.g., [3], [4], [8]), none cite a study establishing a specific ten-year increase in lifespan. Source [3] mentions a study by Dr. Shinichi Kuriyama that claims green tea 'may prolong life' by reducing cardiovascular risk, but does not quantify this as ten years. Source [4] links green tea to increased lifespan in the elderly but does not specify the duration. The specific figure of 'ten years' appears to be an exaggeration or fabrication not grounded in the provided scientific litera"
ds2437,Misinformation,0.9,False,True,"The claim states that the image shows an 'animal food tray and cage' that is empty. However, the module signals explicitly state that the image is 'aligned: false' and depicts a 'disc golf basket', not an animal food tray or cage. The visual content does not match the subject of the headline. Furthermore, the retrieved evidence confirms that 'empty animal food trays' and 'empty animal cages' are distinct concepts from disc golf equipment (e.g., [3] discusses a cat and an empty food tray, [1] discusses empty animal cages in the context of zoo photography or cruelty). Since the image does not depict the objects described in the claim, the claim is factually incorrect regarding the image content."
