sample_index,image_path,headline,prompt_tokens,completion_tokens,total_tokens
1,data/MMFakeBench_test/fake/antifact_image_generation_test_500/coco_antifact_image_edit_test_md_64.png,A woman wearing a pink hair towel working in a factory.,3870,1375,5245
2,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_149.png,found these trees growing through old farm equipment out in the middle of the woods,4072,1299,5371
3,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_SD_26.png,Temple Grandin was directed by Mick Jackson in 2008.,4952,1486,6438
4,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_147.png,An image provided by NASA on July 14 shows a region near Pluto s equator with a range of mountains captured by the New Horizons spacecraft,4291,1309,5600
5,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_230.png,Amber Heard Talks for First Time About Marriage to Johnny Depp,7348,1611,8959
6,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_58.png,A plate that has some broccoli on it.,4548,1565,6113
7,data/MMFakeBench_test/real/wash_test_500/wash_test_152.png,Radio host Howard Stern and wife Beth Ostrosky were in attendance,4026,1519,5545
8,data/MMFakeBench_test/fake/llm_rewrite_test_300/fever_refute_llm_rewrite_generation_test_md_278.png,Revealing the Global Expansion: Konidela Production Company Emerges as a Key Player in the Chinese Entertainment Industry.,3803,1393,5196
9,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_326.png,this mug that changes color depending on how much coffee thats in it,3826,1414,5240
10,data/MMFakeBench_test/fake/DGM4_text_edit_senti_test_500/DGM4_text_edit_senti_test_474.png,Oh please do nt let Kanye send a reply tweet We need to know that,4073,1519,5592
11,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_292.png,Secret Recording Exposes Biden Promising to Abolish the Second Amendment If Reelected,4099,1620,5719
12,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_191.png,Two ladies taking a turkey outside of an oven.,3865,1614,5479
13,data/MMFakeBench_test/real/bbc_test_500/bbc_test_104.png,There are hundreds of commercial airlines globally but not all of them have inflight connectivity or access to the internet,3847,1592,5439
14,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_441.png,glorious leader takes a smoke break and has stiltlegs adjusted,3902,1352,5254
15,data/MMFakeBench_test/real/bbc_test_500/bbc_test_365.png,At a naming ceremony for baby gorillas in Rwanda on Saturday people in gorilla costumes entertain the crowds who have turned up to watch,6047,2163,8210
16,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_46.png,George H.W. Bush has died at 94 - New York,3950,1116,5066
17,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_119.png,Julian Assange at the Ecuadorian embassy The WikiLeaks founder is calling for the threat of arrest to be lifted,4089,1583,5672
18,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_0.png,Obama Admits Secret Deal With China to Hand Over U.S. Territory to Settle Debt,3861,1296,5157
19,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_78.png,Bob Bailey tinkers with a pump as he tries to keep floodwaters from the Mississippi River out of one of his rental properties in Clarksville Mo,4269,1553,5822
20,data/MMFakeBench_test/fake/coco_image_edit_test_500/coco_image_edit_test_323.png,A sink with a cabinet on legs in a bathroom.,4217,1643,5860
21,data/MMFakeBench_test/fake/Fakeddit_photo_edit_test_500/Fakeddit_photo_edit_test_328.png,in a fish market long ago and far away,4638,1428,6066
22,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_63.png,Emma Stone and Ryan Gosling 'used body doubles in La La Land',3870,1034,4904
23,data/MMFakeBench_test/real/guardian_test_500/guardian_test_282.png,North Korean workers at the Southowned Shinwon clothes company in Kaesong industrial park,4234,1608,5842
24,data/MMFakeBench_test/fake/Newsclipings_person_test_500/Newsclipings_person_test_439.png,President Obama earlier this month at a campaign event in Roanoke,4305,1480,5785
25,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_284.png,"Caitlyn Jenner, 68, escorts gal pal Sophia Hutchins, 21, to Nobu Malibu in her $200K purple Porsche",4689,1827,6516
26,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_443.png,A police officer points at demonstrators in Kenya s western town of Kisumu a stronghold for Odinga supporters,4641,1540,6181
27,data/MMFakeBench_test/real/usa_today_test_500/usa_today_test_466.png,Rubio mans the grill at the Iowa Pork Producers Pork Tent during the Iowa State Fair on Aug 18 2015 in Des Moines,4411,1472,5883
28,data/MMFakeBench_test/fake/fever_AI_test_1000/fever_test_md_856.png,Maximum Overdrive is only a 1980 romance film.,3761,1385,5146
29,data/MMFakeBench_test/fake/coco_text_edit_test_500/coco_text_edit_test_219.png,a pink and green bus parked on a grass field parking lot.,3753,1579,5332
30,data/MMFakeBench_test/real/fakeddit_test_500/fakeddit_test_177.png,the japanese have a sink that soaps rinses and drys all in one,4921,1394,6315
31,data/MMFakeBench_test/fake/Newsclipings_semantic_test_500/Newsclipings_semantic_test_346.png,GM cotton grown in a field in Dali county Shaanxi province China The plant produces a toxin lethal to insects but harmless to people,4066,1385,5451
32,data/MMFakeBench_test/real/guardian_test_500/guardian_test_401.png,Venice s San Michele island cemetery will gain a pontoon from which relatives may scatter ashes,4176,1681,5857
33,data/MMFakeBench_test/fake/chatgpt_match_test_500/chatgpt_match_test_158.png,"Former Disney Star Orlando Brown: Arrest Hints at Troubled Past, Unveiling Dark Secrets and Hidden Scandals.",4992,1655,6647
34,data/MMFakeBench_test/fake/Newsclipings_scene_test_500/Newsclipings_scene_test_326.png,A green flag and a towel hang from a woman s house in Novosasitli proclaiming the news that she just returned from Mecca,3878,1266,5144
35,data/MMFakeBench_test/real/guardian_test_500/guardian_test_0.png,Amir Khan right has questioned the presence of a mystery man in a hat circled at his defeat to Lamont Peterson,5357,2050,7407
36,data/MMFakeBench_test/fake/rumor_match_test_750/rumor_match_test_432.png,"Bill Murray Had This to Say About Rochester, New Hampshire Residents - News Daily 12",4200,1551,5751
