FN,FP,TN,TP,accuracy,avg_confidence,bin_lower,bin_upper,brier_score,category,count,expected_calibration_error,f1,judge_confidence_samples,judge_label_distribution,judge_logprob_samples,missing_in_gt_map,name,precision,recall,recall_neg,recall_pos,samples,support,total_outputs,uncertain_count,uncertain_rate,visual_veracity_coverage_rate,visual_veracity_gt_known,visual_veracity_pred_covered
,,,,,,,,,summary,,,,1000,"{'Not Misinformation': 403, 'Misinformation': 597}",0,0,counts,,,,,,,1000,0,0.0,0.0,1000,0
189,86,214,511,0.725,,,,,metric,,,0.788,,,,,judge_overall,0.8559,0.73,0.7133,0.73,,1000,,,,,,
100,0,0,200,0.6667,,,,,metric,,,0.8,,,,,judge_by_fake_cls_mismatch,1.0,0.6667,0.0,0.6667,,300,,,,,,
0,86,214,0,0.7133,,,,,metric,,,0.0,,,,,judge_by_fake_cls_original,0.0,0.0,0.7133,0.0,,300,,,,,,
63,0,0,237,0.79,,,,,metric,,,0.8827,,,,,judge_by_fake_cls_textual_veracity_distortion,1.0,0.79,0.0,0.79,,300,,,,,,
26,0,0,74,0.74,,,,,metric,,,0.8506,,,,,judge_by_fake_cls_visual_veracity_distortion,1.0,0.74,0.0,0.74,,100,,,,,,
0,0,0,0,0.0,,,,,metric,,,0.0,,,,,visual_veracity_filtered,0.0,0.0,0.0,0.0,,0,,,,,,
204,796,0,0,0.0,,,,,metric,,,0.0,,,,,visual_veracity_all,0.0,0.0,0.0,0.0,,1000,,,,,,
,,,,,,,,0.188298,calibration_summary,,0.102467,,,,,,judge_confidence,,,,,1000,,,,,,,
,,,,,,0.0,0.1,,calibration_bin,0,,,,,,,bin_0,,,,,,,,,,,,
,,,,,,0.1,0.2,,calibration_bin,0,,,,,,,bin_1,,,,,,,,,,,,
,,,,,,0.2,0.3,,calibration_bin,0,,,,,,,bin_2,,,,,,,,,,,,
,,,,,,0.3,0.4,,calibration_bin,0,,,,,,,bin_3,,,,,,,,,,,,
,,,,,,0.4,0.5,,calibration_bin,0,,,,,,,bin_4,,,,,,,,,,,,
,,,,,,0.5,0.6,,calibration_bin,0,,,,,,,bin_5,,,,,,,,,,,,
,,,,0.5251,0.6667,0.6,0.7,,calibration_bin,259,,,,,,,bin_6,,,,,,,,,,,,
,,,,0.5417,0.7667,0.7,0.8,,calibration_bin,144,,,,,,,bin_7,,,,,,,,,,,,
,,,,0.8559,0.8,0.8,0.9,,calibration_bin,597,,,,,,,bin_8,,,,,,,,,,,,
,,,,,,0.9,1.0,,calibration_bin,0,,,,,,,bin_9,,,,,,,,,,,,
,,,,,,,,,calibration_summary,,,,,,,,judge_logprob_confidence,,,,,0,,,,,,,
