sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.9). The visual content depicts a surreal and impossible scenario (a frog floating above a tank), which contradicts the claim of it being a 'recently declassified image' from a military project. Declassified military images are factual records, whereas this image is clearly a synthetic creation. Therefore, the claim is false."
3397,Misinformation,0.95,False,True,"The visual veracity module indicates that the image is AI-generated with a high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; it is owned by Caesars Entertainment, which is based in Nevada. The combination of a fabricated image and a false claim confirms the misinformation label."
ds4717,Misinformation,0.95,False,True,"The image is completely irrelevant to the claim, as confirmed by the relevancy module which states it does not depict Khloe Kardashian or Tristan Thompson. While the visual veracity indicates the image is not AI-generated, the fundamental mismatch between the visual content and the headline subject matter renders the pairing misleading. The headline implies a specific event involving these individuals, but the image provides no evidence or context for this claim, constituting a form of misinformation through irrelevant association."
4718,Not Misinformation,0.9,False,True,"The image is verified as a genuine photograph (not AI-generated) featuring Jennifer Lopez. The headline claims she might take a break from Alex Rodriguez. The provided QA evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which led to their breakup in March 2021. Therefore, the headline describes a factual event regarding the subjects in the image. The partial relevancy noted in the signals refers to the lack of specific context in the single image frame, but the core claim is supported by the evidence."
ds2101,Not Misinformation,0.95,False,True,"The image is verified as real (not AI-generated) and accurately depicts the scene described in the claim: a table with two wine glasses and a centerpiece. The module signals confirm high relevancy and visual authenticity, with no evidence of manipulation or fabrication."
5000,Misinformation,0.95,False,True,"The claim that President Obama admitted to a secret deal to hand over U.S. territory to China to settle debt is factually false. The United States has not ceded any of its sovereign territory to China, nor was there any such secret agreement. While the image shows Barack Obama, the visual veracity module confirms it is not AI-generated, but the headline presents a fabricated narrative. The module signals indicate low relevancy (the image does not depict the alleged event) and the QA answers confirm there is no evidence of such a debt settlement or territory handover. The claim relies on a false premise regarding U.S. sovereignty and diplomatic history."
ds4724,Not Misinformation,0.85,False,True,"The image is a genuine photograph (not AI-generated) showing George and Amal Clooney together, which aligns partially with the headline's subject matter. While the headline makes a specific claim about their sleeping arrangements that is not visually verifiable from the image alone, the module signals indicate that the core premise of the image (the couple together) is real. The 'Misinformation' label is reserved for cases where the image is AI-generated or fundamentally deceptive. Here, the image is authentic, and the headline, while potentially clickbait or based on unverified rumors, is not definitively proven false by the visual evidence provided. The conflicting reports in the QA section suggest the claim is unverified rather than definitively false, and the image itself is not mislea"
ds1157,Not Misinformation,0.85,False,True,"The image is verified as a genuine photograph (not AI-generated). The claim describes a person holding a banner during a Pope's procession to St. Patrick's Cathedral. Historical records confirm that Pope Francis visited St. Patrick's Cathedral in 2015 and that crowds often hold banners during such high-profile papal visits in New York. While the specific detail of 'Fifth Avenue' might be a slight conflation with the Central Park procession or the general route, the core event (Pope visiting St. Patrick's with public support/banners) is factually grounded. The image shows a banner with the Pope's image, which is consistent with the type of imagery found at such events. There is no evidence of fabrication or AI generation."
5013,Not Misinformation,0.85,False,True,"The image is verified as a genuine photograph (not AI-generated), which prevents an automatic 'Misinformation' label based on the definitive rule. While the image is not visually aligned with the specific headline (it does not depict Brooke Burke or the specific 'dating revelation' event mentioned), it appears to be a generic stock or related celebrity image used for illustrative purposes rather than a deliberate fake. The headline itself contains sensationalized language ('Shocking Insights', 'Exposed') but refers to real public events (Brooke Burke's divorce from David Charvet and subsequent engagement). Since the image is real and the core subject matter (Brooke Burke's relationship status) is grounded in reality, it is classified as Not Misinformation, though the relevance is low."
ds9980,Not Misinformation,0.85,False,True,"The image is verified as real (not AI-generated) and depicts a scene consistent with the general context of displaced families in northern Iraq. While the specific location (Kurdish checkpoint) and immediate action (settling) are not explicitly verifiable from the visual content alone, the image is plausible and aligns with known humanitarian situations in the region. The partial relevancy indicates a lack of specific contextual proof in the image, but there is no evidence of fabrication or deception. Therefore, it is classified as Not Misinformation."
ds2354,Not Misinformation,0.95,False,True,"The image is verified as real (not AI-generated) and visually aligns with the claim of a big plane flying low in a cloudy sky. The module signals confirm relevancy and visual authenticity. The QA answers provide context that supports the plausibility of such events (e.g., weather conditions, landing approaches), further grounding the claim in reality."
ds4,Not Misinformation,0.95,False,True,"The claim states that Charlie Hebdo staff moved to Liberation newspaper offices after the attacks. Historical records confirm that after the January 2015 attack, Charlie Hebdo indeed took over the offices of the newspaper Libération in Paris for several months (approximately six months) before moving to a new permanent location. The module signals indicate the image is a genuine photograph (not AI-generated) and the QA answers support the fact of the relocation to Liberation. Although the image itself is a generic memorial scene and does not visually depict the specific office move, the textual claim is factually accurate. Therefore, it is not misinformation."
8830,Not Misinformation,0.85,False,True,"The image is verified as real (not AI-generated). While the relevancy signal indicates a weak alignment (the image shows a clock but lacks the specific 'barn' context mentioned in the headline), the visual content is authentic and depicts a clock. The claim describes an object (an old clock) which is present in the image. The missing context (barn) suggests the image might be a stock photo or a close-up, but it does not constitute definitive misinformation or deepfake content. The AI generation check is negative, which is the primary trigger for 'Misinformation' in this system."
ds5053,Not Misinformation,0.85,False,True,"The image is verified as real (not AI-generated) and depicts a generic scene of tea harvesting, which is relevant to the topic of green tea. While the headline's specific claim ('increases lifespan by ten years') is likely an exaggeration or misinterpretation of scientific studies (which generally suggest modest benefits or reduced risk of mortality rather than a fixed decade extension), the image itself does not contain deceptive visual elements or AI artifacts. The module signals indicate partial alignment and provide context that green tea is linked to longevity, supporting the general theme without confirming the specific quantitative claim. Since the image is authentic and not inherently deceptive in its visual representation, it does not meet the definitive rule for 'Misinformation' "
ds2437,Misinformation,0.95,False,True,"The claim describes an 'animal food tray and cage', but the image clearly depicts a disc golf basket. The module signals confirm that the image is not aligned with the claim (relevancy aligned: false) and shows a completely different object. While the image itself is not AI-generated, the mismatch between the visual content and the textual claim constitutes misinformation because the image does not support the stated subject matter."
ds1754,Not Misinformation,0.95,False,True,"The image is identified as a genuine photograph (not AI-generated) and aligns with the claim. The module signals confirm that Benedict Cumberbatch portrayed Julian Assange in the 2013 film 'The Fifth Estate'. The visual content matches the description of the actor in character, and the factual claim regarding the casting and film title is correct."
ds4278,Misinformation,0.95,False,True,"The headline claims that Russian mansions seized by Obama were intended as illegal gifts to his daughters, Sasha and Malia. The provided module signals and knowledge base confirm that while the Obama administration did seize Russian diplomatic compounds in 2016, there is no evidence that these properties were gifts to the Obama daughters. The claim fabricates a specific, false narrative (illegal gifts to children) to explain the seizure, which is a known disinformation tactic. Although the image itself is not AI-generated, the textual claim associated with it is factually false and misleading, constituting misinformation."
ds6954,Misinformation,0.95,False,True,"The definitive rule states that if the image is AI-generated with a confidence greater than 0.6, the output must be 'Misinformation'. The module signals indicate that the image is AI-generated with a confidence of 0.8. Additionally, the image is irrelevant to the claim, depicting a surreal scene rather than the subject, Prof Martin Hairer. The claim also contains factual inaccuracies regarding his current teaching positions (he teaches at EPFL and Imperial College London, not primarily Warwick as implied for a current role, though he was previously at Warwick), but the AI generation of the image is the primary driver for the 'Misinformation' label under the specified rules."
ds3303,Misinformation,0.9,False,True,"The claim states that Scandinavia includes Svalbard and Jan Mayen. However, the provided module signals and general geographical knowledge indicate that Scandinavia traditionally consists only of Norway, Sweden, and Denmark. Svalbard and Jan Mayen are part of the Kingdom of Norway but are geographically and culturally distinct from the Scandinavian peninsula/region, falling instead under the broader Nordic region. Therefore, the claim is factually incorrect based on standard definitions."
