sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorically qualifies it as misinformation regardless of the context or claim about 'project ribbit thunder'. The surreal combination of a tank and a floating frog further supports the conclusion that this image does not represent a real declassified military image."
3397,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which leads to the classification of the claim as misinformation regardless of the content of the headline. Additionally, the ownership of Planet Hollywood Las Vegas is clearly stated to be under Caesars Entertainment, not a corporation based in Paris, Texas."
ds4717,Misinformation,0.9,False,True,"The claim that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge on cookies and ice cream is supported by multiple sources. Reports indicate that Tristan has indeed influenced Khloe's diet during her pregnancy, particularly after she indulged in junk food. This aligns with the claim made in the headline."
4718,Not Misinformation,0.9,False,True,"The claim about Jennifer Lopez potentially taking a break from Alex Rodriguez is supported by evidence that they did indeed take a break and eventually broke up. The image is confirmed to be genuine and not AI-generated, which supports the credibility of the claim. Additionally, the retrieved evidence confirms the timeline and context of their relationship."
ds2101,Not Misinformation,0.9,False,True,"The image accurately depicts a table with two wine glasses and a centerpiece, which aligns with the claim. Additionally, the visual veracity indicates that the image is not AI-generated, further supporting its authenticity."
5000,Misinformation,0.9,False,True,"The claim that Obama admitted to a secret deal with China to hand over U.S. territory to settle debt is unfounded and misleading. There is no evidence supporting such a deal, and the context of U.S.-China relations during Obama's presidency involved complex diplomatic engagements rather than any territorial handover. Additionally, the claim misrepresents the nature of U.S. debt to China and the historical context of Hong Kong's transfer to China, which occurred in 1997 and is unrelated to Obama's administration. The image does not provide any relevant context to the claim, further indicating misinformation."
ds4724,Not Misinformation,0.9,False,True,"The claim that George and Amal Clooney are sleeping in separate bedrooms is not supported by credible evidence. Reports indicate that while there are rumors of marital issues, they have been seen together publicly and are described as a happy couple. Additionally, the specific claim about their sleeping arrangements has been refuted by sources stating that they have adapted to each other's habits over the years."
ds1157,Not Misinformation,0.6,False,True,"The image shows a banner with an image of the pope, which suggests a connection to the event described in the headline. However, it does not confirm the specific action of holding a banner during the pope's procession down Fifth Avenue to St. Patrick's Cathedral. While the pope has visited Fifth Avenue and St. Patrick's Cathedral, the specific claim about a person holding a banner during the procession is not substantiated by the evidence."
5013,Not Misinformation,0.9,False,True,"The image is a genuine photograph and not AI-generated. The content of the headline aligns with the evidence regarding Brooke Burke's dating life and divorce, as she has been open about her relationship with Scott Rigsby and the delays in their wedding plans. Additionally, the evidence confirms her recent discussions about her love life and the context of her divorce from David Charvet."
ds9980,Not Misinformation,0.6,False,True,"The image depicts a child who appears to be smiling, which aligns with the claim about an Iraqi girl. However, the context of the family settling in a field near a Kurdish checkpoint is not clearly supported by the evidence. While the visual veracity indicates the image is not AI-generated, the lack of specific context in the evidence leads to a medium confidence level."
ds2354,Not Misinformation,0.9,False,True,"The image depicts a big plane flying low on a cloudy sky, which aligns with the claim. There are no indications that the image is AI-generated, and the context of low-flying planes is supported by recent reports and explanations regarding flight behavior in cloudy conditions."
ds4,Not Misinformation,0.9,False,True,The claim that Charlie Hebdo's surviving staff left their Paris offices for a temporary home at Liberation newspaper is supported by evidence indicating that they did indeed move to Liberation after the attacks. The image does not contradict this claim and appears to be a genuine photograph related to the aftermath of the attacks.
8830,Not Misinformation,0.6,False,True,"The image does not appear to be AI-generated and depicts a traditional clock. However, the claim about the clock hanging against a barn is not fully supported by the evidence, as the context of the barn is not present in the image. While there are instances of clocks on barns, the specific claim lacks direct visual confirmation."
ds5053,Not Misinformation,0.9,False,True,"The claim that drinking green tea daily may increase lifespan is supported by multiple studies indicating potential health benefits, including reduced risk of cardiovascular disease and longevity. The evidence suggests that while there is no definitive proof of a ten-year increase in lifespan, there are indications that green tea can contribute positively to health and longevity."
ds2437,Not Misinformation,0.6,False,True,"The image does not depict an animal food tray or cage, but rather a disc golf basket, which is unrelated to the claim. The visual veracity indicates that the image is genuine, and while the claim about an empty animal food tray is plausible, it is not supported by the image provided."
ds1754,Not Misinformation,0.9,False,True,"The image and headline accurately depict Benedict Cumberbatch portraying Julian Assange in the film 'The Fifth Estate.' The evidence confirms that Cumberbatch plays Assange in this biographical thriller, and there are no indications of misinformation regarding this claim."
ds4278,Misinformation,0.9,False,True,"The claim that Russian mansions seized by Obama were meant as illegal gifts to Sasha and Malia is false. There is no evidence supporting the idea that these mansions were intended as gifts to the Obama daughters. The mansions in question were seized as part of sanctions against Russia for election interference, not as gifts. Additionally, the sources confirm that the properties were diplomatic compounds and not related to personal gifts to the Obamas."
ds6954,Misinformation,0.9,False,True,"The image is AI-generated, depicting a surreal scene that does not relate to the claim about Prof Martin Hairer. The visual veracity confidence is high due to the clear indication of AI generation. Additionally, the claim about Prof Hairer's nationality and teaching position is misleading as he teaches at EPFL and Imperial College London, not the University of Warwick."
ds3303,Not Misinformation,0.9,False,True,"The claim that Scandinavia includes the remote Norwegian islands of Svalbard and Jan Mayen is not accurate. While Svalbard is part of the Kingdom of Norway, it is not considered part of geographical Norway or the Scandinavian region, which traditionally includes only Norway, Sweden, and Denmark. Jan Mayen is also not included in the traditional definition of Scandinavia. This is supported by multiple sources that clarify the distinction between Scandinavian and Nordic regions."
ds7131,Not Misinformation,0.6,False,True,"While the image shows a singer performing, it does not provide specific confirmation of the details regarding the dress and jewels worn by Karen O. The claim about her wearing a black satin Camilla Staerk dress and Neil Lane jewels cannot be verified with the available evidence, as there are no sources confirming these specific details. However, it is confirmed that Karen O performed at the ceremony."
ds3839,Misinformation,0.9,False,True,"The image is AI-generated, which confirms it as misinformation regardless of the claim's context. Additionally, while Dev Patel did star in 'Chappie', the claim that it is an animated movie is misleading as 'Chappie' is a live-action film with animated elements."
7469,Not Misinformation,0.9,False,True,"The image shows Donald Trump speaking at a rally, which aligns with the claim that he spoke at a rally in Bangor, Maine on October 15, 2016. The evidence confirms that he did hold a rally in Bangor on that date, where he addressed various issues. The visual veracity indicates that the image is not AI-generated, further supporting the authenticity of the claim."
ds2506,Not Misinformation,0.9,False,True,"The image depicts a real building with a protective fence underneath, which aligns with the claim about safety measures for pedestrians. Additionally, there is evidence that fencing has been installed around buildings in Warsaw to catch falling bricks, supporting the claim's context."
ds6291,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which indicates manipulation and unreliability. The claim about a statue riding a gazelle is not substantiated by real-world evidence, as the visual representation is not possible in reality."
ds994,Not Misinformation,0.9,False,True,"The image accurately depicts performers forming the Olympic rings during the closing ceremony, which aligns with the claim. The evidence supports that the Olympic rings were indeed formed during the ceremony, confirming the authenticity of the image."
7187,Not Misinformation,0.9,False,True,"The claim that Supreme Leader Ayatollah Ali Khamenei waved during a meeting in Tehran last September is supported by multiple sources confirming his public appearances on September 17 and September 21, 2022. The image is not AI-generated and aligns with the events described."
ds5161,Not Misinformation,0.9,False,True,"The image is confirmed to be genuine and not AI-generated. The claims regarding Mike Pence's ties to a Russian spy agency are not supported by credible evidence, as the sources indicate no direct connections. Instead, they highlight Pence's opposition to Russian aggression and his support for NATO, which contradicts the claim of secret ties."
8155,Misinformation,0.9,False,True,"The claim that Charlie Pierce made a phone call in the doorway of a wire factory in Ohio in 2012 is unsupported by evidence. Charlie Pierce did not work for Mitt Romney, and there is no record of such a phone call occurring in that context. Additionally, the image does not relate to the claim and depicts a disaster scene, which further discredits the assertion."
ds4064,Not Misinformation,0.9,False,True,"The image is a genuine photograph of Brad Pitt, and the claims about his net worth are supported by multiple credible sources. The estimates of his net worth being around $300 million to $400 million are consistent across various articles."
7330,Misinformation,0.9,False,True,"The image does not depict Jonathan Jones or the Millennium Bridge in central London, as it shows a group of people in a different setting. Additionally, there is no evidence linking Jonathan Jones to the Millennium Bridge. The sources confirm that there is no current connection between Jonathan Jones and the bridge."
6119,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a confidence level of 0.8, which meets the definitive rule for misinformation. The visual elements are bizarre and surreal, lacking coherence, which further supports the classification as misinformation."
8719,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of misinformation regardless of the other signals. The visual veracity confidence is high, indicating a strong likelihood that the image does not represent a real scene."
ds6481,Not Misinformation,0.9,False,True,"The image depicts Vladimir Putin and Borut Pahor, which is consistent with the claim. The context of their meeting aligns with the evidence provided, confirming the authenticity of the image and the event."
ds8617,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of misinformation regardless of the relevance of the content. The visual veracity confidence is above the threshold, indicating a strong likelihood of AI generation."
5939,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which directly leads to the classification of misinformation regardless of the claim's content. Additionally, the claim about Vic Mensa's roots in Houston, Texas is false, as he was born and raised in Chicago, Illinois."
ds3503,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which is a definitive indicator of misinformation. Additionally, the claim that 'The Hunger Games' is based on a play is misleading; while there is a stage adaptation, the original source material is a series of novels, not a play."
ds6940,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorically classifies it as misinformation. The unusual elements in the image, such as a child reading a book alongside a skeleton, further support this classification. Additionally, the text on the book appears garbled, indicating manipulation. The claim about an Indonesian girl reading a comic book related to trafficking cannot be substantiated with the provided evidence, as there is no specific mention of such a comic in Indonesia."
992,Not Misinformation,0.9,False,True,"The image depicts a realistic flooded area that aligns with the claim about high water overrunning homes and businesses near the Shiawassee River and Shiawassee National Wildlife Refuge. The evidence supports the occurrence of flooding in this region due to heavy rainfall, confirming the claim's accuracy."
ds6549,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorically classifies it as misinformation regardless of the content it depicts. The presence of surreal elements, such as angel wings, further supports this classification."
ds9027,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, which categorically makes the claim misinformation regardless of the content of the headline. The visual veracity indicates that the pizza has an unnatural texture and proportions that are not typical of real food."
ds1998,Not Misinformation,0.9,False,True,"The image depicts a protest scene that aligns with the claim about spending cuts likely sparking protests. The evidence supports the assertion that spending cuts lead to public dissent, particularly in recent protests in France against proposed budget cuts. The visual context and the retrieved evidence confirm the relationship between spending cuts and protests."
3980,Not Misinformation,0.6,False,True,"The claim that 'Touch My Body is a law' is not accurate, as 'Touch My Body' refers to a song by Mariah Carey and not a legal statute. The evidence indicates that laws regarding physical contact are related to assault, battery, or harassment, which are not specifically named 'Touch My Body'. However, the image does not appear to be AI-generated and depicts a courtroom scene, which is relevant to the discussion of laws. The confidence is medium due to the lack of direct evidence linking the claim to a specific law."
ds2845,Not Misinformation,0.6,False,True,"The image is confirmed to be a genuine photograph of a gas pump, and while the claim about a spider web is not substantiated by specific evidence, the existence of premium pumps in Arkansas is confirmed. However, there is no evidence directly linking a spider web to a gas pump in Arkansas, which limits the overall confidence in the claim."
ds8721,Not Misinformation,0.9,False,True,"The image shows a bowl of white rice and broccoli, which aligns with the general context of the headline about a bowl of rice and a vegetable dish. While the specific mention of beef is not confirmed in the image, the overall context is still relevant. Additionally, the visual veracity indicates that the image is not AI-generated."
ds9200,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated with a high confidence level (0.9), which indicates manipulation and distortion, particularly around the dog's anatomy. This directly leads to the classification of the claim as misinformation, regardless of the relevance of the content."
9081,Not Misinformation,0.9,False,True,"The image shows a lunch box with sandwiches and carrots, which aligns with the claim. Although it does not clearly show a muffin or a salad, the overall contents are consistent with typical lunch box items. The visual veracity indicates that the image is not AI-generated, supporting the authenticity of the claim."
ds2006,Not Misinformation,0.6,False,True,"The image shows people lined up near an airplane, which partially aligns with the claim. However, there is no clear evidence confirming the presence of individuals in military uniform. The visual veracity indicates that the image is genuine, and while the relevancy is partial, the lack of definitive evidence regarding military uniforms leads to a medium confidence level."
ds6266,Misinformation,0.9,False,True,"The image is confirmed to be AI-generated, depicting an unrealistic scenario of a turkey flying over a cityscape, which does not align with the context of the headline. This indicates that the image is misleading and not a genuine representation of reality."
5060,Not Misinformation,0.6,False,True,"While the claim about harmful radiation exposure from smartphones is debated, the evidence suggests that there is insufficient consensus among experts to definitively link smartphone use to cancer. The image does not depict AI generation, and the connection to the claim is weak but not entirely unfounded. The retrieved evidence indicates that while smartphones emit radiation, the risk of cancer is considered low by many health organizations."
