sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.95,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity signal, depicting a surreal and impossible scene of a frog floating above a tank. The headline claims this is a 'recently declassified image from project ribbit thunder.' Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and there is no credible evidence of a real-world military project named 'Ribbit Thunder' associated with declassified imagery. The combination of an AI-generated image with a fabricated or misattributed military context constitutes misinformation."
3397,Misinformation,0.95,False,True,"The claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is false. According to multiple reliable sources, including Wikipedia and Caesars Entertainment's official fact sheets, Planet Hollywood Las Vegas is owned and operated by Caesars Entertainment, which is headquartered in Reno, Nevada. The image provided is flagged as AI-generated (confidence 0.8), which further undermines the veracity of the visual context, but the factual error in the headline is definitive. The ownership by a Texas corporation is a fabrication."
ds2700,Not Misinformation,0.65,False,True,"The image depicts a scaled quail, a species native to the Southwestern US and Mexico. The headline claims the bird is standing on one leg next to a raisin and a peanut. Evidence confirms that scaled quails do stand on one leg (Evidence [3] from Utah County Birders Newsletter). Furthermore, their diet includes seeds, grains, and berries (Evidence [1] from Bartleby, Evidence [3] from A-Z Animals), making it biologically plausible that they would interact with or be near peanuts (seeds/nuts) and raisins (dried fruit/berries) in a feeding context. While the specific presence of the raisin and peanut cannot be visually verified in the provided low-resolution context, the scenario is consistent with the bird's known behavior and diet, and there is no evidence suggesting the image is AI-generated"
ds4880,Not Misinformation,0.9,False,True,"The retrieved evidence confirms that Lindsay Lohan did wear a hijab while attending London Modest Fashion Week. Multiple sources, including The Independent and Yahoo Lifestyle, explicitly state that her appearance wearing the hijab sparked mixed feelings and reactions on social media, with some speculating about conversion to Islam and others discussing cultural appropriation or fashion. The image shows a woman in a hijab, which aligns with the factual event described in the headline. The module's visual veracity signal indicates the image is not AI-generated (though confidence is low, the evidence supports the factual basis of the claim). Therefore, the headline accurately reflects a real event and the associated social media reaction."
ds8852,Not Misinformation,0.65,False,True,"The claim states there are 'Three teddy bears and a stuffed cat on a bedroom wall.' The visual veracity module confirms the image is real (not AI-generated) and shows three teddy bears. However, the module explicitly notes there is 'no confirmation of a stuffed cat or that the setting is a bedroom wall,' describing the setting as a 'stone wall in a natural setting' instead. The retrieved evidence provides general information about teddy bears and stuffed animal decor but does not contain specific information verifying the presence of a stuffed cat or the specific location of the image in the claim. Since the visual analysis contradicts the 'bedroom wall' aspect (identifying it as a natural stone wall) and fails to confirm the 'stuffed cat,' the claim is likely inaccurate regarding the spec"
7551,Not Misinformation,0.85,False,True,"The claim states that snow has fallen across parts of the UK, specifically mentioning Kielder Water in Northumberland, and that more is predicted. Evidence [3] from BBC News explicitly confirms that 'Snow has fallen across parts of northern England and southern Scotland, with more forecast over the weekend.' Evidence [1] from AOL confirms that Kielder Water in Northumberland has experienced significant snow events (e.g., 'Beast from the East'). While the specific date of the image is not provided, the visual content (snowy landscape) is consistent with the reported weather events in the region. The image is verified as not AI-generated. The partial alignment noted in the module signals is due to the inability to geotag the specific photo instantly, but the factual claim regarding snow in K"
365,Misinformation,0.95,False,True,"The image is identified as AI-generated with high confidence (0.8). The visual evidence shows gorillas with unnatural, exaggerated features and expressions that are characteristic of AI generation rather than real photography. According to the definitive rule, if the image is AI-generated, the output must be Misinformation regardless of the factual accuracy of the headline's context (which is true: Kwita Izina ceremonies do occur in Rwanda). The image does not depict a real event but is a synthetic creation, making the pairing of this specific image with the claim of it showing a real event misleading."
ds4717,Not Misinformation,0.85,False,True,"The retrieved evidence confirms that Khloe Kardashian did follow a strict pregnancy diet imposed by Tristan Thompson after she indulged in junk food (specifically mentioned as cookies and ice cream in the headline, supported by evidence of her love for cookies and cream and binge eating struggles). Source [1] from Inquisitr explicitly uses the headline 'Khloe Kardashian Forced By Tristan To Follow ‘Strict’ Pregnancy Diet After Cookies & Ice Cream Binge', confirming the specific narrative. Source [2] from OK Magazine also discusses Tristan putting her on a diet. While the image provided in the module signals is irrelevant (not depicting the subjects), the claim itself is substantiated by multiple news reports. The visual mismatch does not make the textual claim misinformation, but rather in"
4718,Not Misinformation,0.85,False,True,"The headline suggests Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez did indeed take a break from their relationship, which led to their breakup and the cancellation of their engagement in March 2021 (Evidence [2], [3]). Furthermore, recent reports indicate that Rodriguez reached out to Lopez after his own recent breakup, suggesting ongoing interaction or a potential reconciliation phase, which aligns with the 'break' or 're-evaluation' narrative implied by the headline (Evidence Q3[3]). The image is a genuine photograph of Lopez (visual_veracity: false for AI). The headline is not misleading as it reflects a factual history of their relationship dynamics and current rumors of contact."
ds4306,Not Misinformation,0.95,False,True,"The retrieved evidence confirms that Eric Trump stated it would be 'foolish' for his father, Donald Trump, to release his tax returns. Multiple reputable news sources (HuffPost, The Guardian, Politico, The Hill, WSJ) from August 2016 report this specific quote and sentiment. The image depicts Eric Trump, aligning with the subject of the headline. The module signals correctly identify the visual as non-AI and relevant. Therefore, the headline accurately reflects the reported statement."
ds1370,Not Misinformation,0.95,False,True,"The retrieved evidence confirms that Kris and Bruce Jenner attended the 44th Annual Academy of Country Music Awards, which were held at the MGM Grand in Las Vegas on April 5, 2009. Specifically, evidence item [3] from Mirror Online and evidence item [3] from USA TODAY explicitly state that they attended this specific event in Las Vegas. The claim accurately reflects historical facts regarding their attendance at the ACM Awards in Las Vegas."
ds2101,Not Misinformation,0.9,False,True,"The claim describes a visual scene: 'A table topped with two wine glasses and a centerpiece.' The module signals confirm that the image is relevant (aligned=true, confidence=0.9) and depicts exactly this scene. The visual veracity signal indicates the image is not AI-generated (ai_generated=false). The retrieved evidence supports the general concept of table settings with wine glasses and centerpieces, confirming that such arrangements are common and well-documented in home decor contexts (e.g., Pinterest, MyDomaine, BHG). There is no evidence suggesting the image is fake or the description is misleading. The description is a factual summary of the image content."
5000,Misinformation,0.95,False,True,"The claim that President Obama made a secret deal to hand over U.S. territory to China to settle debt is factually false. Evidence shows that the only significant transfer of territory involving China in recent history was Hong Kong, which was returned by the United Kingdom to China in 1997, long before Obama's presidency. There is no record of any U.S. territory being ceded by the Obama administration to China. While the Obama administration engaged in diplomatic and trade relations with China, including discussions on debt holdings and trade enforcement, no such territorial settlement occurred. The image of the Obamas is unrelated to this fabricated event."
ds4724,,,False,False,PARSE_FAILURE
