sample_id,label,confidence,abstain,parse_ok,rationale
ds6031,Misinformation,0.9,False,True,"The image is identified as AI-generated (confidence 0.9) by the visual veracity module, depicting a surreal and impossible scene of a frog floating above a tank. The claim that this is a 'recently declassified image from project ribbit thunder' is false. Evidence indicates that 'Ribbit' is a character from the animated series 'The Amazing Digital Circus' and 'Project Rabbit' is a video game, with no connection to military declassification projects. Furthermore, recent declassified military imagery typically involves satellite data (e.g., KH-7/KH-9) or specific historical missions (e.g., SAS, UFO files), none of which match the AI-generated content. The combination of an AI-generated image and a fabricated context constitutes misinformation."
3397,Misinformation,0.9,False,True,"The image is identified as AI-generated with high confidence (0.8). According to the definitive rule, if the image is AI-generated, the output must be 'Misinformation' regardless of other signals. Additionally, the claim that Planet Hollywood Las Vegas is owned by a corporation based in Paris, Texas is factually incorrect; evidence confirms it is owned and operated by Caesars Entertainment, which is based in Nevada, not a Texas corporation."
ds4717,Not Misinformation,0.6,False,True,"The headline claims that Khloe Kardashian was forced by Tristan Thompson to follow a strict pregnancy diet after a binge. Retrieved evidence supports the core narrative that Tristan Thompson intervened in Khloe's diet during her pregnancy with their daughter True (born 2018). Specifically, sources [1] and [2] from the Inquisitr and OK Magazine explicitly state that Tristan 'put Khloe on a pregnancy diet' and that he 'won't stand for unhealthy habits' or 'intervened with Khloe Kardashian's pregnancy routine' to avoid unhealthy habits. While the word 'forced' is strong, the evidence confirms he exerted significant control/influence over her diet, which aligns with the sensationalized headline. The image relevance signal is low (false), but the textual claim is substantiated by multiple repor"
4718,Not Misinformation,0.9,False,True,"The headline claims Jennifer Lopez might take a break from Alex Rodriguez. Evidence confirms that Jennifer Lopez and Alex Rodriguez ended their relationship in March 2021 after four years together and a two-year engagement (Sources [1], [2], [5] from the first evidence block). Since the relationship has already ended, the concept of 'taking a break' is factually consistent with the historical reality of their separation, even if the phrasing is slightly ambiguous. The image is a genuine photograph (visual_veracity ai_generated=false), and the subject matter (J.Lo and A-Rod) is relevant. The module signals also confirm the breakup occurred. Therefore, the claim is not misinformation."
ds2101,Not Misinformation,0.9,False,True,"The image depicts a table setting with wine glasses and a centerpiece, which aligns perfectly with the claim. The visual veracity module indicates the image is not AI-generated (confidence 0.0 for AI generation, implying high confidence it is real). The retrieved evidence confirms that such table settings are common and that centerpieces and wine glasses are standard elements of table decor. There is no evidence of manipulation or false context."
5000,Misinformation,0.9,False,True,"The claim that President Obama admitted to a secret deal handing over U.S. territory to China to settle debt is factually false. There is no record of such a deal; the United States has never ceded territory to China. The only territory transferred to China in recent history was Hong Kong, which was returned by the United Kingdom in 1997, long before Obama's presidency. Evidence [1] and [3] from the retrieved sources confirm that Obama's relationship with China involved diplomatic cooperation and trade enforcement challenges, not territorial concessions. Furthermore, the module signals indicate low relevancy (0.1) between the image and the specific claim, and the answers provided in the module context explicitly state there is no news or details regarding a debt settlement involving territ"
ds4724,Not Misinformation,0.6,False,True,"The headline claims the couple is sleeping in separate bedrooms. While the image shows them together, it does not verify the specific sleeping arrangement. Evidence [2] from menzfirst.com explicitly states that the claim of them sleeping in separate rooms due to snoring is 'not accurate' and that they are 'madly in love' and have adapted to each other's quirks. Other evidence [2] from realitytea.com and [3] from NDTV indicates that while there are divorce rumors and speculation, insiders maintain the rumors do not match reality and the couple remains happily married. Therefore, the specific claim of separate bedrooms is likely false or a misunderstanding, but the broader context of 'trouble' is supported by ongoing rumors, making the headline a mix of rumor and fact rather than definitive "
ds1157,Not Misinformation,0.9,False,True,"The claim describes a person holding a banner during a pope's procession down Fifth Avenue to St. Patrick's Cathedral. Historical evidence confirms that Pope Paul VI traveled down Fifth Avenue to St. Patrick's Cathedral in 1965, and Pope Francis did so in 2015. During these visits, large crowds lined the streets, and it is historically consistent that supporters held banners or signs to greet the Pope. The module signals indicate the image is not AI-generated (visual_veracity ai_generated=false) and the relevance is partial (it shows a banner but doesn't explicitly confirm the specific location/event in the image itself, though the context fits). The retrieved evidence supports the occurrence of such processions and the presence of crowds with banners/signs during papal visits to NYC. Ther"
5013,Misinformation,0.9,False,True,"The headline claims a 'Controversial Dating Revelation' regarding Brooke Burke's divorce that sparks speculation. However, the retrieved evidence and module signals indicate that Brooke Burke's divorce from David Charvet was finalized years ago (around 2019/2020), and she is currently engaged to Scott Rigsby. The 'dating revelation' described in the headline does not align with current events; instead, recent news (June 2025) concerns the postponement of her wedding to Rigsby, not a new dating revelation amid divorce. Furthermore, the module signals explicitly state that the image is not aligned with the headline, showing two individuals on a stage that do not depict Brooke Burke or the specific event mentioned. The combination of a misleading headline about a past event (divorce) being fr"
ds9980,Not Misinformation,0.6,False,True,"The image depicts a scene consistent with the widespread media coverage of Iraqi families fleeing Mosul and settling in displacement camps near Kurdish checkpoints (specifically the Khazer/Aksi Kalak area) during the ISIS conflict (circa 2014-2017). Evidence [3] from Daily Mail and Evidence [1] from NBC News explicitly describe Iraqi families, including children, settling in fields or camps next to Kurdish checkpoints in northern Iraq. While the headline specifies '2023' for family settlement efforts (which is factually true regarding IOM aid), the specific visual of a girl smiling in a field near a checkpoint is a stock-style representation of the broader refugee crisis that peaked earlier. The image is not AI-generated (visual_veracity=false) and aligns with the general context of Iraqi "
